Observer;SessionID;Block;sfmWidth;showHalo;playSound;Event;Value;Time;RelativeLocation;Direction
AZM1990w;2016-11-30-11-12-22;1,0;200,0;False;False;Block start;;1480500797,06;-1,0;1,0
AZM1990w;2016-11-30-11-12-22;1,0;200,0;False;False;Trajectory limit;-1;4,01999998093;1,00750005245;-1,0
AZM1990w;2016-11-30-11-12-22;1,0;200,0;False;False;Reverse rotation;;4,02499985695;1,00750005245;-1,0
AZM1990w;2016-11-30-11-12-22;1,0;200,0;False;False;Trajectory limit;1;8,04099988937;-0,997500061989;1,0
AZM1990w;2016-11-30-11-12-22;1,0;200,0;False;False;Reverse rotation;;8,04600000381;-0,997500061989;1,0
AZM1990w;2016-11-30-11-12-22;1,0;200,0;False;False;Percept;1;11,6770000458;0,812499880791;1,0
AZM1990w;2016-11-30-11-12-22;1,0;200,0;False;False;Trajectory limit;-1;12,0439999104;1,00449991226;-1,0
AZM1990w;2016-11-30-11-12-22;1,0;200,0;False;False;Reverse rotation;;12,0490000248;1,00449991226;-1,0
AZM1990w;2016-11-30-11-12-22;1,0;200,0;False;False;Trajectory limit;1;16,0629999638;-0,994999885559;1,0
AZM1990w;2016-11-30-11-12-22;1,0;200,0;False;False;Reverse rotation;;16,0690000057;-0,994999885559;1,0
AZM1990w;2016-11-30-11-12-22;1,0;200,0;False;False;Percept;1;17,8150000572;-0,127499938011;1,0
AZM1990w;2016-11-30-11-12-22;1,0;200,0;False;False;Trajectory limit;-1;20,0669999123;1,00650012493;-1,0
AZM1990w;2016-11-30-11-12-22;1,0;200,0;False;False;Reverse rotation;;20,0720000267;1,00650012493;-1,0
AZM1990w;2016-11-30-11-12-22;1,0;200,0;False;False;Percept;-1;21,0499999523;0,522500157356;-1,0
AZM1990w;2016-11-30-11-12-22;1,0;200,0;False;False;Trajectory limit;1;24,0869998932;-0,996000170708;1,0
AZM1990w;2016-11-30-11-12-22;1,0;200,0;False;False;Reverse rotation;;24,0929999352;-0,996000170708;1,0
AZM1990w;2016-11-30-11-12-22;1,0;200,0;False;False;Percept;1;25,2709999084;-0,412000179291;1,0
AZM1990w;2016-11-30-11-12-22;1,0;200,0;False;False;Trajectory limit;-1;28,0899999142;1,00549983978;-1,0
AZM1990w;2016-11-30-11-12-22;1,0;200,0;False;False;Reverse rotation;;28,0959999561;1,00549983978;-1,0
AZM1990w;2016-11-30-11-12-22;1,0;200,0;False;False;Percept;-1;28,9579999447;0,579999804497;-1,0
AZM1990w;2016-11-30-11-12-22;1,0;200,0;False;False;Trajectory limit;1;32,1099998951;-0,995499849319;1,0
AZM1990w;2016-11-30-11-12-22;1,0;200,0;False;False;Reverse rotation;;32,1159999371;-0,995499849319;1,0
AZM1990w;2016-11-30-11-12-22;1,0;200,0;False;False;Percept;1;33,010999918;-0,553499817848;1,0
AZM1990w;2016-11-30-11-12-22;1,0;200,0;False;False;Trajectory limit;-1;36,1129999161;1,00600016117;-1,0
AZM1990w;2016-11-30-11-12-22;1,0;200,0;False;False;Reverse rotation;;36,118999958;1,00600016117;-1,0
AZM1990w;2016-11-30-11-12-22;1,0;200,0;False;False;Percept;-1;37,1809999943;0,480500102043;-1,0
AZM1990w;2016-11-30-11-12-22;1,0;200,0;False;False;Trajectory limit;1;40,1340000629;-0,995500087738;1,0
AZM1990w;2016-11-30-11-12-22;1,0;200,0;False;False;Reverse rotation;;40,1399998665;-0,995500087738;1,0
AZM1990w;2016-11-30-11-12-22;1,0;200,0;False;False;Percept;1;42,7860000134;0,321999907494;1,0
AZM1990w;2016-11-30-11-12-22;1,0;200,0;False;False;Trajectory limit;-1;44,1369998455;1,00599980354;-1,0
AZM1990w;2016-11-30-11-12-22;1,0;200,0;False;False;Reverse rotation;;44,1429998875;1,00599980354;-1,0
AZM1990w;2016-11-30-11-12-22;1,0;200,0;False;False;Percept;1;44,5369999409;0,813999772072;-1,0
AZM1990w;2016-11-30-11-12-22;1,0;200,0;False;False;Percept;-1;45,0039999485;0,580499768257;-1,0
AZM1990w;2016-11-30-11-12-22;1,0;200,0;False;False;Block end;;48,0069999695;-0,920500278473;-1,0
AZM1990w;2016-11-30-11-12-22;2,0;250,0;True;False;Block start;;1480500859,46;-1,0;1,0
AZM1990w;2016-11-30-11-12-22;2,0;250,0;True;False;Percept;-1;3,23600006104;0,606500029564;1,0
AZM1990w;2016-11-30-11-12-22;2,0;250,0;True;False;Trajectory limit;-1;4,01999998093;1,00699996948;-1,0
AZM1990w;2016-11-30-11-12-22;2,0;250,0;True;False;Reverse rotation;;4,02699995041;1,00699996948;-1,0
AZM1990w;2016-11-30-11-12-22;2,0;250,0;True;False;Percept;1;4,8710000515;0,589999914169;-1,0
AZM1990w;2016-11-30-11-12-22;2,0;250,0;True;False;Trajectory limit;1;8,03999996185;-0,996999979019;1,0
AZM1990w;2016-11-30-11-12-22;2,0;250,0;True;False;Reverse rotation;;8,04500007629;-0,996999979019;1,0
AZM1990w;2016-11-30-11-12-22;2,0;250,0;True;False;Percept;-1;8,6740000248;-0,688499927521;1,0
AZM1990w;2016-11-30-11-12-22;2,0;250,0;True;False;Trajectory limit;-1;12,0429999828;1,00450003147;-1,0
AZM1990w;2016-11-30-11-12-22;2,0;250,0;True;False;Reverse rotation;;12,0490000248;1,00450003147;-1,0
AZM1990w;2016-11-30-11-12-22;2,0;250,0;True;False;Percept;-1;14,1619999409;-0,0469999313354;-1,0
AZM1990w;2016-11-30-11-12-22;2,0;250,0;True;False;Trajectory limit;1;16,0640001297;-0,993999958038;1,0
AZM1990w;2016-11-30-11-12-22;2,0;250,0;True;False;Reverse rotation;;16,0710000992;-0,993999958038;1,0
