Observer;SessionID;Block;sfmWidth;showHalo;playSound;Event;Value;Time;RelativeLocation;Direction
BPM1997w;2016-12-06-14-07-01;1;150;False;True;Block start;;1,48103e+09;-1;1
BPM1997w;2016-12-06-14-07-01;1;150;False;True;Sound;1;0,00800085;-1;1
BPM1997w;2016-12-06-14-07-01;1;150;False;True;Trajectory limit;-1;4,02023;1,00311;-1
BPM1997w;2016-12-06-14-07-01;1;150;False;True;Reverse rotation;;4,02923;1,00311;-1
BPM1997w;2016-12-06-14-07-01;1;150;False;True;Sound;-1;4,03523;1,00311;-1
BPM1997w;2016-12-06-14-07-01;1;150;False;True;Percept;1;4,52126;0,761101;-1
BPM1997w;2016-12-06-14-07-01;1;150;False;True;Trajectory limit;1;8,04046;-0,993;1
BPM1997w;2016-12-06-14-07-01;1;150;False;True;Reverse rotation;;8,04846;-0,993;1
BPM1997w;2016-12-06-14-07-01;1;150;False;True;Sound;1;8,05446;-0,993;1
BPM1997w;2016-12-06-14-07-01;1;150;False;True;Percept;-1;8,35748;-0,842491;1
BPM1997w;2016-12-06-14-07-01;1;150;False;True;Trajectory limit;-1;12,0277;1,00061;-1
BPM1997w;2016-12-06-14-07-01;1;150;False;True;Reverse rotation;;12,0347;1,00061;-1
BPM1997w;2016-12-06-14-07-01;1;150;False;True;Sound;-1;12,0407;1,00061;-1
BPM1997w;2016-12-06-14-07-01;1;150;False;True;Percept;1;12,3607;0,842105;-1
BPM1997w;2016-12-06-14-07-01;1;150;False;True;Trajectory limit;1;16,0309;-0,999;1
BPM1997w;2016-12-06-14-07-01;1;150;False;True;Reverse rotation;;16,0379;-0,999;1
BPM1997w;2016-12-06-14-07-01;1;150;False;True;Sound;1;16,0439;-0,999;1
BPM1997w;2016-12-06-14-07-01;1;150;False;True;Percept;-1;16,0809;-0,982499;1
BPM1997w;2016-12-06-14-07-01;1;150;False;True;Trajectory limit;-1;20,0341;1,00261;-1
BPM1997w;2016-12-06-14-07-01;1;150;False;True;Reverse rotation;;20,0401;1,00261;-1
BPM1997w;2016-12-06-14-07-01;1;150;False;True;Sound;-1;20,0461;1,00261;-1
BPM1997w;2016-12-06-14-07-01;1;150;False;True;Percept;1;20,2512;0,902608;-1
BPM1997w;2016-12-06-14-07-01;1;150;False;True;Trajectory limit;1;24,0544;-0,992499;1
BPM1997w;2016-12-06-14-07-01;1;150;False;True;Reverse rotation;;24,0604;-0,992499;1
BPM1997w;2016-12-06-14-07-01;1;150;False;True;Sound;1;24,0654;-0,992499;1
BPM1997w;2016-12-06-14-07-01;1;150;False;True;Percept;-1;24,3204;-0,867492;1
BPM1997w;2016-12-06-14-07-01;1;150;False;True;Trajectory limit;-1;28,0406;1,00061;-1
BPM1997w;2016-12-06-14-07-01;1;150;False;True;Reverse rotation;;28,0486;1,00061;-1
