Observer;SessionID;Block;sfmWidth;showHalo;playSound;Event;Value;Time;RelativeLocation;Direction
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Block start;NA;1464860000;-1;1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Percept;-1;0,933053;-0,543973;1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Percept;-1;1,08306;-0,468969;1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Trajectory limit;-1;4,01623;1,00561;-1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Reverse rotation;NA;4,02223;1,00561;-1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Percept;1;6,56638;-0,261458;-1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Trajectory limit;1;8,03346;-0,997;1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Reverse rotation;NA;8,03846;-0,997;1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Percept;-1;8,7665;-0,638479;1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Trajectory limit;-1;12,0337;1,00311;-1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Reverse rotation;NA;12,0407;1,00311;-1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Percept;1;12,7667;0,645093;-1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Percept;-1;15,1169;-0,529974;-1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Percept;-1;15,5829;-0,763487;-1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Trajectory limit;1;16,0499;-0,994999;1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Reverse rotation;NA;16,0549;-0,994999;1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Percept;1;16,75;-0,653479;1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Trajectory limit;-1;20,0501;1,00512;-1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Reverse rotation;NA;20,0571;1,00512;-1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Percept;1;20,7662;0,655095;-1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Trajectory limit;1;24,0664;-0,997;1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Reverse rotation;NA;24,0714;-0,997;1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Percept;-1;24,5834;-0,746987;1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Trajectory limit;-1;28,0666;1,00311;-1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Reverse rotation;NA;28,0716;1,00311;-1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Percept;1;28,5826;0,753099;-1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Percept;-1;31,3498;-0,62998;-1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Trajectory limit;1;32,0828;-0,994998;1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Reverse rotation;NA;32,0898;-0,994998;1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Percept;-1;32,5999;-0,744984;1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Percept;-1;32,7659;-0,661479;1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Trajectory limit;-1;36,0831;1,00512;-1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Reverse rotation;NA;36,0911;1,00512;-1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Percept;1;36,7831;0,663597;-1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Percept;-1;39,4663;-0,678981;-1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Trajectory limit;1;40,1003;-0,996501;1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Reverse rotation;NA;40,1053;-0,996501;1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Percept;-1;40,8993;-0,604978;1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Trajectory limit;-1;44,0995;1,00311;-1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Reverse rotation;NA;44,1055;1,00311;-1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Percept;1;44,5996;0,761099;-1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Percept;-1;47,8997;-0,888495;-1
DGR1990w;2016-06-02-12-29-51;1;250;True;False;Block end;NA;48,0167;-0,946999;-1
DGR1990w;2016-06-02-12-29-51;2;175;True;False;Block start;NA;1464860000;-1;1
DGR1990w;2016-06-02-12-29-51;2;175;True;False;Percept;-1;0,933053;-0,544474;1
DGR1990w;2016-06-02-12-29-51;2;175;True;False;Trajectory limit;-1;4,01623;1,00512;-1
DGR1990w;2016-06-02-12-29-51;2;175;True;False;Reverse rotation;NA;4,02223;1,00512;-1
DGR1990w;2016-06-02-12-29-51;2;175;True;False;Percept;1;4,66627;0,688097;-1
DGR1990w;2016-06-02-12-29-51;2;175;True;False;Percept;-1;7,0164;-0,48697;-1
DGR1990w;2016-06-02-12-29-51;2;175;True;False;Trajectory limit;1;8,03346;-0,996501;1
DGR1990w;2016-06-02-12-29-51;2;175;True;False;Reverse rotation;NA;8,03846;-0,996501;1
DGR1990w;2016-06-02-12-29-51;2;175;True;False;Percept;-1;8,93351;-0,554975;1
DGR1990w;2016-06-02-12-29-51;2;175;True;False;Percept;1;9,83356;-0,10495;1
DGR1990w;2016-06-02-12-29-51;2;175;True;False;Percept;-1;11,5827;0,7701;1
DGR1990w;2016-06-02-12-29-51;2;175;True;False;Trajectory limit;-1;12,0337;1,00361;-1
DGR1990w;2016-06-02-12-29-51;2;175;True;False;Reverse rotation;NA;12,0387;1,00361;-1
DGR1990w;2016-06-02-12-29-51;2;175;True;False;Percept;1;12,8667;0,59559;-1
DGR1990w;2016-06-02-12-29-51;2;175;True;False;Percept;-1;15,0329;-0,487972;-1
DGR1990w;2016-06-02-12-29-51;2;175;True;False;Trajectory limit;1;16,0499;-0,995499;1
DGR1990w;2016-06-02-12-29-51;2;175;True;False;Reverse rotation;NA;16,0559;-0,995499;1
