Observer;SessionID;Block;sfmWidth;showHalo;playSound;Event;Value;Time;RelativeLocation;Direction
EGN1994m;2016-12-08-09-01-35;1;300;False;True;Block start;;1,48118e+09;-1;1
EGN1994m;2016-12-08-09-01-35;1;300;False;True;Sound;1;0,00800109;-1;1
EGN1994m;2016-12-08-09-01-35;1;300;False;True;Percept;-1;1,6681;-0,180953;1
EGN1994m;2016-12-08-09-01-35;1;300;False;True;Trajectory limit;-1;4,02023;1,00311;-1
EGN1994m;2016-12-08-09-01-35;1;300;False;True;Reverse rotation;;4,02823;1,00311;-1
EGN1994m;2016-12-08-09-01-35;1;300;False;True;Sound;-1;4,03423;1,00311;-1
EGN1994m;2016-12-08-09-01-35;1;300;False;True;Percept;1;4,80428;0,619592;-1
EGN1994m;2016-12-08-09-01-35;1;300;False;True;Trajectory limit;1;8,04046;-0,992999;1
EGN1994m;2016-12-08-09-01-35;1;300;False;True;Reverse rotation;;8,04746;-0,992999;1
EGN1994m;2016-12-08-09-01-35;1;300;False;True;Sound;1;8,05446;-0,992999;1
EGN1994m;2016-12-08-09-01-35;1;300;False;True;Percept;-1;8,82451;-0,609478;1
EGN1994m;2016-12-08-09-01-35;1;300;False;True;Trajectory limit;-1;12,0267;1,00011;-1
EGN1994m;2016-12-08-09-01-35;1;300;False;True;Reverse rotation;;12,0347;1,00011;-1
EGN1994m;2016-12-08-09-01-35;1;300;False;True;Sound;-1;12,0407;1,00011;-1
EGN1994m;2016-12-08-09-01-35;1;300;False;True;Percept;1;12,5107;0,766601;-1
EGN1994m;2016-12-08-09-01-35;1;300;False;True;Trajectory limit;1;16,0299;-0,9985;1
EGN1994m;2016-12-08-09-01-35;1;300;False;True;Reverse rotation;;16,0359;-0,9985;1
EGN1994m;2016-12-08-09-01-35;1;300;False;True;Sound;1;16,0419;-0,9985;1
EGN1994m;2016-12-08-09-01-35;1;300;False;True;Percept;-1;16,4309;-0,806489;1
EGN1994m;2016-12-08-09-01-35;1;300;False;True;Trajectory limit;-1;20,0341;1,00361;-1
EGN1994m;2016-12-08-09-01-35;1;300;False;True;Reverse rotation;;20,0391;1,00361;-1
EGN1994m;2016-12-08-09-01-35;1;300;False;True;Sound;-1;20,0451;1,00361;-1
EGN1994m;2016-12-08-09-01-35;1;300;False;True;Percept;1;20,3502;0,853606;-1
