Observer;SessionID;Block;sfmWidth;showHalo;playSound;Event;Value;Time;RelativeLocation;Direction
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Block start;;1,48058e+09;-1;1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Sound;1;0,00700092;-1;1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Percept;1;3,08518;0,528087;1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Trajectory limit;-1;4,02023;1,00361;-1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Reverse rotation;;4,02723;1,00361;-1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Sound;-1;4,03323;1,00361;-1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Percept;1;5,43731;0,303074;-1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Trajectory limit;1;8,03946;-0,993999;1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Reverse rotation;;8,04546;-0,993999;1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Sound;1;8,05246;-0,993999;1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Percept;1;8,8235;-0,609977;1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Percept;-1;11,9767;0,966113;1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Trajectory limit;-1;12,0437;1,00762;-1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Reverse rotation;;12,0497;1,00762;-1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Sound;-1;12,0557;1,00762;-1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Percept;1;13,4608;0,306575;-1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Trajectory limit;1;16,0629;-0,9975;1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Reverse rotation;;16,0719;-0,9975;1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Sound;1;16,0779;-0,9975;1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Percept;-1;17,447;-0,313461;1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Percept;1;19,9331;0,92911;1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Trajectory limit;-1;20,0661;1,00411;-1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Reverse rotation;;20,0751;1,00411;-1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Sound;-1;20,0821;1,00411;-1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Percept;-1;23,4023;-0,655981;-1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Trajectory limit;1;24,0864;-0,993999;1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Reverse rotation;;24,0934;-0,993999;1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Sound;1;24,0994;-0,993999;1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Percept;-1;25,8375;-0,12645;1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Trajectory limit;-1;28,0896;1,00762;-1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Reverse rotation;;28,0956;1,00762;-1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Sound;-1;28,1016;1,00762;-1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Percept;1;29,2577;0,432082;-1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Trajectory limit;1;32,1098;-0,9975;1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Reverse rotation;;32,1178;-0,9975;1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Sound;1;32,1248;-0,9975;1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Percept;-1;32,9769;-0,571976;1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Trajectory limit;-1;36,1131;1,00411;-1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Reverse rotation;;36,1211;1,00411;-1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Sound;-1;36,1271;1,00411;-1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Percept;1;36,9641;0,58709;-1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Percept;1;39,5163;-0,688983;-1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Trajectory limit;1;40,1333;-0,993999;1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Reverse rotation;;40,1393;-0,993999;1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Sound;1;40,1463;-0,993999;1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Percept;-1;42,2514;0,0565608;1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Trajectory limit;-1;44,1365;1,00762;-1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Reverse rotation;;44,1445;1,00762;-1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Sound;-1;44,1505;1,00762;-1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Percept;1;46,8557;-0,343462;-1
PHM1988w;2016-12-01-09-55-46;1;200;True;True;Block end;;48,0057;-0,918995;-1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Block start;;1,48058e+09;-1;1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Sound;1;0,006001;-1;1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Percept;-1;1,05106;-0,488971;1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Trajectory limit;-1;4,02023;1,00411;-1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Reverse rotation;;4,02823;1,00411;-1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Sound;-1;4,03723;1,00411;-1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Percept;1;4,92028;0,562089;-1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Trajectory limit;1;8,04046;-0,993999;1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Reverse rotation;;8,04846;-0,993999;1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Sound;1;8,05546;-0,993999;1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Percept;-1;8,6575;-0,693982;1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Trajectory limit;-1;12,0437;1,00761;-1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Reverse rotation;;12,0507;1,00761;-1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Sound;-1;12,0567;1,00761;-1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Percept;1;12,6767;0,699098;-1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Trajectory limit;1;16,0639;-0,9975;1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Reverse rotation;;16,0689;-0,9975;1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Sound;1;16,0759;-0,9975;1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Percept;-1;16,731;-0,672482;1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Trajectory limit;-1;20,0671;1,00411;-1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Reverse rotation;;20,0731;1,00411;-1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Sound;-1;20,0791;1,00411;-1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Percept;1;20,7502;0,670596;-1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Trajectory limit;1;24,0864;-0,994499;1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Reverse rotation;;24,0954;-0,994499;1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Sound;1;24,1014;-0,994499;1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Percept;-1;24,9044;-0,593976;1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Trajectory limit;-1;28,0906;1,00761;-1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Reverse rotation;;28,0986;1,00761;-1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Sound;-1;28,1056;1,00761;-1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Percept;1;28,5566;0,782602;-1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Trajectory limit;1;32,1098;-0,998;1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Reverse rotation;;32,1188;-0,998;1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Sound;1;32,1258;-0,998;1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Percept;-1;32,8769;-0,622478;1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Trajectory limit;-1;36,1131;1,00361;-1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Reverse rotation;;36,1211;1,00361;-1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Sound;-1;36,1281;1,00361;-1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Percept;1;36,8471;0,644594;-1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Trajectory limit;1;40,1333;-0,9935;1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Reverse rotation;;40,1413;-0,9935;1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Sound;1;40,1473;-0,9935;1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Percept;-1;41,2344;-0,451468;1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Trajectory limit;-1;44,1205;1,00011;-1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Reverse rotation;;44,1285;1,00011;-1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Sound;-1;44,1355;1,00011;-1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Percept;1;44,9036;0,616592;-1
PHM1988w;2016-12-01-09-55-46;2;300;True;True;Block end;;48,0067;-0,934496;-1
PHM1988w;2016-12-01-09-55-46;3;250;True;False;Block start;;1,48058e+09;-1;1
PHM1988w;2016-12-01-09-55-46;3;250;True;False;Percept;-1;0,851048;-0,585976;1
PHM1988w;2016-12-01-09-55-46;3;250;True;False;Trajectory limit;-1;4,02023;1,00712;-1
PHM1988w;2016-12-01-09-55-46;3;250;True;False;Reverse rotation;;4,02823;1,00712;-1
PHM1988w;2016-12-01-09-55-46;3;250;True;False;Percept;1;4,52026;0,765101;-1
PHM1988w;2016-12-01-09-55-46;3;250;True;False;Trajectory limit;1;8,04046;-0,997;1
PHM1988w;2016-12-01-09-55-46;3;250;True;False;Reverse rotation;;8,04646;-0,997;1
PHM1988w;2016-12-01-09-55-46;3;250;True;False;Percept;-1;8,52349;-0,763487;1
PHM1988w;2016-12-01-09-55-46;3;250;True;False;Trajectory limit;-1;12,0437;1,00461;-1
PHM1988w;2016-12-01-09-55-46;3;250;True;False;Reverse rotation;;12,0497;1,00461;-1
PHM1988w;2016-12-01-09-55-46;3;250;True;False;Percept;1;12,7777;0,646094;-1
PHM1988w;2016-12-01-09-55-46;3;250;True;False;Trajectory limit;1;16,0639;-0,9945;1
PHM1988w;2016-12-01-09-55-46;3;250;True;False;Reverse rotation;;16,0709;-0,9945;1
PHM1988w;2016-12-01-09-55-46;3;250;True;False;Percept;-1;16,747;-0,660981;1
PHM1988w;2016-12-01-09-55-46;3;250;True;False;Trajectory limit;-1;20,0671;1,00711;-1
PHM1988w;2016-12-01-09-55-46;3;250;True;False;Reverse rotation;;20,0741;1,00711;-1
PHM1988w;2016-12-01-09-55-46;3;250;True;False;Percept;1;20,7012;0,698596;-1
PHM1988w;2016-12-01-09-55-46;3;250;True;False;Trajectory limit;1;24,0874;-0,997;1
PHM1988w;2016-12-01-09-55-46;3;250;True;False;Reverse rotation;;24,0944;-0,997;1
PHM1988w;2016-12-01-09-55-46;3;250;True;False;Percept;-1;24,8544;-0,621978;1
PHM1988w;2016-12-01-09-55-46;3;250;True;False;Trajectory limit;-1;28,0906;1,00462;-1
PHM1988w;2016-12-01-09-55-46;3;250;True;False;Reverse rotation;;28,0976;1,00462;-1
PHM1988w;2016-12-01-09-55-46;3;250;True;False;Percept;1;28,6406;0,7376;-1
PHM1988w;2016-12-01-09-55-46;3;250;True;False;Trajectory limit;1;32,1108;-0,9945;1
PHM1988w;2016-12-01-09-55-46;3;250;True;False;Reverse rotation;;32,1168;-0,9945;1
