Observer;SessionID;Block;sfmWidth;showHalo;playSound;Event;Value;Time;RelativeLocation;Direction
SKL1994w;2016-05-24-10-51-50;1;175;False;True;Block start;NA;1464080000;-1;1
SKL1994w;2016-05-24-10-51-50;1;175;False;True;Sound;1;0,00900006;-1;1
SKL1994w;2016-05-24-10-51-50;1;175;False;True;Percept;-1;1,20007;-0,415967;1
SKL1994w;2016-05-24-10-51-50;1;175;False;True;Trajectory limit;-1;4,01723;1,00111;-1
SKL1994w;2016-05-24-10-51-50;1;175;False;True;Reverse rotation;NA;4,02423;1,00111;-1
SKL1994w;2016-05-24-10-51-50;1;175;False;True;Sound;-1;4,03023;1,00111;-1
SKL1994w;2016-05-24-10-51-50;1;175;False;True;Percept;1;4,75027;0,643093;-1
SKL1994w;2016-05-24-10-51-50;1;175;False;True;Trajectory limit;1;8,03346;-0,992999;1
SKL1994w;2016-05-24-10-51-50;1;175;False;True;Reverse rotation;NA;8,04046;-0,992999;1
SKL1994w;2016-05-24-10-51-50;1;175;False;True;Sound;1;8,04646;-0,992999;1
SKL1994w;2016-05-24-10-51-50;1;175;False;True;Percept;-1;8,83351;-0,601477;1
SKL1994w;2016-05-24-10-51-50;1;175;False;True;Trajectory limit;-1;12,0337;1,00712;-1
SKL1994w;2016-05-24-10-51-50;1;175;False;True;Reverse rotation;NA;12,0397;1,00712;-1
SKL1994w;2016-05-24-10-51-50;1;175;False;True;Sound;-1;12,0457;1,00712;-1
SKL1994w;2016-05-24-10-51-50;1;175;False;True;Percept;1;12,7337;0,665596;-1
SKL1994w;2016-05-24-10-51-50;1;175;False;True;Trajectory limit;1;16,0499;-0,999;1
SKL1994w;2016-05-24-10-51-50;1;175;False;True;Reverse rotation;NA;16,0569;-0,999;1
SKL1994w;2016-05-24-10-51-50;1;175;False;True;Sound;1;16,0629;-0,999;1
SKL1994w;2016-05-24-10-51-50;1;175;False;True;Percept;-1;16,65;-0,707484;1
SKL1994w;2016-05-24-10-51-50;1;175;False;True;Trajectory limit;-1;20,0501;1,00111;-1
SKL1994w;2016-05-24-10-51-50;1;175;False;True;Reverse rotation;NA;20,0581;1,00111;-1
SKL1994w;2016-05-24-10-51-50;1;175;False;True;Sound;-1;20,0671;1,00111;-1
SKL1994w;2016-05-24-10-51-50;1;175;False;True;Percept;1;20,4002;0,834604;-1
SKL1994w;2016-05-24-10-51-50;1;175;False;True;Trajectory limit;1;24,0664;-0,992999;1
