Observer;SessionID;Block;sfmWidth;showHalo;playSound;Event;Value;Time;RelativeLocation;Direction
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Block start;;1,48093e+09;-1;1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Percept;-1;1,21807;-0,403466;1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Trajectory limit;-1;4,02023;1,00611;-1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Reverse rotation;;4,02623;1,00611;-1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Percept;-1;4,38725;0,830604;-1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Percept;-1;7,30642;-0,628979;-1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Trajectory limit;1;8,04046;-0,995999;1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Reverse rotation;;8,04746;-0,995999;1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Percept;1;9,52454;-0,261957;1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Trajectory limit;-1;12,0437;1,00562;-1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Reverse rotation;;12,0507;1,00562;-1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Percept;1;12,1777;0,947112;-1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Percept;-1;15,1459;-0,537473;-1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Trajectory limit;1;16,0639;-0,9955;1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Reverse rotation;;16,0699;-0,9955;1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Percept;1;17,715;-0,177953;1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Percept;1;18,9161;0,422581;1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Trajectory limit;-1;20,0671;1,00611;-1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Reverse rotation;;20,0741;1,00611;-1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Percept;-1;22,9693;-0,436968;-1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Trajectory limit;1;24,0874;-0,995999;1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Reverse rotation;;24,0944;-0,995999;1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Percept;1;25,2714;-0,412466;1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Trajectory limit;-1;28,0906;1,00562;-1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Reverse rotation;;28,0966;1,00562;-1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Percept;-1;30,9428;-0,412466;-1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Trajectory limit;1;32,1108;-0,9955;1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Reverse rotation;;32,1168;-0,9955;1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Percept;1;33,0449;-0,536974;1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Percept;1;35,8471;0,864106;1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Trajectory limit;-1;36,1141;1,00611;-1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Reverse rotation;;36,1211;1,00611;-1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Percept;-1;39,1332;-0,494972;-1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Trajectory limit;1;40,1343;-0,995999;1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Reverse rotation;;40,1403;-0,995999;1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Percept;1;41,3344;-0,403965;1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Percept;-1;43,7535;0,805104;1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Trajectory limit;-1;44,1375;1,00562;-1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Reverse rotation;;44,1435;1,00562;-1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Percept;-1;47,5237;-0,678981;-1
UKS1989m;2016-12-05-10-39-45;1;175;True;False;Block end;;48,0067;-0,920995;-1
UKS1989m;2016-12-05-10-39-45;2;250;False;False;Block start;;1,48093e+09;-1;1
UKS1989m;2016-12-05-10-39-45;2;250;False;False;Percept;-1;1,01806;-0,502471;1
UKS1989m;2016-12-05-10-39-45;2;250;False;False;Trajectory limit;-1;4,02023;1,00711;-1
UKS1989m;2016-12-05-10-39-45;2;250;False;False;Reverse rotation;;4,02623;1,00711;-1
UKS1989m;2016-12-05-10-39-45;2;250;False;False;Percept;-1;5,3213;0,365077;-1
UKS1989m;2016-12-05-10-39-45;2;250;False;False;Trajectory limit;1;8,04046;-0,997;1
UKS1989m;2016-12-05-10-39-45;2;250;False;False;Reverse rotation;;8,04646;-0,997;1
UKS1989m;2016-12-05-10-39-45;2;250;False;False;Percept;1;8,90751;-0,571975;1
UKS1989m;2016-12-05-10-39-45;2;250;False;False;Percept;1;11,9597;0,954612;1
UKS1989m;2016-12-05-10-39-45;2;250;False;False;Trajectory limit;-1;12,0437;1,00461;-1
UKS1989m;2016-12-05-10-39-45;2;250;False;False;Reverse rotation;;12,0497;1,00461;-1
UKS1989m;2016-12-05-10-39-45;2;250;False;False;Percept;-1;14,9129;-0,421467;-1
UKS1989m;2016-12-05-10-39-45;2;250;False;False;Trajectory limit;1;16,0639;-0,9945;1
UKS1989m;2016-12-05-10-39-45;2;250;False;False;Reverse rotation;;16,0699;-0,9945;1
UKS1989m;2016-12-05-10-39-45;2;250;False;False;Percept;1;16,847;-0,610978;1
UKS1989m;2016-12-05-10-39-45;2;250;False;False;Trajectory limit;-1;20,0671;1,00711;-1
UKS1989m;2016-12-05-10-39-45;2;250;False;False;Reverse rotation;;20,0731;1,00711;-1
UKS1989m;2016-12-05-10-39-45;2;250;False;False;Percept;-1;21,5012;0,298074;-1
UKS1989m;2016-12-05-10-39-45;2;250;False;False;Trajectory limit;1;24,0874;-0,997;1
UKS1989m;2016-12-05-10-39-45;2;250;False;False;Reverse rotation;;24,0924;-0,997;1
UKS1989m;2016-12-05-10-39-45;2;250;False;False;Percept;1;24,7874;-0,65548;1
UKS1989m;2016-12-05-10-39-45;2;250;False;False;Percept;1;27,7236;0,812604;1
UKS1989m;2016-12-05-10-39-45;2;250;False;False;Trajectory limit;-1;28,0906;1,00461;-1
UKS1989m;2016-12-05-10-39-45;2;250;False;False;Reverse rotation;;28,0966;1,00461;-1
UKS1989m;2016-12-05-10-39-45;2;250;False;False;Percept;-1;30,9758;-0,429967;-1
UKS1989m;2016-12-05-10-39-45;2;250;False;False;Trajectory limit;1;32,1098;-0,995;1
UKS1989m;2016-12-05-10-39-45;2;250;False;False;Reverse rotation;;32,1158;-0,995;1
UKS1989m;2016-12-05-10-39-45;2;250;False;False;Percept;1;35,146;0,514587;1
UKS1989m;2016-12-05-10-39-45;2;250;False;False;Trajectory limit;-1;36,1141;1,00711;-1
UKS1989m;2016-12-05-10-39-45;2;250;False;False;Reverse rotation;;36,1201;1,00711;-1
UKS1989m;2016-12-05-10-39-45;2;250;False;False;Percept;1;39,4163;-0,635479;-1
UKS1989m;2016-12-05-10-39-45;2;250;False;False;Trajectory limit;1;40,1333;-0,9975;1
UKS1989m;2016-12-05-10-39-45;2;250;False;False;Reverse rotation;;40,1393;-0,9975;1
UKS1989m;2016-12-05-10-39-45;2;250;False;False;Percept;-1;42,9025;0,378579;1
UKS1989m;2016-12-05-10-39-45;2;250;False;False;Trajectory limit;-1;44,1365;1,00411;-1
UKS1989m;2016-12-05-10-39-45;2;250;False;False;Reverse rotation;;44,1435;1,00411;-1
UKS1989m;2016-12-05-10-39-45;2;250;False;False;Percept;1;45,3216;0,420081;-1
UKS1989m;2016-12-05-10-39-45;2;250;False;False;Block end;;48,0067;-0,922495;-1
UKS1989m;2016-12-05-10-39-45;3;175;False;False;Block start;;1,48093e+09;-1;1
UKS1989m;2016-12-05-10-39-45;3;175;False;False;Percept;1;0,568032;-0,727984;1
UKS1989m;2016-12-05-10-39-45;3;175;False;False;Trajectory limit;-1;4,02023;1,00662;-1
