Observer;SessionID;Block;Occluder;Color;Event;Value;Time;RelativeLocation;Direction
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Block start;;1480502910,92;-1,0;1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Percept;-1;3,3860001564;0,681999921799;1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Trajectory limit;-1;4,02100014687;1,00800001621;-1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Reverse rotation;;4,02600002289;1,00800001621;-1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Percept;1;4,80500006676;0,62450003624;-1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Trajectory limit;1;8,04100012779;-0,998000025749;1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Reverse rotation;;8,04600000381;-0,998000025749;1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Percept;-1;8,60800004005;-0,723000049591;1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Trajectory limit;-1;12,0440001488;1,00349998474;-1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Reverse rotation;;12,0490000248;1,00349998474;-1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Percept;1;12,6270000935;0,72000002861;-1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Trajectory limit;1;16,0640001297;-0,993499994278;1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Reverse rotation;;16,0690000057;-0,993499994278;1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Percept;-1;16,6809999943;-0,693500041962;1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Trajectory limit;-1;20,0670001507;1,00800001621;-1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Reverse rotation;;20,0729999542;1,00800001621;-1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Percept;1;20,6840000153;0,708000063896;-1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Trajectory limit;1;24,0870001316;-0,998000025749;1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Reverse rotation;;24,0930001736;-0,998000025749;1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Percept;-1;25,5720000267;-0,264000058174;1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Trajectory limit;-1;28,0910000801;1,0039999485;-1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Reverse rotation;;28,0959999561;1,0039999485;-1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Percept;1;28,7910001278;0,662499904633;-1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Trajectory limit;1;32,1100001335;-0,994499921799;1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Reverse rotation;;32,1160001755;-0,994499921799;1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Percept;-1;32,7769999504;-0,668999910355;1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Trajectory limit;-1;36,1130001545;1,00700008869;-1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Reverse rotation;;36,118999958;1,00700008869;-1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Percept;1;36,5970001221;0,773500084877;-1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Trajectory limit;1;40,1340000629;-0,996500134468;1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Reverse rotation;;40,1390001774;-0,996500134468;1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Percept;-1;40,7680001259;-0,68800008297;1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Trajectory limit;-1;44,1370000839;1,00499987602;-1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Reverse rotation;;44,1430001259;1,00499987602;-1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Percept;-1;45,4220001698;0,370999932289;-1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Trajectory limit;1;48,1570000648;-0,994999885559;1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Reverse rotation;;48,1640000343;-0,994999885559;1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Percept;-1;49,0240001678;-0,569499850273;1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Trajectory limit;-1;52,1600000858;1,00650012493;-1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Reverse rotation;;52,1660001278;1,00650012493;-1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Percept;-1;53,9609999657;0,114000082016;-1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Trajectory limit;1;56,1800000668;-0,996500134468;1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Reverse rotation;;56,1860001087;-0,996500134468;1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Percept;-1;56,9820001125;-0,604000091553;1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Trajectory limit;-1;60,1840000153;1,00549983978;-1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Reverse rotation;;60,1890001297;1,00549983978;-1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Percept;1;62,0520000458;0,0794998407364;-1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Trajectory limit;1;64,2039999962;-0,995499849319;1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Reverse rotation;;64,2090001106;-0,995499849319;1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Trajectory limit;-1;68,2070000172;1,00600016117;-1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Reverse rotation;;68,2120001316;1,00600016117;-1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Percept;1;69,0910000801;0,572500109673;-1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Trajectory limit;1;72,2269999981;-0,996000170708;1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Reverse rotation;;72,2330000401;-0,996000170708;1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Percept;-1;72,8440001011;-0,696000099182;1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Trajectory limit;-1;76,231000185;1,00599992275;-1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Reverse rotation;;76,2369999886;1,00599992275;-1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Percept;1;77,5150001049;0,37249994278;-1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Trajectory limit;1;80,2510001659;-0,995999932289;1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Reverse rotation;;80,256000042;-0,995999932289;1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Percept;-1;80,8180000782;-0,720999956131;1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Trajectory limit;-1;84,2540001869;1,0055000782;-1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Reverse rotation;;84,2590000629;1,0055000782;-1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Percept;1;84,7369999886;0,772000193596;-1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Trajectory limit;1;88,2740001678;-0,995500087738;1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Reverse rotation;;88,2790000439;-0,995500087738;1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Percept;-1;88,7070000172;-0,787000179291;1,0
AZM1990w;2016-11-30-11-48-11;1,0;5;y;Block end;;92,0110001564;0,864499807358;1,0
AZM1990w;2016-11-30-11-48-11;2,0;50;y;Block start;;1480503005,54;-1,0;1,0
AZM1990w;2016-11-30-11-48-11;2,0;50;y;Percept;1;1,71799993515;-0,151999950409;1,0
AZM1990w;2016-11-30-11-48-11;2,0;50;y;Trajectory limit;-1;4,01999998093;1,00750005245;-1,0
AZM1990w;2016-11-30-11-48-11;2,0;50;y;Reverse rotation;;4,02600002289;1,00750005245;-1,0
AZM1990w;2016-11-30-11-48-11;2,0;50;y;Percept;-1;4,72000002861;0,666000127792;-1,0
AZM1990w;2016-11-30-11-48-11;2,0;50;y;Trajectory limit;1;8,03899979591;-0,998000144958;1,0
AZM1990w;2016-11-30-11-48-11;2,0;50;y;Reverse rotation;;8,04499983788;-0,998000144958;1,0
AZM1990w;2016-11-30-11-48-11;2,0;50;y;Percept;1;8,65599989891;-0,697500109673;1,0
AZM1990w;2016-11-30-11-48-11;2,0;50;y;Trajectory limit;-1;12,0429999828;1,0039999485;-1,0
AZM1990w;2016-11-30-11-48-11;2,0;50;y;Reverse rotation;;12,0490000248;1,0039999485;-1,0
AZM1990w;2016-11-30-11-48-11;2,0;50;y;Percept;-1;13,7769999504;0,145499944687;-1,0
