Observer;SessionID;Block;Occluder;Color;Event;Value;Time;RelativeLocation;Direction
BPM1997w;2016-12-06-14-44-03;1;0;b;Block start;;1,48103e+09;-1;1
BPM1997w;2016-12-06-14-44-03;1;0;b;Trajectory limit;-1;4,02023;1,00761;-1
BPM1997w;2016-12-06-14-44-03;1;0;b;Reverse rotation;;4,02523;1,00761;-1
BPM1997w;2016-12-06-14-44-03;1;0;b;Percept;1;4,32025;0,866107;-1
BPM1997w;2016-12-06-14-44-03;1;0;b;Percept;-1;7,12241;-0,534974;-1
BPM1997w;2016-12-06-14-44-03;1;0;b;Trajectory limit;1;8,03946;-0,998;1
BPM1997w;2016-12-06-14-44-03;1;0;b;Reverse rotation;;8,04546;-0,998;1
BPM1997w;2016-12-06-14-44-03;1;0;b;Percept;1;8,44048;-0,805989;1
BPM1997w;2016-12-06-14-44-03;1;0;b;Percept;-1;8,90751;-0,572475;1
BPM1997w;2016-12-06-14-44-03;1;0;b;Trajectory limit;-1;12,0427;1,00361;-1
BPM1997w;2016-12-06-14-44-03;1;0;b;Reverse rotation;;12,0487;1,00361;-1
BPM1997w;2016-12-06-14-44-03;1;0;b;Percept;1;12,3937;0,836605;-1
BPM1997w;2016-12-06-14-44-03;1;0;b;Percept;-1;15,0119;-0,47297;-1
BPM1997w;2016-12-06-14-44-03;1;0;b;Trajectory limit;1;16,0629;-0,9935;1
BPM1997w;2016-12-06-14-44-03;1;0;b;Reverse rotation;;16,0709;-0,9935;1
BPM1997w;2016-12-06-14-44-03;1;0;b;Percept;1;17,047;-0,509472;1
BPM1997w;2016-12-06-14-44-03;1;0;b;Percept;-1;19,0321;0,483085;1
BPM1997w;2016-12-06-14-44-03;1;0;b;Trajectory limit;-1;20,0501;1,00011;-1
BPM1997w;2016-12-06-14-44-03;1;0;b;Reverse rotation;;20,0551;1,00011;-1
BPM1997w;2016-12-06-14-44-03;1;0;b;Percept;1;20,4502;0,808603;-1
BPM1997w;2016-12-06-14-44-03;1;0;b;Percept;-1;22,8023;-0,367464;-1
BPM1997w;2016-12-06-14-44-03;1;0;b;Trajectory limit;1;24,0534;-0,9985;1
BPM1997w;2016-12-06-14-44-03;1;0;b;Reverse rotation;;24,0584;-0,9985;1
BPM1997w;2016-12-06-14-44-03;1;0;b;Percept;1;24,4534;-0,806989;1
BPM1997w;2016-12-06-14-44-03;1;0;b;Trajectory limit;-1;28,0566;1,00311;-1
