Observer;SessionID;Block;Occluder;Color;Event;Value;Time;RelativeLocation;Direction
CEN2000w;2016-12-01-11-48-46;1;5;y;Block start;;1,48059e+09;-1;1
CEN2000w;2016-12-01-11-48-46;1;5;y;Percept;-1;1,93511;-0,043445;1
CEN2000w;2016-12-01-11-48-46;1;5;y;Trajectory limit;-1;4,02023;1,00761;-1
CEN2000w;2016-12-01-11-48-46;1;5;y;Reverse rotation;;4,02523;1,00761;-1
CEN2000w;2016-12-01-11-48-46;1;5;y;Percept;1;4,48726;0,782602;-1
CEN2000w;2016-12-01-11-48-46;1;5;y;Trajectory limit;1;8,04046;-0,9975;1
CEN2000w;2016-12-01-11-48-46;1;5;y;Reverse rotation;;8,04546;-0,9975;1
CEN2000w;2016-12-01-11-48-46;1;5;y;Percept;-1;8,47548;-0,788988;1
CEN2000w;2016-12-01-11-48-46;1;5;y;Trajectory limit;-1;12,0437;1,00411;-1
CEN2000w;2016-12-01-11-48-46;1;5;y;Reverse rotation;;12,0497;1,00411;-1
CEN2000w;2016-12-01-11-48-46;1;5;y;Percept;1;12,4267;0,820604;-1
CEN2000w;2016-12-01-11-48-46;1;5;y;Trajectory limit;1;16,0639;-0,994;1
CEN2000w;2016-12-01-11-48-46;1;5;y;Reverse rotation;;16,0689;-0,994;1
CEN2000w;2016-12-01-11-48-46;1;5;y;Percept;-1;16,4809;-0,793988;1
CEN2000w;2016-12-01-11-48-46;1;5;y;Trajectory limit;-1;20,0671;1,00761;-1
CEN2000w;2016-12-01-11-48-46;1;5;y;Reverse rotation;;20,0731;1,00761;-1
CEN2000w;2016-12-01-11-48-46;1;5;y;Percept;1;20,4672;0,816104;-1
CEN2000w;2016-12-01-11-48-46;1;5;y;Trajectory limit;1;24,0874;-0,9975;1
CEN2000w;2016-12-01-11-48-46;1;5;y;Reverse rotation;;24,0924;-0,9975;1
CEN2000w;2016-12-01-11-48-46;1;5;y;Percept;-1;24,4704;-0,814489;1
CEN2000w;2016-12-01-11-48-46;1;5;y;Trajectory limit;-1;28,0906;1,00411;-1
CEN2000w;2016-12-01-11-48-46;1;5;y;Reverse rotation;;28,0966;1,00411;-1
CEN2000w;2016-12-01-11-48-46;1;5;y;Percept;1;28,4406;0,837605;-1
CEN2000w;2016-12-01-11-48-46;1;5;y;Trajectory limit;1;32,1098;-0,9945;1
CEN2000w;2016-12-01-11-48-46;1;5;y;Reverse rotation;;32,1158;-0,9945;1
CEN2000w;2016-12-01-11-48-46;1;5;y;Percept;-1;32,4939;-0,810989;1
CEN2000w;2016-12-01-11-48-46;1;5;y;Trajectory limit;-1;36,1141;1,00761;-1
CEN2000w;2016-12-01-11-48-46;1;5;y;Reverse rotation;;36,1191;1,00761;-1
CEN2000w;2016-12-01-11-48-46;1;5;y;Percept;1;36,5141;0,816104;-1
CEN2000w;2016-12-01-11-48-46;1;5;y;Trajectory limit;1;40,1333;-0,998;1
CEN2000w;2016-12-01-11-48-46;1;5;y;Reverse rotation;;40,1393;-0,998;1
CEN2000w;2016-12-01-11-48-46;1;5;y;Percept;-1;40,5003;-0,82249;1
CEN2000w;2016-12-01-11-48-46;1;5;y;Trajectory limit;-1;44,1365;1,00361;-1
CEN2000w;2016-12-01-11-48-46;1;5;y;Reverse rotation;;44,1425;1,00361;-1
CEN2000w;2016-12-01-11-48-46;1;5;y;Percept;1;44,4705;0,845105;-1
CEN2000w;2016-12-01-11-48-46;1;5;y;Block end;;48,0067;-0,922996;-1
CEN2000w;2016-12-01-11-48-46;2;10;y;Block start;;1,48059e+09;-1;1
CEN2000w;2016-12-01-11-48-46;2;10;y;Percept;-1;2,00111;-0,00994301;1
CEN2000w;2016-12-01-11-48-46;2;10;y;Trajectory limit;-1;4,02023;1,00762;-1
CEN2000w;2016-12-01-11-48-46;2;10;y;Reverse rotation;;4,02523;1,00762;-1
CEN2000w;2016-12-01-11-48-46;2;10;y;Percept;1;4,42025;0,816104;-1
CEN2000w;2016-12-01-11-48-46;2;10;y;Trajectory limit;1;8,03946;-0,998;1
CEN2000w;2016-12-01-11-48-46;2;10;y;Reverse rotation;;8,04546;-0,998;1
CEN2000w;2016-12-01-11-48-46;2;10;y;Percept;-1;8,54049;-0,755986;1
CEN2000w;2016-12-01-11-48-46;2;10;y;Trajectory limit;-1;12,0437;1,00411;-1
CEN2000w;2016-12-01-11-48-46;2;10;y;Reverse rotation;;12,0507;1,00411;-1
CEN2000w;2016-12-01-11-48-46;2;10;y;Percept;1;12,4267;0,820604;-1
CEN2000w;2016-12-01-11-48-46;2;10;y;Trajectory limit;1;16,0629;-0,994499;1
CEN2000w;2016-12-01-11-48-46;2;10;y;Reverse rotation;;16,0709;-0,994499;1
CEN2000w;2016-12-01-11-48-46;2;10;y;Percept;-1;16,4469;-0,810989;1
CEN2000w;2016-12-01-11-48-46;2;10;y;Trajectory limit;-1;20,0661;1,00712;-1
CEN2000w;2016-12-01-11-48-46;2;10;y;Reverse rotation;;20,0721;1,00712;-1
CEN2000w;2016-12-01-11-48-46;2;10;y;Percept;1;20,4332;0,831605;-1
