Observer;SessionID;Block;Occluder;Color;Event;Value;Time;RelativeLocation;Direction
EGN1994m;2016-12-08-09-37-43;1;25;b;Block start;;1,48119e+09;-1;1
EGN1994m;2016-12-08-09-37-43;1;25;b;Percept;-1;0,818047;-0,602478;1
EGN1994m;2016-12-08-09-37-43;1;25;b;Trajectory limit;-1;4,02023;1,00711;-1
EGN1994m;2016-12-08-09-37-43;1;25;b;Reverse rotation;;4,02623;1,00711;-1
EGN1994m;2016-12-08-09-37-43;1;25;b;Percept;1;4,43725;0,806603;-1
EGN1994m;2016-12-08-09-37-43;1;25;b;Trajectory limit;1;8,04046;-0,996999;1
EGN1994m;2016-12-08-09-37-43;1;25;b;Reverse rotation;;8,04546;-0,996999;1
EGN1994m;2016-12-08-09-37-43;1;25;b;Percept;-1;8,42448;-0,813489;1
EGN1994m;2016-12-08-09-37-43;1;25;b;Trajectory limit;-1;12,0437;1,00462;-1
EGN1994m;2016-12-08-09-37-43;1;25;b;Reverse rotation;;12,0497;1,00462;-1
EGN1994m;2016-12-08-09-37-43;1;25;b;Percept;1;12,1107;0,979614;-1
EGN1994m;2016-12-08-09-37-43;1;25;b;Trajectory limit;1;16,0639;-0,9945;1
EGN1994m;2016-12-08-09-37-43;1;25;b;Reverse rotation;;16,0699;-0,9945;1
EGN1994m;2016-12-08-09-37-43;1;25;b;Percept;-1;16,4309;-0,81949;1
EGN1994m;2016-12-08-09-37-43;1;25;b;Trajectory limit;-1;20,0671;1,00711;-1
EGN1994m;2016-12-08-09-37-43;1;25;b;Reverse rotation;;20,0731;1,00711;-1
EGN1994m;2016-12-08-09-37-43;1;25;b;Percept;1;20,4172;0,840105;-1
EGN1994m;2016-12-08-09-37-43;1;25;b;Trajectory limit;1;24,0874;-0,996999;1
EGN1994m;2016-12-08-09-37-43;1;25;b;Reverse rotation;;24,0944;-0,996999;1
EGN1994m;2016-12-08-09-37-43;1;25;b;Percept;-1;24,4874;-0,805488;1
EGN1994m;2016-12-08-09-37-43;1;25;b;Trajectory limit;-1;28,0906;1,00462;-1
EGN1994m;2016-12-08-09-37-43;1;25;b;Reverse rotation;;28,0956;1,00462;-1
EGN1994m;2016-12-08-09-37-43;1;25;b;Percept;1;28,5076;0,804604;-1
EGN1994m;2016-12-08-09-37-43;1;25;b;Trajectory limit;1;32,1108;-0,9945;1
EGN1994m;2016-12-08-09-37-43;1;25;b;Reverse rotation;;32,1158;-0,9945;1
EGN1994m;2016-12-08-09-37-43;1;25;b;Percept;-1;32,4779;-0,81949;1
EGN1994m;2016-12-08-09-37-43;1;25;b;Trajectory limit;-1;36,1141;1,00711;-1
EGN1994m;2016-12-08-09-37-43;1;25;b;Reverse rotation;;36,1211;1,00711;-1
EGN1994m;2016-12-08-09-37-43;1;25;b;Percept;1;36,4641;0,840605;-1
EGN1994m;2016-12-08-09-37-43;1;25;b;Trajectory limit;1;40,1343;-0,996999;1
EGN1994m;2016-12-08-09-37-43;1;25;b;Reverse rotation;;40,1413;-0,996999;1
EGN1994m;2016-12-08-09-37-43;1;25;b;Percept;-1;40,5173;-0,813489;1
EGN1994m;2016-12-08-09-37-43;1;25;b;Trajectory limit;-1;44,1375;1,00462;-1
EGN1994m;2016-12-08-09-37-43;1;25;b;Reverse rotation;;44,1425;1,00462;-1
EGN1994m;2016-12-08-09-37-43;1;25;b;Percept;1;44,4705;0,846106;-1
EGN1994m;2016-12-08-09-37-43;1;25;b;Block end;;48,0067;-0,921995;-1
EGN1994m;2016-12-08-09-37-43;2;25;y;Block start;;1,48119e+09;-1;1
EGN1994m;2016-12-08-09-37-43;2;25;y;Percept;-1;0,900052;-0,560475;1
EGN1994m;2016-12-08-09-37-43;2;25;y;Trajectory limit;-1;4,02023;1,00761;-1
EGN1994m;2016-12-08-09-37-43;2;25;y;Reverse rotation;;4,02723;1,00761;-1
EGN1994m;2016-12-08-09-37-43;2;25;y;Percept;1;4,40325;0,824604;-1
EGN1994m;2016-12-08-09-37-43;2;25;y;Trajectory limit;1;8,03946;-0,997999;1
EGN1994m;2016-12-08-09-37-43;2;25;y;Reverse rotation;;8,04546;-0,997999;1
EGN1994m;2016-12-08-09-37-43;2;25;y;Percept;-1;8,47348;-0,789487;1
EGN1994m;2016-12-08-09-37-43;2;25;y;Trajectory limit;-1;12,0427;1,00362;-1
EGN1994m;2016-12-08-09-37-43;2;25;y;Reverse rotation;;12,0487;1,00362;-1
EGN1994m;2016-12-08-09-37-43;2;25;y;Percept;1;12,3937;0,836606;-1
EGN1994m;2016-12-08-09-37-43;2;25;y;Trajectory limit;1;16,0629;-0,9935;1
EGN1994m;2016-12-08-09-37-43;2;25;y;Reverse rotation;;16,0689;-0,9935;1
EGN1994m;2016-12-08-09-37-43;2;25;y;Percept;-1;16,4129;-0,826491;1
EGN1994m;2016-12-08-09-37-43;2;25;y;Trajectory limit;-1;20,0501;1,00011;-1
EGN1994m;2016-12-08-09-37-43;2;25;y;Reverse rotation;;20,0551;1,00011;-1
EGN1994m;2016-12-08-09-37-43;2;25;y;Percept;1;20,4002;0,833604;-1
EGN1994m;2016-12-08-09-37-43;2;25;y;Trajectory limit;1;24,0534;-0,998499;1
EGN1994m;2016-12-08-09-37-43;2;25;y;Reverse rotation;;24,0584;-0,998499;1
EGN1994m;2016-12-08-09-37-43;2;25;y;Percept;-1;24,4364;-0,814989;1
EGN1994m;2016-12-08-09-37-43;2;25;y;Trajectory limit;-1;28,0566;1,00312;-1
EGN1994m;2016-12-08-09-37-43;2;25;y;Reverse rotation;;28,0626;1,00312;-1
EGN1994m;2016-12-08-09-37-43;2;25;y;Percept;1;28,3736;0,853106;-1
EGN1994m;2016-12-08-09-37-43;2;25;y;Trajectory limit;1;32,0768;-0,993;1
EGN1994m;2016-12-08-09-37-43;2;25;y;Reverse rotation;;32,0818;-0,993;1
EGN1994m;2016-12-08-09-37-43;2;25;y;Percept;-1;32,4929;-0,792989;1
EGN1994m;2016-12-08-09-37-43;2;25;y;Trajectory limit;-1;36,0631;1,00011;-1
EGN1994m;2016-12-08-09-37-43;2;25;y;Reverse rotation;;36,0681;1,00011;-1
EGN1994m;2016-12-08-09-37-43;2;25;y;Percept;1;36,3961;0,841605;-1
EGN1994m;2016-12-08-09-37-43;2;25;y;Trajectory limit;1;40,0663;-0,9985;1
EGN1994m;2016-12-08-09-37-43;2;25;y;Reverse rotation;;40,0723;-0,9985;1
EGN1994m;2016-12-08-09-37-43;2;25;y;Percept;-1;40,4333;-0,823489;1
EGN1994m;2016-12-08-09-37-43;2;25;y;Trajectory limit;-1;44,0695;1,00312;-1
EGN1994m;2016-12-08-09-37-43;2;25;y;Reverse rotation;;44,0765;1,00312;-1
EGN1994m;2016-12-08-09-37-43;2;25;y;Percept;1;44,4035;0,844606;-1
EGN1994m;2016-12-08-09-37-43;2;25;y;Block end;;48,0057;-0,956997;-1
EGN1994m;2016-12-08-09-37-43;3;5;y;Block start;;1,48119e+09;-1;1
EGN1994m;2016-12-08-09-37-43;3;5;y;Percept;-1;0,734042;-0,643979;1
EGN1994m;2016-12-08-09-37-43;3;5;y;Trajectory limit;-1;4,02023;1,00712;-1
EGN1994m;2016-12-08-09-37-43;3;5;y;Reverse rotation;;4,02623;1,00712;-1
EGN1994m;2016-12-08-09-37-43;3;5;y;Percept;1;4,38725;0,832105;-1
EGN1994m;2016-12-08-09-37-43;3;5;y;Trajectory limit;1;8,04046;-0,997;1
EGN1994m;2016-12-08-09-37-43;3;5;y;Reverse rotation;;8,04646;-0,997;1
EGN1994m;2016-12-08-09-37-43;3;5;y;Percept;-1;8,44048;-0,804989;1
EGN1994m;2016-12-08-09-37-43;3;5;y;Trajectory limit;-1;12,0437;1,00461;-1
EGN1994m;2016-12-08-09-37-43;3;5;y;Reverse rotation;;12,0497;1,00461;-1
EGN1994m;2016-12-08-09-37-43;3;5;y;Percept;1;12,3777;0,846105;-1
EGN1994m;2016-12-08-09-37-43;3;5;y;Trajectory limit;1;16,0639;-0,994499;1
EGN1994m;2016-12-08-09-37-43;3;5;y;Reverse rotation;;16,0689;-0,994499;1
EGN1994m;2016-12-08-09-37-43;3;5;y;Percept;-1;16,4139;-0,82749;1
EGN1994m;2016-12-08-09-37-43;3;5;y;Trajectory limit;-1;20,0671;1,00712;-1
EGN1994m;2016-12-08-09-37-43;3;5;y;Reverse rotation;;20,0731;1,00712;-1
EGN1994m;2016-12-08-09-37-43;3;5;y;Percept;1;20,4002;0,848606;-1
EGN1994m;2016-12-08-09-37-43;3;5;y;Trajectory limit;1;24,0874;-0,997;1
EGN1994m;2016-12-08-09-37-43;3;5;y;Reverse rotation;;24,0924;-0,997;1
EGN1994m;2016-12-08-09-37-43;3;5;y;Percept;-1;24,4544;-0,82199;1
EGN1994m;2016-12-08-09-37-43;3;5;y;Trajectory limit;-1;28,0906;1,00461;-1
EGN1994m;2016-12-08-09-37-43;3;5;y;Reverse rotation;;28,0966;1,00461;-1
EGN1994m;2016-12-08-09-37-43;3;5;y;Percept;1;28,4406;0,838105;-1
EGN1994m;2016-12-08-09-37-43;3;5;y;Trajectory limit;1;32,1108;-0,994499;1
EGN1994m;2016-12-08-09-37-43;3;5;y;Reverse rotation;;32,1158;-0,994499;1
EGN1994m;2016-12-08-09-37-43;3;5;y;Percept;-1;32,4769;-0,819489;1
EGN1994m;2016-12-08-09-37-43;3;5;y;Trajectory limit;-1;36,1141;1,00711;-1
EGN1994m;2016-12-08-09-37-43;3;5;y;Reverse rotation;;36,1201;1,00711;-1
EGN1994m;2016-12-08-09-37-43;3;5;y;Percept;1;36,4811;0,832104;-1
EGN1994m;2016-12-08-09-37-43;3;5;y;Trajectory limit;1;40,1343;-0,997;1
EGN1994m;2016-12-08-09-37-43;3;5;y;Reverse rotation;;40,1393;-0,997;1
EGN1994m;2016-12-08-09-37-43;3;5;y;Percept;-1;40,4173;-0,863992;1
