Observer;SessionID;Block;Occluder;Color;Event;Value;Time;RelativeLocation;Direction
IKB1995w;2016-05-31-11-24-28;1;50;y;Block start;NA;1464690000;-1;1
IKB1995w;2016-05-31-11-24-28;1;50;y;Percept;1;1,43308;-0,687483;1
IKB1995w;2016-05-31-11-24-28;1;50;y;Trajectory limit;-1;4,80028;1,00411;-1
IKB1995w;2016-05-31-11-24-28;1;50;y;Reverse rotation;NA;4,80827;1,00411;-1
IKB1995w;2016-05-31-11-24-28;1;50;y;Percept;-1;5,3333;0,7461;-1
IKB1995w;2016-05-31-11-24-28;1;50;y;Trajectory limit;1;8,8165;-0,996;1
IKB1995w;2016-05-31-11-24-28;1;50;y;Reverse rotation;NA;8,8225;-0,996;1
IKB1995w;2016-05-31-11-24-28;1;50;y;Percept;1;9,23353;-0,795989;1
IKB1995w;2016-05-31-11-24-28;1;50;y;Trajectory limit;-1;12,8167;1,00411;-1
IKB1995w;2016-05-31-11-24-28;1;50;y;Reverse rotation;NA;12,8267;1,00411;-1
IKB1995w;2016-05-31-11-24-28;1;50;y;Percept;-1;13,2828;0,779101;-1
IKB1995w;2016-05-31-11-24-28;1;50;y;Trajectory limit;1;16,833;-0,995999;1
IKB1995w;2016-05-31-11-24-28;1;50;y;Reverse rotation;NA;16,84;-0,995999;1
IKB1995w;2016-05-31-11-24-28;1;50;y;Percept;1;17,25;-0,795988;1
IKB1995w;2016-05-31-11-24-28;1;50;y;Trajectory limit;-1;20,8332;1,00412;-1
IKB1995w;2016-05-31-11-24-28;1;50;y;Reverse rotation;NA;20,8402;1,00412;-1
IKB1995w;2016-05-31-11-24-28;1;50;y;Percept;-1;21,2832;0,787103;-1
IKB1995w;2016-05-31-11-24-28;1;50;y;Trajectory limit;1;24,8504;-0,9955;1
IKB1995w;2016-05-31-11-24-28;1;50;y;Reverse rotation;NA;24,8594;-0,9955;1
IKB1995w;2016-05-31-11-24-28;1;50;y;Percept;1;25,2994;-0,778988;1
IKB1995w;2016-05-31-11-24-28;1;50;y;Trajectory limit;-1;28,8496;1,00411;-1
IKB1995w;2016-05-31-11-24-28;1;50;y;Reverse rotation;NA;28,8577;1,00411;-1
IKB1995w;2016-05-31-11-24-28;1;50;y;Percept;-1;29,2667;0,803602;-1
IKB1995w;2016-05-31-11-24-28;1;50;y;Trajectory limit;1;32,8669;-0,995499;1
IKB1995w;2016-05-31-11-24-28;1;50;y;Reverse rotation;NA;32,8759;-0,995499;1
IKB1995w;2016-05-31-11-24-28;1;50;y;Percept;1;33,3169;-0,778986;1
IKB1995w;2016-05-31-11-24-28;1;50;y;Trajectory limit;-1;36,8671;1,00462;-1
IKB1995w;2016-05-31-11-24-28;1;50;y;Reverse rotation;NA;36,8741;1,00462;-1
IKB1995w;2016-05-31-11-24-28;1;50;y;Percept;-1;37,2661;0,813105;-1
IKB1995w;2016-05-31-11-24-28;1;50;y;Trajectory limit;1;40,8833;-0,996501;1
IKB1995w;2016-05-31-11-24-28;1;50;y;Reverse rotation;NA;40,8913;-0,996501;1
IKB1995w;2016-05-31-11-24-28;1;50;y;Percept;1;41,2834;-0,80499;1
IKB1995w;2016-05-31-11-24-28;1;50;y;Trajectory limit;-1;44,8836;1,00361;-1
IKB1995w;2016-05-31-11-24-28;1;50;y;Reverse rotation;NA;44,8906;1,00361;-1
IKB1995w;2016-05-31-11-24-28;1;50;y;Percept;1;45,0836;0,912108;-1
IKB1995w;2016-05-31-11-24-28;1;50;y;Percept;-1;45,2496;0,828603;-1
IKB1995w;2016-05-31-11-24-28;1;50;y;Trajectory limit;1;48,8998;-0,995498;1
IKB1995w;2016-05-31-11-24-28;1;50;y;Reverse rotation;NA;48,9078;-0,995498;1
IKB1995w;2016-05-31-11-24-28;1;50;y;Percept;1;49,2998;-0,803487;1
IKB1995w;2016-05-31-11-24-28;1;50;y;Trajectory limit;-1;52,9;1,00462;-1
IKB1995w;2016-05-31-11-24-28;1;50;y;Reverse rotation;NA;52,909;1,00462;-1
IKB1995w;2016-05-31-11-24-28;1;50;y;Percept;-1;53,3661;0,779603;-1
IKB1995w;2016-05-31-11-24-28;1;50;y;Trajectory limit;1;56,9163;-0,996501;1
IKB1995w;2016-05-31-11-24-28;1;50;y;Reverse rotation;NA;56,9243;-0,996501;1
IKB1995w;2016-05-31-11-24-28;1;50;y;Percept;1;57,3663;-0,779489;1
IKB1995w;2016-05-31-11-24-28;1;50;y;Trajectory limit;-1;60,9165;1,00361;-1
IKB1995w;2016-05-31-11-24-28;1;50;y;Reverse rotation;NA;60,9245;1,00361;-1
IKB1995w;2016-05-31-11-24-28;1;50;y;Percept;-1;61,3165;0,812102;-1
IKB1995w;2016-05-31-11-24-28;1;50;y;Trajectory limit;1;64,9337;-0,994998;1
IKB1995w;2016-05-31-11-24-28;1;50;y;Reverse rotation;NA;64,9417;-0,994998;1
IKB1995w;2016-05-31-11-24-28;1;50;y;Percept;1;65,4167;-0,761984;1
IKB1995w;2016-05-31-11-24-28;1;50;y;Trajectory limit;-1;68,9329;1,00462;-1
IKB1995w;2016-05-31-11-24-28;1;50;y;Reverse rotation;NA;68,9399;1,00462;-1
IKB1995w;2016-05-31-11-24-28;1;50;y;Percept;-1;69,366;0,796105;-1
IKB1995w;2016-05-31-11-24-28;1;50;y;Trajectory limit;1;72,9502;-0,996002;1
IKB1995w;2016-05-31-11-24-28;1;50;y;Reverse rotation;NA;72,9582;-0,996002;1
IKB1995w;2016-05-31-11-24-28;1;50;y;Percept;1;73,4832;-0,737987;1
IKB1995w;2016-05-31-11-24-28;1;50;y;Trajectory limit;-1;76,9504;1,00411;-1
IKB1995w;2016-05-31-11-24-28;1;50;y;Reverse rotation;NA;76,9584;1,00411;-1
IKB1995w;2016-05-31-11-24-28;1;50;y;Percept;-1;77,4494;0,762599;-1
IKB1995w;2016-05-31-11-24-28;1;50;y;Trajectory limit;1;80,9666;-0,995998;1
IKB1995w;2016-05-31-11-24-28;1;50;y;Reverse rotation;NA;80,9736;-0,995998;1
IKB1995w;2016-05-31-11-24-28;1;50;y;Percept;1;81,4667;-0,754484;1
IKB1995w;2016-05-31-11-24-28;1;50;y;Trajectory limit;-1;84,9669;1,00412;-1
IKB1995w;2016-05-31-11-24-28;1;50;y;Reverse rotation;NA;84,9739;1,00412;-1
IKB1995w;2016-05-31-11-24-28;1;50;y;Percept;-1;85,2829;0,854108;-1
IKB1995w;2016-05-31-11-24-28;1;50;y;Trajectory limit;1;88,9831;-0,996001;1
IKB1995w;2016-05-31-11-24-28;1;50;y;Reverse rotation;NA;88,9901;-0,996001;1
IKB1995w;2016-05-31-11-24-28;1;50;y;Percept;1;89,6331;-0,678983;1
IKB1995w;2016-05-31-11-24-28;1;50;y;Block end;NA;92,0163;0,512585;1
IKB1995w;2016-05-31-11-24-28;2;5;b;Block start;NA;1464690000;-1;1
IKB1995w;2016-05-31-11-24-28;2;5;b;Percept;-1;0,483028;-0,769987;1
IKB1995w;2016-05-31-11-24-28;2;5;b;Percept;1;2,40014;0,188568;1
IKB1995w;2016-05-31-11-24-28;2;5;b;Trajectory limit;-1;4,01623;1,00512;-1
IKB1995w;2016-05-31-11-24-28;2;5;b;Reverse rotation;NA;4,02223;1,00512;-1
