Observer;SessionID;Block;Occluder;Color;Event;Value;Time;RelativeLocation;Direction
PHM1988w;2016-12-01-10-35-43;1;25;b;Block start;;1,48058e+09;-1;1
PHM1988w;2016-12-01-10-35-43;1;25;b;Percept;1;0,968055;-0,526973;1
PHM1988w;2016-12-01-10-35-43;1;25;b;Trajectory limit;-1;4,02023;1,00762;-1
PHM1988w;2016-12-01-10-35-43;1;25;b;Reverse rotation;;4,02623;1,00762;-1
PHM1988w;2016-12-01-10-35-43;1;25;b;Percept;-1;4,53726;0,757101;-1
PHM1988w;2016-12-01-10-35-43;1;25;b;Trajectory limit;1;8,04046;-0,997501;1
PHM1988w;2016-12-01-10-35-43;1;25;b;Reverse rotation;;8,04546;-0,997501;1
PHM1988w;2016-12-01-10-35-43;1;25;b;Percept;1;8,45748;-0,797489;1
PHM1988w;2016-12-01-10-35-43;1;25;b;Trajectory limit;-1;12,0437;1,00411;-1
PHM1988w;2016-12-01-10-35-43;1;25;b;Reverse rotation;;12,0487;1,00411;-1
PHM1988w;2016-12-01-10-35-43;1;25;b;Percept;-1;12,6107;0,728598;-1
PHM1988w;2016-12-01-10-35-43;1;25;b;Trajectory limit;1;16,0639;-0,993999;1
PHM1988w;2016-12-01-10-35-43;1;25;b;Reverse rotation;;16,0709;-0,993999;1
PHM1988w;2016-12-01-10-35-43;1;25;b;Percept;1;16,4469;-0,810488;1
PHM1988w;2016-12-01-10-35-43;1;25;b;Trajectory limit;-1;20,0671;1,00762;-1
PHM1988w;2016-12-01-10-35-43;1;25;b;Reverse rotation;;20,0721;1,00762;-1
PHM1988w;2016-12-01-10-35-43;1;25;b;Percept;-1;20,4002;0,849107;-1
PHM1988w;2016-12-01-10-35-43;1;25;b;Trajectory limit;1;24,0874;-0,997501;1
PHM1988w;2016-12-01-10-35-43;1;25;b;Reverse rotation;;24,0934;-0,997501;1
PHM1988w;2016-12-01-10-35-43;1;25;b;Percept;1;24,6544;-0,722485;1
PHM1988w;2016-12-01-10-35-43;1;25;b;Trajectory limit;-1;28,0906;1,00411;-1
PHM1988w;2016-12-01-10-35-43;1;25;b;Reverse rotation;;28,0956;1,00411;-1
PHM1988w;2016-12-01-10-35-43;1;25;b;Percept;-1;28,5076;0,804102;-1
PHM1988w;2016-12-01-10-35-43;1;25;b;Trajectory limit;1;32,1108;-0,993999;1
PHM1988w;2016-12-01-10-35-43;1;25;b;Reverse rotation;;32,1168;-0,993999;1
PHM1988w;2016-12-01-10-35-43;1;25;b;Percept;1;32,9779;-0,568974;1
PHM1988w;2016-12-01-10-35-43;1;25;b;Trajectory limit;-1;36,1141;1,00762;-1
PHM1988w;2016-12-01-10-35-43;1;25;b;Reverse rotation;;36,1201;1,00762;-1
PHM1988w;2016-12-01-10-35-43;1;25;b;Percept;-1;36,7981;0,674097;-1
PHM1988w;2016-12-01-10-35-43;1;25;b;Trajectory limit;1;40,1353;-0,997001;1
PHM1988w;2016-12-01-10-35-43;1;25;b;Reverse rotation;;40,1403;-0,997001;1
PHM1988w;2016-12-01-10-35-43;1;25;b;Percept;1;40,9513;-0,597478;1
