Observer;SessionID;Block;Occluder;Color;Event;Value;Time;RelativeLocation;Direction
SKL1994w;2016-06-07-14-07-19;1;50;b;Block start;NA;1465300000;-1;1
SKL1994w;2016-06-07-14-07-19;1;50;b;Percept;-1;0,850049;-0,585976;1
SKL1994w;2016-06-07-14-07-19;1;50;b;Trajectory limit;-1;4,01623;1,00561;-1
SKL1994w;2016-06-07-14-07-19;1;50;b;Reverse rotation;NA;4,02323;1,00561;-1
SKL1994w;2016-06-07-14-07-19;1;50;b;Percept;1;4,61627;0,713598;-1
SKL1994w;2016-06-07-14-07-19;1;50;b;Trajectory limit;1;8,03346;-0,997;1
SKL1994w;2016-06-07-14-07-19;1;50;b;Reverse rotation;NA;8,03846;-0,997;1
SKL1994w;2016-06-07-14-07-19;1;50;b;Percept;-1;8,48349;-0,780487;1
SKL1994w;2016-06-07-14-07-19;1;50;b;Trajectory limit;-1;12,0337;1,00261;-1
SKL1994w;2016-06-07-14-07-19;1;50;b;Reverse rotation;NA;12,0387;1,00261;-1
SKL1994w;2016-06-07-14-07-19;1;50;b;Percept;1;12,5497;0,752601;-1
SKL1994w;2016-06-07-14-07-19;1;50;b;Trajectory limit;1;16,0499;-0,994001;1
SKL1994w;2016-06-07-14-07-19;1;50;b;Reverse rotation;NA;16,0569;-0,994001;1
SKL1994w;2016-06-07-14-07-19;1;50;b;Percept;-1;16,5659;-0,743986;1
SKL1994w;2016-06-07-14-07-19;1;50;b;Trajectory limit;-1;20,0501;1,00611;-1
SKL1994w;2016-06-07-14-07-19;1;50;b;Reverse rotation;NA;20,0551;1,00611;-1
SKL1994w;2016-06-07-14-07-19;1;50;b;Percept;1;20,5502;0,7646;-1
SKL1994w;2016-06-07-14-07-19;1;50;b;Trajectory limit;1;24,0664;-0,997999;1
SKL1994w;2016-06-07-14-07-19;1;50;b;Reverse rotation;NA;24,0714;-0,997999;1
SKL1994w;2016-06-07-14-07-19;1;50;b;Percept;-1;24,5334;-0,772986;1
SKL1994w;2016-06-07-14-07-19;1;50;b;Trajectory limit;-1;28,0666;1,00212;-1
