Observer;SessionID;Block;Occluder;Color;Event;Value;Time;RelativeLocation;Direction
UKS1989m;2016-12-05-11-16-23;1;50;b;Block start;;1,48093e+09;-1;1
UKS1989m;2016-12-05-11-16-23;1;50;b;Percept;-1;0,934054;-0,543474;1
UKS1989m;2016-12-05-11-16-23;1;50;b;Trajectory limit;-1;4,02023;1,00761;-1
UKS1989m;2016-12-05-11-16-23;1;50;b;Reverse rotation;;4,02523;1,00761;-1
UKS1989m;2016-12-05-11-16-23;1;50;b;Percept;1;4,77027;0,640593;-1
UKS1989m;2016-12-05-11-16-23;1;50;b;Trajectory limit;1;8,04046;-0,997499;1
UKS1989m;2016-12-05-11-16-23;1;50;b;Reverse rotation;;8,04546;-0,997499;1
UKS1989m;2016-12-05-11-16-23;1;50;b;Percept;-1;8,62349;-0,713983;1
UKS1989m;2016-12-05-11-16-23;1;50;b;Trajectory limit;-1;12,0437;1,00412;-1
UKS1989m;2016-12-05-11-16-23;1;50;b;Reverse rotation;;12,0487;1,00412;-1
UKS1989m;2016-12-05-11-16-23;1;50;b;Percept;1;12,8607;0,604092;-1
UKS1989m;2016-12-05-11-16-23;1;50;b;Trajectory limit;1;16,0639;-0,994;1
UKS1989m;2016-12-05-11-16-23;1;50;b;Reverse rotation;;16,0689;-0,994;1
UKS1989m;2016-12-05-11-16-23;1;50;b;Percept;-1;16,5969;-0,735485;1
UKS1989m;2016-12-05-11-16-23;1;50;b;Trajectory limit;-1;20,0671;1,00761;-1
UKS1989m;2016-12-05-11-16-23;1;50;b;Reverse rotation;;20,0721;1,00761;-1
UKS1989m;2016-12-05-11-16-23;1;50;b;Percept;1;20,5002;0,799102;-1
UKS1989m;2016-12-05-11-16-23;1;50;b;Trajectory limit;1;24,0874;-0,997499;1
UKS1989m;2016-12-05-11-16-23;1;50;b;Reverse rotation;;24,0934;-0,997499;1
UKS1989m;2016-12-05-11-16-23;1;50;b;Percept;-1;24,7374;-0,680981;1
UKS1989m;2016-12-05-11-16-23;1;50;b;Trajectory limit;-1;28,0906;1,00412;-1
UKS1989m;2016-12-05-11-16-23;1;50;b;Reverse rotation;;28,0956;1,00412;-1
UKS1989m;2016-12-05-11-16-23;1;50;b;Percept;1;28,6406;0,7376;-1
UKS1989m;2016-12-05-11-16-23;1;50;b;Trajectory limit;1;32,1098;-0,9945;1
UKS1989m;2016-12-05-11-16-23;1;50;b;Reverse rotation;;32,1168;-0,9945;1
UKS1989m;2016-12-05-11-16-23;1;50;b;Percept;-1;32,6269;-0,743986;1
UKS1989m;2016-12-05-11-16-23;1;50;b;Trajectory limit;-1;36,1131;1,00711;-1
UKS1989m;2016-12-05-11-16-23;1;50;b;Reverse rotation;;36,1191;1,00711;-1
UKS1989m;2016-12-05-11-16-23;1;50;b;Percept;1;36,5471;0,798102;-1
UKS1989m;2016-12-05-11-16-23;1;50;b;Trajectory limit;1;40,1333;-0,996999;1
UKS1989m;2016-12-05-11-16-23;1;50;b;Reverse rotation;;40,1403;-0,996999;1
UKS1989m;2016-12-05-11-16-23;1;50;b;Percept;-1;40,8003;-0,671481;1
UKS1989m;2016-12-05-11-16-23;1;50;b;Trajectory limit;-1;44,1365;1,00462;-1
UKS1989m;2016-12-05-11-16-23;1;50;b;Reverse rotation;;44,1435;1,00462;-1
UKS1989m;2016-12-05-11-16-23;1;50;b;Percept;1;44,4035;0,879108;-1
UKS1989m;2016-12-05-11-16-23;1;50;b;Block end;;48,0067;-0,921995;-1
UKS1989m;2016-12-05-11-16-23;2;10;y;Block start;;1,48093e+09;-1;1
UKS1989m;2016-12-05-11-16-23;2;10;y;Percept;1;0,784045;-0,618978;1
UKS1989m;2016-12-05-11-16-23;2;10;y;Trajectory limit;-1;4,02023;1,00712;-1
UKS1989m;2016-12-05-11-16-23;2;10;y;Reverse rotation;;4,02623;1,00712;-1
UKS1989m;2016-12-05-11-16-23;2;10;y;Percept;-1;4,47026;0,790102;-1
