Observer;Condition;SessionID;Block;Trial;Blink;Event;Value;Time;RelativeLocation;Direction
AZM1990W;blink;2017-01-23-13-02-33;1,0;1,0;0,0;Block start;;1485173013,06;-1,0;1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;1,0;0,0;Percept;1;2,11000013351;0,0470000505447;1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;2,0;1,5;Trajectory limit;-1;4,0150001049;1,00400006771;-1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;2,0;1,5;Reverse rotation;;4,02300000191;1,00400006771;-1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;2,0;1,5;Sound;1.5;4,73200011253;0,646000146866;-1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;2,0;1,5;Percept;-1;4,94799995422;0,541500091553;-1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;3,0;1,5;Trajectory limit;1;8,03100013733;-0,996000051498;1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;3,0;1,5;Reverse rotation;;8,03900003433;-0,996000051498;1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;3,0;1,5;Sound;1.5;8,73099994659;-0,646000146866;1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;3,0;1,5;Percept;1;10,0980000496;0,033499956131;1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;4,0;0,0;Trajectory limit;-1;12,0310001373;1,0039999485;-1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;4,0;0,0;Reverse rotation;;12,0390000343;1,0039999485;-1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;5,0;1,5;Trajectory limit;1;16,0480000973;-0,995499968529;1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;5,0;1,5;Reverse rotation;;16,0550000668;-0,995499968529;1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;5,0;1,5;Sound;1.5;16,739000082;-0,649999976158;1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;5,0;1,5;Percept;-1;17,3310000896;-0,358000040054;1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;5,0;1,5;Percept;-1;19,8229999542;0,888000011444;1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;6,0;1,0;Trajectory limit;-1;20,0399999619;1,00049996376;-1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;6,0;1,0;Reverse rotation;;20,0480000973;1,00049996376;-1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;6,0;1,0;Percept;1;21,2400000095;0,40449988842;-1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;6,0;1,0;Sound;1.0;21,248000145;0,396499872208;-1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;6,0;1,0;Percept;-1;24,0399999619;-0,995500087738;-1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;7,0;0,0;Trajectory limit;1;24,0480000973;-0,996499896049;1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;7,0;0,0;Reverse rotation;;24,0550000668;-0,996499896049;1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;8,0;1,0;Trajectory limit;-1;28,0480000973;1,00350010395;-1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;8,0;1,0;Reverse rotation;;28,0559999943;1,00350010395;-1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;8,0;1,0;Percept;1;28,373000145;0,84500014782;-1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;8,0;1,0;Sound;1.0;29,2569999695;0,399500131607;-1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;8,0;1,0;Percept;-1;31,6649999619;-0,800499916077;-1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;9,0;1,5;Trajectory limit;1;32,0559999943;-0,999500155449;1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;9,0;1,5;Reverse rotation;;32,0640001297;-0,999500155449;1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;9,0;1,5;Sound;1.5;32,756000042;-0,649500131607;1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;9,0;1,5;Percept;1;33,013999939;-0,524500131607;1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;9,0;1,5;Percept;-1;35,7139999866;0,825499892235;1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;10,0;0,0;Trajectory limit;-1;36,0559999943;1,00049984455;-1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;10,0;0,0;Reverse rotation;;36,0640001297;1,00049984455;-1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;10,0;0,0;Percept;1;37,1900000572;0,437499880791;-1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;11,0;1,0;Trajectory limit;1;40,0569999218;-0,999999880791;1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;11,0;1,0;Reverse rotation;;40,0650000572;-0,999999880791;1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;11,0;1,0;Sound;1.0;41,2569999695;-0,399999856949;1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;11,0;1,0;Percept;-1;41,4400000572;-0,312499880791;1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;11,0;1,0;Percept;1;43,373000145;0,654000163078;1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;12,0;1,5;Trajectory limit;-1;44,0569999218;1,00000011921;-1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;12,0;1,5;Reverse rotation;;44,0650000572;1,00000011921;-1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;12,0;1,5;Sound;1.5;44,7650001049;0,646000027657;-1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;12,0;1,5;Percept;1;45,2730000019;0,396000027657;-1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;12,0;1,5;Percept;-1;47,5729999542;-0,753999948502;-1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;13,0;0,0;Trajectory limit;1;48,0650000572;-0,996000051498;1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;13,0;0,0;Reverse rotation;;48,0729999542;-0,996000051498;1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;13,0;0,0;Percept;1;49,3480000496;-0,358500003815;1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;14,0;1,0;Trajectory limit;-1;52,0650000572;1,0039999485;-1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;14,0;1,0;Reverse rotation;;52,0729999542;1,0039999485;-1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;14,0;1,0;Percept;1;52,756000042;0,662499904633;-1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;14,0;1,0;Sound;1.0;53,2730000019;0,399999976158;-1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;14,0;1,0;Percept;-1;55,4739999771;-0,696500062943;-1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;15,0;1,0;Trajectory limit;1;56,0740001202;-0,99949991703;1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;15,0;1,0;Reverse rotation;;56,0820000172;-0,99949991703;1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;15,0;1,0;Percept;1;56,9319999218;-0,574499964714;1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;15,0;1,0;Sound;1.0;57,2739999294;-0,399500012398;1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;15,0;1,0;Percept;1;59,5150001049;0,717000007629;1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;16,0;0,0;Trajectory limit;-1;60,0740001202;1,00050008297;-1,0
AZM1990W;blink;2017-01-23-13-02-33;1,0;16,0;0,0;Reverse rotation;;60,0820000172;1,00050008297;-1,0
