Time;Block;Trial;Event;Value
22;1;1;trial start;1
2139;1;1;percept;Down
2490;1;1;blink;91
4036;1;2;trial start;2
4373;1;2;blink;117
4761;1;2;sound;1500
4977;1;2;percept;Up
8053;1;3;trial start;3
8761;1;3;sound;1500
5567;1;3;blink;3400
10127;1;3;percept;Down
10302;1;3;blink;97
11555;1;3;blink;111
12054;1;4;trial start;4
12746;1;4;blink;529
14629;1;4;blink;183
16071;1;5;trial start;5
16771;1;5;sound;1500
17362;1;5;percept;Up
17638;1;5;blink;1225
19854;1;5;percept;Up
20063;1;6;trial start;6
21270;1;6;percept;Down
21278;1;6;sound;1000
21539;1;6;blink;118
22055;1;6;blink;776
24070;1;6;percept;Up
24071;1;7;trial start;7
25501;1;7;blink;108
28072;1;8;trial start;8
28404;1;8;percept;Down
28614;1;8;blink;90
29288;1;8;sound;1000
29879;1;8;blink;976
31696;1;8;percept;Up
32081;1;9;trial start;9
32266;1;9;blink;84
32788;1;9;sound;1500
33046;1;9;percept;Down
33523;1;9;blink;1326
35585;1;9;blink;137
35746;1;9;percept;Up
36081;1;10;trial start;10
37222;1;10;percept;Down
38535;1;10;blink;99
40081;1;11;trial start;11
41289;1;11;sound;1000
41472;1;11;percept;Up
41900;1;11;blink;825
43405;1;11;percept;Down
44082;1;12;trial start;12
44798;1;12;sound;1500
45305;1;12;percept;Down
45730;1;12;blink;1001
47606;1;12;percept;Up
48090;1;13;trial start;13
49381;1;13;percept;Down
50132;1;13;blink;103
52090;1;14;trial start;14
52789;1;14;percept;Down
53307;1;14;sound;1000
53584;1;14;blink;17
53901;1;14;blink;876
55506;1;14;percept;Up
56099;1;15;trial start;15
56965;1;15;percept;Down
57307;1;15;sound;1000
57389;1;15;blink;72
57883;1;15;blink;976
59549;1;15;percept;Down
60099;1;16;trial start;16
61240;1;16;percept;Down
62411;1;16;blink;82
64108;1;17;trial start;17
64816;1;17;sound;1500
65561;1;17;blink;1226
67283;1;17;percept;Down
68109;1;18;trial start;18
69325;1;18;sound;1000
69391;1;18;percept;Down
69993;1;18;blink;851
71525;1;18;percept;Up
72117;1;19;trial start;19
72891;1;19;percept;Down
73096;1;19;blink;163
76117;1;20;trial start;20
76834;1;20;sound;1500
77141;1;20;percept;Down
77515;1;20;blink;1101
79308;1;20;percept;Up
80126;1;21;trial start;21
80834;1;21;sound;1500
81292;1;21;percept;Down
81755;1;21;blink;1451
84127;1;22;trial start;22
84318;1;22;percept;Down
86242;1;22;percept;Down
86134;1;22;blink;215
88135;1;23;trial start;23
89343;1;23;sound;1000
89442;1;23;percept;Up
89905;1;23;blink;951
91351;1;23;percept;Down
92136;1;24;trial start;24
93201;1;24;percept;Down
93352;1;24;sound;1000
93803;1;24;blink;60
93966;1;24;blink;976
95793;1;24;percept;Down
96042;1;25;trial start;25
22;2;1;trial start;1
116;2;1;blink;129
804;2;1;percept;Up
4037;2;2;trial start;2
4470;2;2;percept;Down
4754;2;2;sound;1500
5367;2;2;blink;1351
7670;2;2;percept;Up
8046;2;3;trial start;3
8754;2;3;sound;1500
8937;2;3;percept;Down
9436;2;3;blink;1351
11654;2;3;percept;Up
12046;2;4;trial start;4
12779;2;4;percept;Down
13167;2;4;blink;107
16046;2;5;trial start;5
16612;2;5;percept;Up
16755;2;5;sound;1500
17126;2;5;blink;131
17341;2;5;blink;1426
19354;2;5;percept;Down
20047;2;6;trial start;6
21080;2;6;percept;Up
21263;2;6;sound;1000
21784;2;6;blink;1126
23555;2;6;percept;Down
24056;2;7;trial start;7
24544;2;7;blink;290
25130;2;7;percept;Up
26654;2;7;blink;144
28056;2;8;trial start;8
28447;2;8;percept;Down
28843;2;8;blink;138
29273;2;8;sound;1000
29929;2;8;blink;851
31697;2;8;percept;Down
32065;2;9;trial start;9
32623;2;9;percept;Up
32773;2;9;sound;1500
33360;2;9;blink;1451
35289;2;9;percept;Down
36065;2;10;trial start;10
36873;2;10;percept;Up
37278;2;10;blink;105
40073;2;11;trial start;11
40965;2;11;blink;94
41282;2;11;sound;1000
41373;2;11;percept;Up
41881;2;11;blink;1001
43506;2;11;percept;Down
44075;2;12;trial start;12
44790;2;12;sound;1500
45382;2;12;percept;Down
45638;2;12;blink;1226
47765;2;12;percept;Up
48083;2;13;trial start;13
49415;2;13;percept;Up
50114;2;13;blink;158
52083;2;14;trial start;14
52907;2;14;percept;Down
53299;2;14;sound;1000
53980;2;14;blink;951
55624;2;14;percept;Up
56092;2;15;trial start;15
56899;2;15;percept;Down
57300;2;15;sound;1000
57603;2;15;blink;120
57856;2;15;blink;951
59649;2;15;percept;Up
60092;2;16;trial start;16
61075;2;16;percept;Down
61378;2;16;blink;128
64101;2;17;trial start;17
64809;2;17;sound;1500
64820;2;17;percept;Up
65325;2;17;blink;1426
67942;2;17;percept;Down
68101;2;18;trial start;18
68542;2;18;percept;Up
68880;2;18;blink;341
69317;2;18;sound;1000
70040;2;18;blink;1001
71642;2;18;percept;Down
72110;2;19;trial start;19
72609;2;19;percept;Up
73352;2;19;blink;129
76110;2;20;trial start;20
76526;2;20;percept;Down
76827;2;20;sound;1500
76909;2;20;blink;163
77297;2;20;blink;1551
79826;2;20;percept;Up
80119;2;21;trial start;21
80827;2;21;sound;1500
81659;2;21;percept;Down
81749;2;21;blink;1175
84119;2;22;trial start;22
84660;2;22;percept;Up
86094;2;22;blink;159
88128;2;23;trial start;23
89035;2;23;percept;Up
89336;2;23;sound;1000
90117;2;23;blink;951
91894;2;23;percept;Up
92128;2;24;trial start;24
92944;2;24;percept;Down
93344;2;24;sound;1000
94026;2;24;blink;838
95852;2;24;percept;Up
96043;2;25;trial start;25
21;3;1;trial start;1
1061;3;1;percept;Up
3270;3;1;blink;108
4036;3;2;trial start;2
4561;3;2;percept;Down
4753;3;2;sound;1500
5505;3;2;blink;1378
7628;3;2;percept;Up
8046;3;3;trial start;3
8753;3;3;sound;1500
8845;3;3;percept;Down
9295;3;3;blink;1476
11595;3;3;percept;Up
12046;3;4;trial start;4
12770;3;4;percept;Down
13198;3;4;blink;93
16054;3;5;trial start;5
16637;3;5;percept;Up
16763;3;5;sound;1500
17271;3;5;blink;1501
19895;3;5;percept;Up
20055;3;6;trial start;6
20671;3;6;percept;Down
21271;3;6;sound;1000
21522;3;6;blink;141
22018;3;6;blink;100
22276;3;6;blink;1001
24013;3;6;percept;Up
24063;3;7;trial start;7
24879;3;7;percept;Down
28064;3;8;trial start;8
28132;3;8;blink;141
28888;3;8;percept;Down
29281;3;8;sound;1000
29927;3;8;blink;976
31605;3;8;percept;Up
32072;3;9;trial start;9
32781;3;9;sound;1500
32792;3;9;percept;Down
33373;3;9;blink;1401
35688;3;9;percept;Down
36073;3;10;trial start;10
36772;3;10;percept;Up
37506;3;10;blink;98
38564;3;10;percept;Down
40081;3;11;trial start;11
40930;3;11;percept;Up
41290;3;11;sound;1000
41791;3;11;blink;1051
43531;3;11;percept;Down
44082;3;12;trial start;12
44798;3;12;sound;1500
45531;3;12;percept;Up
46271;3;12;blink;901
47981;3;12;percept;Up
48090;3;13;trial start;13
48565;3;13;percept;Down
50283;3;13;blink;216
52091;3;14;trial start;14
52498;3;14;percept;Up
53307;3;14;sound;1000
53871;3;14;blink;976
55515;3;14;percept;Down
56099;3;15;trial start;15
56699;3;15;percept;Up
57307;3;15;sound;1000
57150;3;15;blink;159
57913;3;15;blink;1051
59457;3;15;percept;Down
60100;3;16;trial start;16
60791;3;16;percept;Up
63022;3;16;blink;160
64108;3;17;trial start;17
64817;3;17;sound;1500
65429;3;17;blink;1451
67508;3;17;percept;Down
68109;3;18;trial start;18
69325;3;18;sound;1000
69433;3;18;percept;Up
69930;3;18;blink;1026
71725;3;18;percept;Up
72117;3;19;trial start;19
72725;3;19;percept;Down
