Observer;Condition;SessionID;Block;Trial;Blink;Event;Value;Time;RelativeLocation;Direction
EBK1991m;blink;2017-01-23-12-14-49;1,0;1,0;0,0;Block start;;1485170143,47;-1,0;1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;1,0;0,0;Percept;1;1,22499990463;-0,394999980927;1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;2,0;1,0;Trajectory limit;-1;4,007999897;1,00049996376;-1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;2,0;1,0;Reverse rotation;;4,01600003242;1,00049996376;-1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;2,0;1,0;Sound;1.0;5,21700000763;0,395999908447;-1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;3,0;1,5;Trajectory limit;1;8,00900006294;-0,999999880791;1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;3,0;1,5;Reverse rotation;;8,01699995995;-0,999999880791;1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;3,0;1,5;Percept;-1;8,38400006294;-0,816499948502;1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;3,0;1,5;Sound;1.5;8,70899987221;-0,649999976158;1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;3,0;1,5;Percept;1;11,3499999046;0,666500091553;1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;4,0;0,0;Trajectory limit;-1;12,0090000629;1,00000011921;-1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;4,0;0,0;Reverse rotation;;12,0160000324;1,00000011921;-1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;5,0;1,0;Trajectory limit;1;16,0169999599;-0,996000170708;1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;5,0;1,0;Reverse rotation;;16,0249998569;-0,996000170708;1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;5,0;1,0;Percept;-1;16,5260000229;-0,746000170708;1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;5,0;1,0;Sound;1.0;17,2170000076;-0,396000146866;1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;5,0;1,0;Percept;1;19,3499999046;0,666499853134;1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;6,0;1,0;Trajectory limit;-1;20,0169999599;1,00399982929;-1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;6,0;1,0;Reverse rotation;;20,0249998569;1,00399982929;-1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;6,0;1,0;Sound;1.0;21,2249999046;0,399999856949;-1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;6,0;1,0;Percept;1;23,5920000076;-0,779500126839;-1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;7,0;0,0;Trajectory limit;1;24,0249998569;-0,999999880791;1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;7,0;0,0;Reverse rotation;;24,0329999924;-0,999999880791;1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;8,0;1,0;Trajectory limit;-1;28,0260000229;1,00050020218;-1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;8,0;1,0;Reverse rotation;;28,0339999199;1,00050020218;-1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;8,0;1,0;Sound;1.0;29,2349998951;0,396000266075;-1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;8,0;1,0;Percept;1;31,4670000076;-0,71649980545;-1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;9,0;1,5;Trajectory limit;1;32,0339999199;-0,996500253677;1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;9,0;1,5;Reverse rotation;;32,0420000553;-0,996500253677;1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;9,0;1,5;Sound;1.5;32,7339999676;-0,646500229836;1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;9,0;1,5;Percept;-1;33,1840000153;-0,425500273705;1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;9,0;1,5;Percept;1;35,2920000553;0,628499746323;1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;10,0;0,0;Trajectory limit;-1;36,0339999199;1,00349974632;-1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;10,0;0,0;Reverse rotation;;36,0420000553;1,00349974632;-1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;10,0;0,0;Percept;-1;37,1759998798;0,436499714851;-1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;11,0;1,5;Trajectory limit;1;40,0420000553;-0,999499678612;1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;11,0;1,5;Reverse rotation;;40,0499999523;-0,999499678612;1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;11,0;1,5;Sound;1.5;40,7419998646;-0,649499773979;1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;11,0;1,5;Percept;1;43,6180000305;0,78450024128;1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;12,0;1,0;Trajectory limit;-1;44,0429999828;1,00100028515;-1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;12,0;1,0;Reverse rotation;;44,0509998798;1,00100028515;-1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;12,0;1,0;Sound;1.0;45,2509999275;0,397000312805;-1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;12,0;1,0;Percept;1;47,7839999199;-0,865499734879;-1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;13,0;0,0;Trajectory limit;1;48,0509998798;-0,997000336647;1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;13,0;0,0;Reverse rotation;;48,0590000153;-0,997000336647;1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;13,0;0,0;Percept;-1;49,1429998875;-0,455000281334;1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;13,0;0,0;Percept;1;51,5679998398;0,757499694824;1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;14,0;1,0;Trajectory limit;-1;52,0509998798;1,00299966335;-1,0
EBK1991m;blink;2017-01-23-12-14-49;1,0;14,0;1,0;Reverse rotation;;52,0590000153;1,00299966335;-1,0
