Time;Block;Trial;Event;Value
22;1;1;trial start;1
1254;1;1;percept;Down
4031;1;2;trial start;2
5247;1;2;sound;1000
6638;1;2;blink;854
8031;1;3;trial start;3
8414;1;3;percept;Up
8739;1;3;sound;1500
9281;1;3;blink;1602
11380;1;3;percept;Down
12031;1;4;trial start;4
16040;1;5;trial start;5
16556;1;5;percept;Up
17248;1;5;sound;1000
17833;1;5;blink;1003
19381;1;5;percept;Down
20040;1;6;trial start;6
21257;1;6;sound;1000
22012;1;6;blink;728
23623;1;6;percept;Down
24049;1;7;trial start;7
28049;1;8;trial start;8
29266;1;8;sound;1000
29709;1;8;blink;1080
31499;1;8;percept;Down
32058;1;9;trial start;9
32766;1;9;sound;1500
33216;1;9;percept;Up
33742;1;9;blink;1101
35324;1;9;percept;Down
36059;1;10;trial start;10
37208;1;10;percept;Up
40067;1;11;trial start;11
40775;1;11;sound;1500
41460;1;11;blink;1375
43650;1;11;percept;Down
44068;1;12;trial start;12
45284;1;12;sound;1000
46378;1;12;blink;676
47817;1;12;percept;Down
48076;1;13;trial start;13
48602;1;13;blink;410
49175;1;13;percept;Up
51600;1;13;percept;Down
52077;1;14;trial start;14
53293;1;14;sound;1000
53969;1;14;blink;977
55809;1;14;percept;Down
56085;1;15;trial start;15
56793;1;15;sound;1500
56843;1;15;percept;Up
57568;1;15;blink;1403
59835;1;15;percept;Down
60086;1;16;trial start;16
64094;1;17;trial start;17
64560;1;17;percept;Up
64802;1;17;sound;1500
65379;1;17;blink;1576
68095;1;18;trial start;18
68811;1;18;sound;1500
69519;1;18;percept;Down
69448;1;18;blink;1401
71519;1;18;percept;Down
72103;1;19;trial start;19
73669;1;19;percept;Up
76104;1;20;trial start;20
76678;1;20;percept;Down
77320;1;20;sound;1000
77886;1;20;blink;1053
79486;1;20;percept;Up
80112;1;21;trial start;21
80820;1;21;sound;1500
81651;1;21;blink;1325
83911;1;21;percept;Up
84112;1;22;trial start;22
84886;1;22;percept;Down
88121;1;23;trial start;23
88829;1;23;sound;1500
88963;1;23;percept;Up
89491;1;23;blink;1455
91637;1;23;percept;Down
