Observer;Condition;SessionID;Block;Trial;Blink;Event;Value;Time;RelativeLocation;Direction
EGN1994M;blink;2017-01-25-15-01-19;1,0;1,0;0,0;Block start;;1485352916,63;-1,0;1,0
EGN1994M;blink;2017-01-25-15-01-19;1,0;1,0;0,0;Percept;-1;0,607999801636;-0,703500032425;1,0
EGN1994M;blink;2017-01-25-15-01-19;1,0;2,0;1,0;Trajectory limit;-1;4,007999897;1,00049996376;-1,0
EGN1994M;blink;2017-01-25-15-01-19;1,0;2,0;1,0;Reverse rotation;;4,01599979401;1,00049996376;-1,0
EGN1994M;blink;2017-01-25-15-01-19;1,0;2,0;1,0;Percept;1;4,375;0,820999979973;-1,0
EGN1994M;blink;2017-01-25-15-01-19;1,0;2,0;1,0;Sound;1.0;5,20899987221;0,399999976158;-1,0
EGN1994M;blink;2017-01-25-15-01-19;1,0;3,0;1,0;Trajectory limit;1;8,01799988747;-0,995499968529;1,0
EGN1994M;blink;2017-01-25-15-01-19;1,0;3,0;1,0;Reverse rotation;;8,02599978447;-0,995499968529;1,0
EGN1994M;blink;2017-01-25-15-01-19;1,0;3,0;1,0;Percept;-1;8,31699991226;-0,850000023842;1,0
EGN1994M;blink;2017-01-25-15-01-19;1,0;3,0;1,0;Sound;1.0;9,20899987221;-0,399999976158;1,0
EGN1994M;blink;2017-01-25-15-01-19;1,0;4,0;0,0;Trajectory limit;-1;12,0169999599;1,00400006771;-1,0
EGN1994M;blink;2017-01-25-15-01-19;1,0;4,0;0,0;Reverse rotation;;12,0249998569;1,00400006771;-1,0
EGN1994M;blink;2017-01-25-15-01-19;1,0;4,0;0,0;Percept;1;12,7249999046;0,654000163078;-1,0
EGN1994M;blink;2017-01-25-15-01-19;1,0;4,0;0,0;Percept;-1;13,1419999599;0,445500135422;-1,0
EGN1994M;blink;2017-01-25-15-01-19;1,0;5,0;1,0;Trajectory limit;1;16,0259997845;-0,999500155449;1,0
EGN1994M;blink;2017-01-25-15-01-19;1,0;5,0;1,0;Reverse rotation;;16,0339999199;-0,999500155449;1,0
EGN1994M;blink;2017-01-25-15-01-19;1,0;5,0;1,0;Percept;-1;16,7749998569;-0,629000067711;1,0
EGN1994M;blink;2017-01-25-15-01-19;1,0;5,0;1,0;Sound;1.0;17,2339999676;-0,395500063896;1,0
EGN1994M;blink;2017-01-25-15-01-19;1,0;5,0;1,0;Percept;-1;19,1339998245;0,549999952316;1,0
