Time;Block;Trial;Event;Value
21;1;1;trial start;1
638;1;1;percept;Up
4030;1;2;trial start;2
4406;1;2;percept;Down
5238;1;2;sound;1000
5950;1;2;blink;1609
8039;1;3;trial start;3
8347;1;3;percept;Up
9239;1;3;sound;1000
12040;1;4;trial start;4
10025;1;4;blink;2101
12755;1;4;percept;Down
13172;1;4;percept;Up
16048;1;5;trial start;5
16806;1;5;percept;Up
17265;1;5;sound;1000
17876;1;5;blink;855
19164;1;5;percept;Up
20057;1;6;trial start;6
20423;1;6;percept;Down
21282;1;6;sound;1000
22191;1;6;blink;750
24066;1;7;trial start;7
24848;1;7;percept;Down
28066;1;8;trial start;8
28357;1;8;percept;Up
28765;1;8;percept;Down
28778;1;8;sound;1500
29362;1;8;blink;1375
31324;1;8;percept;Down
32075;1;9;trial start;9
32632;1;9;percept;Up
32783;1;9;sound;1500
33549;1;9;blink;1228
35349;1;9;percept;Down
36075;1;10;trial start;10
36966;1;10;percept;Down
40084;1;11;trial start;11
40441;1;11;percept;Up
40792;1;11;sound;1500
41502;1;11;blink;1300
43592;1;11;percept;Up
44084;1;12;trial start;12
44700;1;12;percept;Down
45301;1;12;sound;1000
45986;1;12;blink;1011
47467;1;12;percept;Down
48092;1;13;trial start;13
48542;1;13;percept;Up
52093;1;14;trial start;14
52401;1;14;percept;Down
52810;1;14;sound;1500
53443;1;14;blink;1463
55676;1;14;percept;Up
56102;1;15;trial start;15
56443;1;15;percept;Down
56784;1;15;percept;Up
57310;1;15;sound;1000
57984;1;15;blink;875
59393;1;15;percept;Up
60102;1;16;trial start;16
61235;1;16;percept;Down
64110;1;17;trial start;17
64452;1;17;percept;Up
64819;1;17;sound;1500
65264;1;17;blink;1503
67527;1;17;percept;Up
68111;1;18;trial start;18
68427;1;18;percept;Down
68828;1;18;sound;1500
69443;1;18;blink;1181
71060;1;18;percept;Up
72119;1;19;trial start;19
72769;1;19;percept;Up
76120;1;20;trial start;20
76477;1;20;percept;Down
76837;1;20;sound;1500
77485;1;20;blink;1353
79561;1;20;percept;Up
80129;1;21;trial start;21
