Observer;Condition;SessionID;Block;Trial;Blink;Event;Value;Time;RelativeLocation;Direction
KKF1994w;blink;2017-01-25-11-32-47;1,0;1,0;0,0;Block start;;1485340435,36;-1,0;1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;1,0;0,0;Percept;-1;0,793000221252;-0,611000061035;1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;2,0;1,0;Trajectory limit;-1;4,00999999046;1,00099992752;-1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;2,0;1,0;Reverse rotation;;4,01700019836;1,00099992752;-1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;2,0;1,0;Percept;1;4,35100007057;0,833999872208;-1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;2,0;1,0;Sound;1.0;5,21800017357;0,396499872208;-1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;3,0;1,5;Trajectory limit;1;8,01800012589;-0,996499896049;1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;3,0;1,5;Reverse rotation;;8,02600002289;-0,996499896049;1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;3,0;1,5;Percept;1;8,06900000572;-0,975499868393;1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;3,0;1,5;Sound;1.5;8,71800017357;-0,646499872208;1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;3,0;1,5;Percept;-1;8,85100007057;-0,583999872208;1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;3,0;1,5;Percept;1;11,8350000381;0,90750014782;1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;4,0;0,0;Trajectory limit;-1;12,0180001259;1,00350010395;-1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;4,0;0,0;Reverse rotation;;12,0260000229;1,00350010395;-1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;4,0;0,0;Percept;-1;12,3260002136;0,853500127792;-1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;5,0;1,5;Trajectory limit;1;16,0270001888;-0,999000072479;1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;5,0;1,5;Reverse rotation;;16,0350000858;-0,999000072479;1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;5,0;1,5;Sound;1.5;16,7269999981;-0,649000167847;1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;5,0;1,5;Percept;-1;16,8770000935;-0,578500151634;1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;5,0;1,5;Percept;1;19,4440000057;0,704999923706;1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;5,0;1,5;Percept;-1;19,9010000229;0,933999896049;1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;6,0;1,0;Trajectory limit;-1;20,0270001888;1,00099992752;-1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;6,0;1,0;Reverse rotation;;20,0350000858;1,00099992752;-1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;6,0;1,0;Sound;1.0;21,2350001335;0,396999955177;-1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;7,0;0,0;Trajectory limit;1;24,0350000858;-0,996999979019;1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;7,0;0,0;Reverse rotation;;24,0430002213;-0,996999979019;1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;7,0;0,0;Percept;-1;24,2850000858;-0,875999927521;1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;8,0;1,0;Trajectory limit;-1;28,0350000858;1,00300002098;-1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;8,0;1,0;Reverse rotation;;28,0430002213;1,00300002098;-1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;8,0;1,0;Percept;1;28,5520000458;0,74899995327;-1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;8,0;1,0;Sound;1.0;29,2440001965;0,398499965668;-1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;8,0;1,0;Percept;1;31,6190001965;-0,784500002861;-1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;9,0;1,0;Trajectory limit;1;32,0430002213;-0,99899995327;1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;9,0;1,0;Reverse rotation;;32,0510001183;-0,99899995327;1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;9,0;1,0;Percept;-1;32,5270001888;-0,761000037193;1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;9,0;1,0;Sound;1.0;33,2440001965;-0,398499965668;1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;9,0;1,0;Percept;1;35,3190000057;0,634500026703;1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;9,0;1,0;Percept;-1;36,0440001488;0,996999979019;1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;10,0;0,0;Trajectory limit;-1;36,0520000458;1,00549995899;-1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;10,0;0,0;Reverse rotation;;36,0600001812;1,00549995899;-1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;11,0;1,5;Trajectory limit;1;40,0690000057;-0,99749994278;1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;11,0;1,5;Reverse rotation;;40,0760002136;-0,99749994278;1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;11,0;1,5;Percept;-1;40,4110000134;-0,829999923706;1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;11,0;1,5;Sound;1.5;40,7690000534;-0,646999955177;1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;11,0;1,5;Percept;1;43,7520000935;0,840000033379;1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;12,0;1,0;Trajectory limit;-1;44,0680000782;1,00250005722;-1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;12,0;1,0;Reverse rotation;;44,0760002136;1,00250005722;-1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;12,0;1,0;Percept;-1;44,4850001335;0,798000097275;-1,0
KKF1994w;blink;2017-01-25-11-32-47;1,0;12,0;1,0;Sound;1.0;45,2770001888;0,398000001907;-1,0
