Time;Block;Trial;Event;Value
22;1;1;trial start;1
823;1;1;percept;Up
4032;1;2;trial start;2
4383;1;2;percept;Down
5249;1;2;sound;1000
5882;1;2;blink;1119
8041;1;3;trial start;3
8099;1;3;percept;Down
8127;1;3;blink;73
8750;1;3;sound;1500
8882;1;3;percept;Up
9693;1;3;blink;1332
11866;1;3;percept;Down
12041;1;4;trial start;4
12357;1;4;percept;Up
16050;1;5;trial start;5
16758;1;5;sound;1500
16908;1;5;percept;Up
17467;1;5;blink;1325
19475;1;5;percept;Down
19933;1;5;percept;Up
20050;1;6;trial start;6
20504;1;6;blink;100
21267;1;6;sound;1000
21842;1;6;blink;1006
24059;1;7;trial start;7
24317;1;7;percept;Up
28059;1;8;trial start;8
28584;1;8;percept;Down
29276;1;8;sound;1000
30075;1;8;blink;926
31651;1;8;percept;Down
32068;1;9;trial start;9
31991;1;9;blink;81
32559;1;9;percept;Up
33276;1;9;sound;1000
33792;1;9;blink;1239
35351;1;9;percept;Down
36076;1;9;percept;Up
36076;1;10;trial start;10
38688;1;10;blink;94
40093;1;11;trial start;11
40444;1;11;percept;Up
40802;1;11;sound;1500
41516;1;11;blink;1526
43785;1;11;percept;Down
44094;1;12;trial start;12
44518;1;12;percept;Up
45310;1;12;sound;1000
45326;1;12;blink;81
45989;1;12;blink;1077
47686;1;12;percept;Down
48103;1;13;trial start;13
48427;1;13;percept;Up
50322;1;13;blink;148
52103;1;14;trial start;14
52402;1;14;percept;Down
52819;1;14;sound;1500
53364;1;14;blink;1654
56112;1;15;trial start;15
56503;1;15;percept;Up
57321;1;15;sound;1000
57857;1;15;blink;1201
59720;1;15;percept;Down
60112;1;16;trial start;16
60445;1;16;percept;Up
63507;1;16;blink;121
64121;1;17;trial start;17
64554;1;17;percept;Up
64829;1;17;sound;1500
65806;1;17;blink;1232
68121;1;18;trial start;18
68421;1;18;percept;Up
69338;1;18;sound;1000
69402;1;18;blink;94
69901;1;18;blink;1152
71654;1;18;percept;Down
72130;1;19;trial start;19
72454;1;19;percept;Up
76130;1;20;trial start;20
76655;1;20;percept;Down
77347;1;20;sound;1000
77937;1;20;blink;1102
80139;1;21;trial start;21
80613;1;21;percept;Up
80848;1;21;sound;1500
81015;1;21;blink;90
81584;1;21;blink;1377
83805;1;21;percept;Down
84139;1;22;trial start;22
84505;1;22;percept;Up
88148;1;23;trial start;23
88605;1;23;percept;Up
88856;1;23;sound;1500
89461;1;23;blink;1426
92148;1;24;trial start;24
92540;1;24;percept;Up
92865;1;24;sound;1500
93565;1;24;blink;1425
96039;1;25;trial start;25
20;2;1;trial start;1
4032;2;2;trial start;2
4457;2;2;percept;Down
5249;2;2;sound;1000
5973;2;2;blink;980
8041;2;3;trial start;3
8358;2;3;percept;Up
8749;2;3;sound;1500
9556;2;3;blink;1354
12041;2;4;trial start;4
12342;2;4;percept;Up
16050;2;5;trial start;5
16599;2;5;percept;Up
16759;2;5;sound;1500
17340;2;5;blink;1577
20051;2;6;trial start;6
20575;2;6;percept;Up
21267;2;6;sound;1000
21850;2;6;blink;1055
24059;2;7;trial start;7
24409;2;7;percept;Up
28060;2;8;trial start;8
29167;2;8;percept;Down
29276;2;8;sound;1000
29904;2;8;blink;1025
32068;2;9;trial start;9
32609;2;9;percept;Up
33277;2;9;sound;1000
34102;2;9;blink;852
36068;2;10;trial start;10
36368;2;10;percept;Up
40077;2;11;trial start;11
40536;2;11;percept;Up
40561;2;11;percept;Down
40786;2;11;sound;1500
41491;2;11;blink;1213
44077;2;12;trial start;12
44493;2;12;percept;Up
45294;2;12;sound;1000
45790;2;12;blink;978
48086;2;13;trial start;13
48244;2;13;percept;Up
