Observer;Condition;SessionID;Block;Trial;Blink;Event;Value;Time;RelativeLocation;Direction
SDA1995M;blink;2017-01-20-10-52-31;1,0;1,0;0,0;Block start;;1484906145,56;-1,0;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;1,0;0,0;Percept;-1;1,01899981499;-0,498000025749;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;2,0;1,5;Trajectory limit;-1;4,01099991798;1,00199997425;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;2,0;1,5;Reverse rotation;;4,01799988747;1,00199997425;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;2,0;1,5;Percept;1;4,4849998951;0,768999934196;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;2,0;1,5;Sound;1.5;4,71899986267;0,648000001907;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;2,0;1,5;Percept;-1;7,76899981499;-0,873000025749;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;3,0;1,0;Trajectory limit;1;8,01899981499;-0,998000025749;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;3,0;1,0;Reverse rotation;;8,02699995041;-0,998000025749;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;3,0;1,0;Percept;1;8,69400000572;-0,664499998093;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;3,0;1,0;Sound;1.0;9,21899986267;-0,398000001907;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;4,0;0,0;Trajectory limit;-1;12,018999815;1,00199997425;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;4,0;0,0;Reverse rotation;;12,0260000229;1,00199997425;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;4,0;0,0;Percept;-1;12,501999855;0,764499902725;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;5,0;1,5;Trajectory limit;1;16,0269999504;-0,99799990654;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;5,0;1,5;Reverse rotation;;16,0339999199;-0,99799990654;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;5,0;1,5;Percept;1;16,6099998951;-0,710499882698;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;5,0;1,5;Sound;1.5;16,7269999981;-0,647999882698;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;5,0;1,5;Percept;-1;19,493999958;0,731500029564;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;6,0;1,0;Trajectory limit;-1;20,0279998779;1,00250005722;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;6,0;1,0;Reverse rotation;;20,0349998474;1,00250005722;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;6,0;1,0;Percept;1;20,9440000057;0,548500061035;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;6,0;1,0;Sound;1.0;21,2359998226;0,398500084877;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;7,0;0,0;Trajectory limit;1;24,0360000134;-0,99849998951;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;7,0;0,0;Reverse rotation;;24,0429999828;-0,99849998951;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;7,0;0,0;Percept;1;24,6940000057;-0,673500061035;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;8,0;1,5;Trajectory limit;-1;28,0360000134;1,00150001049;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;8,0;1,5;Reverse rotation;;28,0429999828;1,00150001049;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;8,0;1,5;Sound;1.5;28,743999958;0,647500038147;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;8,0;1,5;Percept;-1;28,8269999027;0,610000014305;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;9,0;1,0;Trajectory limit;1;32,0439999104;-0,997500061989;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;9,0;1,0;Reverse rotation;;32,0509998798;-0,997500061989;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;9,0;1,0;Percept;1;32,626999855;-0,710000038147;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;9,0;1,0;Sound;1.0;33,243999958;-0,397500038147;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;9,0;1,0;Percept;-1;35,5950000286;0,773499965668;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;10,0;0,0;Trajectory limit;-1;36,0449998379;1,00299990177;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;10,0;0,0;Reverse rotation;;36,0520000458;1,00299990177;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;10,0;0,0;Percept;1;36,6619999409;0,698999881744;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;10,0;0,0;Percept;-1;39,0779998302;-0,509500145912;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;11,0;1,0;Trajectory limit;1;40,0529999733;-0,998999834061;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;11,0;1,0;Reverse rotation;;40,0599999428;-0,998999834061;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;11,0;1,0;Percept;1;40,5690000057;-0,744999885559;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;11,0;1,0;Sound;1.0;41,253000021;-0,398999810219;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;11,0;1,0;Percept;-1;43,510999918;0,726000189781;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;12,0;1,5;Trajectory limit;-1;44,0529999733;1,00100016594;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;12,0;1,5;Reverse rotation;;44,0609998703;1,00100016594;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;12,0;1,5;Percept;1;44,5609998703;0,751000165939;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;12,0;1,5;Sound;1.5;44,760999918;0,647000193596;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;12,0;1,5;Percept;-1;47,4029998779;-0,669499754906;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;13,0;0,0;Trajectory limit;1;48,0609998703;-0,997000217438;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;13,0;0,0;Reverse rotation;;48,0690000057;-0,997000217438;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;13,0;0,0;Percept;1;48,7279999256;-0,668000221252;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;14,0;1,5;Trajectory limit;-1;52,0579998493;1,00099980831;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;14,0;1,5;Reverse rotation;;52,0649998188;1,00099980831;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;14,0;1,5;Percept;-1;52,6689999104;0,698999762535;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;14,0;1,5;Sound;1.5;52,760999918;0,648999810219;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;14,0;1,5;Percept;-1;55,2619998455;-0,59700024128;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;15,0;1,0;Trajectory limit;1;56,0620000362;-0,998499751091;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;15,0;1,0;Reverse rotation;;56,0690000057;-0,998499751091;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;15,0;1,0;Percept;1;56,6029999256;-0,731999754906;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;15,0;1,0;Sound;1.0;57,2619998455;-0,398499846458;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;15,0;1,0;Percept;-1;59,2779998779;0,605500221252;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;16,0;0,0;Trajectory limit;-1;60,0620000362;1,00100016594;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;16,0;0,0;Reverse rotation;;60,0690000057;1,00100016594;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;16,0;0,0;Percept;1;60,7449998856;0,663500189781;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;17,0;1,5;Trajectory limit;1;64,0699999332;-0,996500134468;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;17,0;1,5;Reverse rotation;;64,0769999027;-0,996500134468;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;17,0;1,5;Percept;1;64,618999958;-0,726000189781;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;17,0;1,5;Sound;1.5;64,7699999809;-0,646500110626;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;17,0;1,5;Percept;-1;67,243999958;0,586499810219;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;18,0;1,5;Trajectory limit;-1;68,0699999332;1,00299990177;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;18,0;1,5;Reverse rotation;;68,0769999027;1,00299990177;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;18,0;1,5;Percept;1;68,7359998226;0,673499941826;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;18,0;1,5;Sound;1.5;68,7779998779;0,648499965668;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;18,0;1,5;Percept;-1;72,0369999409;-0,977000117302;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;19,0;0,0;Trajectory limit;1;72,0789999962;-0,99799990654;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;19,0;0,0;Reverse rotation;;72,0869998932;-0,99799990654;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;19,0;0,0;Percept;1;72,8619999886;-0,610499978065;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;20,0;1,0;Trajectory limit;-1;76,0789999962;1,00200009346;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;20,0;1,0;Reverse rotation;;76,0869998932;1,00200009346;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;20,0;1,0;Percept;-1;76,6199998856;0,735500097275;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;20,0;1,0;Sound;1.0;77,2869999409;0,398000121117;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;20,0;1,0;Percept;-1;80,0620000362;-0,985499858856;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;21,0;1,5;Trajectory limit;1;80,0869998932;-0,998000144958;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;21,0;1,5;Reverse rotation;;80,0950000286;-0,998000144958;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;21,0;1,5;Sound;1.5;80,7869999409;-0,648000121117;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;21,0;1,5;Percept;1;80,8609998226;-0,615000128746;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;21,0;1,5;Percept;-1;83,1949999332;0,551499843597;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;22,0;0,0;Trajectory limit;-1;84,0869998932;1,00149989128;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;22,0;0,0;Reverse rotation;;84,0939998627;1,00149989128;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;22,0;0,0;Percept;1;84,6779999733;0,709499955177;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;23,0;1,0;Trajectory limit;1;88,0959999561;-0,996499896049;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;23,0;1,0;Reverse rotation;;88,1029999256;-0,996499896049;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;23,0;1,0;Percept;-1;89,0290000439;-0,533999919891;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;23,0;1,0;Sound;1.0;89,2960000038;-0,396499872208;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;23,0;1,0;Percept;-1;92,0290000439;0,966000080109;1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;24,0;1,0;Trajectory limit;-1;92,0959999561;1,00350010395;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;24,0;1,0;Reverse rotation;;92,1039998531;1,00350010395;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;24,0;1,0;Percept;1;92,8039999008;0,653500080109;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;24,0;1,0;Sound;1.0;93,3039999008;0,399500131607;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;24,0;1,0;Percept;-1;95,3959999084;-0,641999840736;-1,0
SDA1995M;blink;2017-01-20-10-52-31;1,0;24,0;1,0;Block end;;96,0039999485;-0,946499943733;-1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;1,0;0,0;Block start;;1484906280,9;-1,0;1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;1,0;0,0;Percept;-1;0,809000015259;-0,603500008583;1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;2,0;1,5;Trajectory limit;-1;4,00900006294;1,00049996376;-1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;2,0;1,5;Reverse rotation;;4,01699995995;1,00049996376;-1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;2,0;1,5;Sound;1.5;4,71799993515;0,646000027657;-1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;2,0;1,5;Percept;1;5,30999994278;0,353999972343;-1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;3,0;1,0;Trajectory limit;1;8,01099991798;-0,99950003624;1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;3,0;1,0;Reverse rotation;;8,01900005341;-0,99950003624;1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;3,0;1,0;Percept;-1;8,12700009346;-0,945999979973;1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;3,0;1,0;Percept;1;8,55999994278;-0,728999972343;1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;3,0;1,0;Sound;1.0;9,21000003815;-0,399999976158;1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;3,0;1,0;Percept;-1;11,5929999352;0,787500023842;1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;4,0;0,0;Trajectory limit;-1;12,0190000534;1,00450003147;-1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;4,0;0,0;Reverse rotation;;12,0260000229;1,00450003147;-1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;4,0;0,0;Percept;1;13,1930000782;0,421500086784;-1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;4,0;0,0;Percept;-1;15,2100000381;-0,587000012398;-1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;5,0;1,5;Trajectory limit;1;16,0350000858;-0,996500015259;1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;5,0;1,5;Reverse rotation;;16,0420000553;-0,996500015259;1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;5,0;1,5;Percept;1;16,5759999752;-0,730000019073;1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;5,0;1,5;Sound;1.5;16,7350001335;-0,646499991417;1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;5,0;1,5;Percept;-1;19,3849999905;0,673999905586;1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;6,0;1,0;Trajectory limit;-1;20,0350000858;1,00349998474;-1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;6,0;1,0;Reverse rotation;;20,0420000553;1,00349998474;-1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;6,0;1,0;Percept;1;20,4600000381;0,795500040054;-1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;6,0;1,0;Sound;1.0;21,2430000305;0,399500012398;-1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;6,0;1,0;Percept;-1;23,2769999504;-0,613499999046;-1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;7,0;0,0;Trajectory limit;1;24,0439999104;-0,999000072479;1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;7,0;0,0;Reverse rotation;;24,0520000458;-0,999000072479;1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;7,0;0,0;Percept;1;24,5610001087;-0,745000004768;1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;8,0;1,5;Trajectory limit;-1;28,0439999104;1,00099992752;-1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;8,0;1,5;Reverse rotation;;28,0510001183;1,00099992752;-1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;8,0;1,5;Percept;-1;28,0620000362;1,00099992752;-1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;8,0;1,5;Percept;1;28,6770000458;0,688499927521;-1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;8,0;1,5;Sound;1.5;28,7520000935;0,646999835968;-1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;8,0;1,5;Percept;-1;31,3099999428;-0,62800014019;-1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;9,0;1,0;Trajectory limit;1;32,0520000458;-0,99699985981;1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;9,0;1,0;Reverse rotation;;32,0599999428;-0,99699985981;1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;9,0;1,0;Percept;1;32,6100001335;-0,721999883652;1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;9,0;1,0;Sound;1.0;33,2520000935;-0,396999835968;1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;9,0;1,0;Percept;-1;33,9769999981;-0,0384998321533;1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;9,0;1,0;Percept;-1;35,8600001335;0,903000116348;1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;10,0;0,0;Trajectory limit;-1;36,0520000458;1,00300014019;-1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;10,0;0,0;Reverse rotation;;36,0599999428;1,00300014019;-1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;10,0;0,0;Percept;1;36,6600000858;0,703000187874;-1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;10,0;0,0;Percept;-1;39,3429999352;-0,638499855995;-1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;11,0;1,0;Trajectory limit;1;40,0610001087;-0,998500108719;1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;11,0;1,0;Reverse rotation;;40,0690000057;-0,998500108719;1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;11,0;1,0;Percept;1;40,5360000134;-0,765000104904;1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;11,0;1,0;Sound;1.0;41,260999918;-0,398500204086;1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;11,0;1,0;Percept;-1;43,3940000534;0,663999795914;1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;12,0;1,5;Trajectory limit;-1;44,0610001087;1,00149989128;-1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;12,0;1,5;Reverse rotation;;44,0680000782;1,00149989128;-1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;12,0;1,5;Percept;1;44,6100001335;0,730999946594;-1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;12,0;1,5;Sound;1.5;44,7690000534;0,647499918938;-1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;12,0;1,5;Percept;-1;47,6029999256;-0,765000104904;-1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;13,0;0,0;Trajectory limit;1;48,0690000057;-0,99749994278;1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;13,0;0,0;Reverse rotation;;48,0770001411;-0,99749994278;1,0
SDA1995M;blink;2017-01-20-10-52-31;2,0;13,0;0,0;Percept;1;48,6779999733;-0,696999907494;1,0
