Time;Block;Trial;Event;Value
21;1;1;trial start;1
1048;1;1;percept;Up
4032;1;2;trial start;2
4516;1;2;percept;Down
4748;1;2;sound;1500
5867;1;2;blink;1290
7798;1;2;percept;Up
8041;1;3;trial start;3
8723;1;3;percept;Down
9249;1;3;sound;1000
10897;1;3;blink;6
10930;1;3;blink;145
12041;1;4;trial start;4
12532;1;4;percept;Up
16050;1;5;trial start;5
16640;1;5;percept;Down
16758;1;5;sound;1500
17439;1;5;blink;1531
19524;1;5;percept;Up
20050;1;6;trial start;6
20974;1;6;percept;Down
21266;1;6;sound;1000
22374;1;6;blink;810
24059;1;7;trial start;7
24724;1;7;percept;Down
28059;1;8;trial start;8
28775;1;8;sound;1500
28858;1;8;percept;Up
29271;1;8;blink;1570
32068;1;9;trial start;9
32658;1;9;percept;Down
33276;1;9;sound;1000
33776;1;9;blink;1052
35625;1;9;percept;Up
36068;1;10;trial start;10
36693;1;10;percept;Down
39109;1;10;percept;Up
40077;1;11;trial start;11
40601;1;11;percept;Down
41285;1;11;sound;1000
41920;1;11;blink;1050
43543;1;11;percept;Up
44077;1;12;trial start;12
44593;1;12;percept;Down
44793;1;12;sound;1500
45334;1;12;blink;1276
47435;1;12;percept;Up
48086;1;13;trial start;13
48760;1;13;percept;Down
52083;1;14;trial start;14
52702;1;14;percept;Up
52794;1;14;sound;1500
53213;1;14;blink;1574
55294;1;14;percept;Up
56086;1;15;trial start;15
56635;1;15;percept;Down
57295;1;15;sound;1000
57891;1;15;blink;1057
59311;1;15;percept;Up
60087;1;16;trial start;16
60778;1;16;percept;Down
64095;1;17;trial start;17
64653;1;17;percept;Down
64803;1;17;sound;1500
65400;1;17;blink;1467
67278;1;17;percept;Up
68096;1;18;trial start;18
68770;1;18;percept;Down
68812;1;18;sound;1500
69452;1;18;blink;1459
72070;1;18;percept;Up
72105;1;19;trial start;19
72895;1;19;percept;Down
76105;1;20;trial start;20
76654;1;20;percept;Up
77321;1;20;sound;1000
77953;1;20;blink;1008
80096;1;20;percept;Up
80114;1;21;trial start;21
80821;1;21;sound;1500
80896;1;21;percept;Down
81380;1;21;blink;1471
83229;1;21;percept;Up
84113;1;22;trial start;22
84713;1;22;percept;Down
88122;1;23;trial start;23
89063;1;23;percept;Up
89330;1;23;sound;1000
89859;1;23;blink;1056
92064;1;23;percept;Up
92123;1;24;trial start;24
92839;1;24;percept;Down
93339;1;24;sound;1000
93971;1;24;blink;1065
95431;1;24;percept;Up
96038;1;25;trial start;25
22;2;1;trial start;1
840;2;1;percept;Up
4032;2;2;trial start;2
4748;2;2;sound;1500
5340;2;2;percept;Down
5623;2;2;blink;1317
8033;2;3;trial start;3
8157;2;3;percept;Up
8590;2;3;percept;Down
9241;2;3;sound;1000
10008;2;3;blink;1014
11624;2;3;percept;Up
12041;2;4;trial start;4
13224;2;4;percept;Down
15240;2;4;percept;Up
16058;2;5;trial start;5
16607;2;5;percept;Down
16766;2;5;sound;1500
17300;2;5;blink;1619
19416;2;5;percept;Up
20058;2;6;trial start;6
20491;2;6;percept;Down
21275;2;6;sound;1000
21723;2;6;blink;1184
23308;2;6;percept;Up
24067;2;7;trial start;7
24592;2;7;percept;Down
28068;2;8;trial start;8
28094;2;8;percept;Up
28708;2;8;percept;Down
28784;2;8;sound;1500
29336;2;8;blink;1626
31342;2;8;percept;Up
32076;2;9;trial start;9
32642;2;9;percept;Down
33285;2;9;sound;1000
34009;2;9;percept;Up
33868;2;9;blink;1452
35892;2;9;percept;Up
36077;2;10;trial start;10
36692;2;10;percept;Down
39376;2;10;percept;Up
40085;2;11;trial start;11
40568;2;11;percept;Down
41293;2;11;sound;1000
41806;2;11;blink;1144
43426;2;11;percept;Up
44085;2;12;trial start;12
44643;2;12;percept;Down
44802;2;12;sound;1500
45562;2;12;blink;1332
47636;2;12;percept;Up
48095;2;13;trial start;13
48711;2;13;percept;Down
52035;2;13;percept;Up
52095;2;14;trial start;14
52811;2;14;sound;1500
53094;2;14;percept;Down
53426;2;14;blink;1479
55344;2;14;percept;Up
56104;2;15;trial start;15
56827;2;15;percept;Down
57311;2;15;sound;1000
57801;2;15;blink;1115
59394;2;15;percept;Up
60104;2;16;trial start;16
60853;2;16;percept;Down
63237;2;16;percept;Up
64113;2;17;trial start;17
64653;2;17;percept;Down
64820;2;17;sound;1500
65421;2;17;blink;1529
67537;2;17;percept;Up
68112;2;18;trial start;18
68703;2;18;percept;Down
68829;2;18;sound;1500
69342;2;18;blink;1599
71445;2;18;percept;Up
72121;2;19;trial start;19
72754;2;19;percept;Down
75904;2;19;percept;Up
76122;2;20;trial start;20
76813;2;20;percept;Down
77339;2;20;sound;1000
77880;2;20;blink;1146
79821;2;20;percept;Up
80131;2;21;trial start;21
80771;2;21;percept;Down
80839;2;21;sound;1500
81433;2;21;blink;1531
83597;2;21;percept;Up
84131;2;22;trial start;22
84705;2;22;percept;Down
87455;2;22;percept;Up
88140;2;23;trial start;23
88722;2;23;percept;Down
89348;2;23;sound;1000
89890;2;23;blink;1124
91839;2;23;percept;Down
92140;2;24;trial start;24
92639;2;24;percept;Up
93356;2;24;sound;1000
94121;2;24;blink;896
95648;2;24;percept;Up
96038;2;25;trial start;25
21;3;1;trial start;1
548;3;1;percept;Up
4032;3;2;trial start;2
4631;3;2;percept;Down
4749;3;2;sound;1500
5435;3;2;blink;1394
7540;3;2;percept;Up
8041;3;3;trial start;3
8582;3;3;percept;Down
9249;3;3;sound;1000
9708;3;3;blink;1103
11265;3;3;percept;Up
12041;3;4;trial start;4
12590;3;4;percept;Down
16050;3;5;trial start;5
16532;3;5;percept;Up
16758;3;5;sound;1500
17298;3;5;blink;1594
19366;3;5;percept;Down
20050;3;6;trial start;6
20983;3;6;percept;Down
21267;3;6;sound;1000
21820;3;6;blink;1064
24059;3;7;trial start;7
24900;3;7;percept;Up
28059;3;8;trial start;8
28450;3;8;percept;Down
28776;3;8;sound;1500
29267;3;8;blink;1543
31234;3;8;percept;Up
32068;3;9;trial start;9
32675;3;9;percept;Down
33276;3;9;sound;1000
33865;3;9;blink;1190
35551;3;9;percept;Up
36068;3;10;trial start;10
36584;3;10;percept;Down
40077;3;11;trial start;11
41268;3;11;percept;Down
41280;3;11;sound;1000
41925;3;11;blink;1154
43560;3;11;percept;Up
44077;3;12;trial start;12
44610;3;12;percept;Down
44794;3;12;sound;1500
45381;3;12;blink;1135
47327;3;12;percept;Up
48086;3;13;trial start;13
48668;3;13;percept;Down
51594;3;13;percept;Up
52086;3;14;trial start;14
52552;3;14;percept;Down
52803;3;14;sound;1500
53485;3;14;blink;1475
55477;3;14;percept;Up
56095;3;15;trial start;15
56802;3;15;percept;Down
57303;3;15;sound;1000
57870;3;15;blink;1145
59394;3;15;percept;Up
60095;3;16;trial start;16
60603;3;16;percept;Down
64104;3;17;trial start;17
64812;3;17;sound;1500
64945;3;17;percept;Down
65316;3;17;blink;1490
67262;3;17;percept;Up
68104;3;18;trial start;18
68537;3;18;percept;Down
68821;3;18;sound;1500
69381;3;18;blink;1597
71329;3;18;percept;Up
72113;3;19;trial start;19
72962;3;19;percept;Down
76113;3;20;trial start;20
76496;3;20;percept;Up
77330;3;20;sound;1000
77936;3;20;blink;1115
79571;3;20;percept;Up
80122;3;21;trial start;21
80580;3;21;percept;Down
80831;3;21;sound;1500
81491;3;21;blink;1562
83480;3;21;percept;Up
84122;3;22;trial start;22
84705;3;22;percept;Down
88131;3;23;trial start;23
89222;3;23;percept;Up
89340;3;23;sound;1000
89422;3;23;percept;Down
90120;3;23;blink;836
91422;3;23;percept;Up
92132;3;24;trial start;24
92656;3;24;percept;Down
93348;3;24;sound;1000
93905;3;24;blink;1141
95439;3;24;percept;Up
96038;3;25;trial start;25
21;4;1;trial start;1
690;4;1;percept;Down
4031;4;2;trial start;2
4497;4;2;percept;Up
4748;4;2;sound;1500
5243;4;2;blink;1717
7498;4;2;percept;Up
8040;4;3;trial start;3
8497;4;3;percept;Down
9248;4;3;sound;1000
9843;4;3;blink;1309
12014;4;3;percept;Up
12040;4;4;trial start;4
12598;4;4;percept;Down
16049;4;5;trial start;5
16216;4;5;percept;Up
16690;4;5;percept;Down
16757;4;5;sound;1500
17305;4;5;blink;1789
19632;4;5;percept;Up
20049;4;6;trial start;6
20532;4;6;percept;Down
21207;4;6;percept;Up
21266;4;6;sound;1000
21725;4;6;blink;1161
23290;4;6;percept;Down
24058;4;7;trial start;7
24533;4;7;percept;Up
28058;4;8;trial start;8
28558;4;8;blink;205
