Observer;Condition;SessionID;Block;Trial;Blink;Event;Value;Time;RelativeLocation;Direction
SDL1990m;blink;2017-01-25-12-34-33;1,0;1,0;0,0;Block start;;1485344196,29;-1,0;1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;1,0;0,0;Percept;-1;1,3180000782;-0,348999977112;1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;2,0;1,0;Trajectory limit;-1;4,00999999046;1,00100004673;-1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;2,0;1,0;Reverse rotation;;4,01799988747;1,00100004673;-1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;2,0;1,0;Percept;1;4,46099996567;0,780000090599;-1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;2,0;1,0;Sound;1.0;5,21799993515;0,397000074387;-1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;2,0;1,0;Percept;-1;6,73600006104;-0,357999920845;-1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;3,0;1,5;Trajectory limit;1;8,01999998093;-0,996000051498;1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;3,0;1,5;Reverse rotation;;8,02699995041;-0,996000051498;1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;3,0;1,5;Sound;1.5;8,71900010109;-0,646499991417;1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;3,0;1,5;Percept;1;9,3029999733;-0,358500003815;1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;4,0;0,0;Trajectory limit;-1;12,0190000534;1,00349998474;-1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;4,0;0,0;Reverse rotation;;12,0269999504;1,00349998474;-1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;5,0;1,0;Trajectory limit;1;16,0269999504;-0,99950003624;1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;5,0;1,0;Reverse rotation;;16,0350000858;-0,99950003624;1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;5,0;1,0;Percept;-1;16,4270000458;-0,803500056267;1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;5,0;1,0;Sound;1.0;17,2279999256;-0,399000048637;1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;5,0;1,0;Percept;1;19,5520000458;0,758999943733;1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;6,0;1,0;Trajectory limit;-1;20,0269999504;1,00049996376;-1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;6,0;1,0;Reverse rotation;;20,0350000858;1,00049996376;-1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;6,0;1,0;Sound;1.0;21,2349998951;0,396499991417;-1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;6,0;1,0;Percept;-1;23,7850000858;-0,87450003624;-1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;7,0;0,0;Trajectory limit;1;24,0360000134;-0,995999932289;1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;7,0;0,0;Reverse rotation;;24,0439999104;-0,995999932289;1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;8,0;1,5;Trajectory limit;-1;28,0369999409;1,00450003147;-1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;8,0;1,5;Reverse rotation;;28,0450000763;1,00450003147;-1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;8,0;1,5;Sound;1.5;28,753000021;0,646499991417;-1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;8,0;1,5;Percept;1;28,7650001049;0,646499991417;-1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;8,0;1,5;Percept;-1;31,1779999733;-0,56200003624;-1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;9,0;1,5;Trajectory limit;1;32,0539999008;-0,996000051498;1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;9,0;1,5;Reverse rotation;;32,0620000362;-0,996000051498;1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;9,0;1,5;Sound;1.5;32,7520000935;-0,646999955177;1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;9,0;1,5;Percept;1;33,6700000763;-0,192499995232;1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;9,0;1,5;Percept;-1;36,0269999504;0,986500024796;1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;10,0;0,0;Trajectory limit;-1;36,0490000248;1,00150001049;-1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;10,0;0,0;Reverse rotation;;36,0569999218;1,00150001049;-1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;10,0;0,0;Percept;1;37,0690000057;0,495500087738;-1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;11,0;1,5;Trajectory limit;1;40,0529999733;-0,99950003624;1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;11,0;1,5;Reverse rotation;;40,0620000362;-0,99950003624;1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;11,0;1,5;Percept;-1;40,5360000134;-0,762000083923;1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;11,0;1,5;Sound;1.5;40,753000021;-0,649500012398;1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;11,0;1,5;Percept;-1;43,9949998856;0,96749997139;1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;12,0;1,5;Trajectory limit;-1;44,0539999008;1,00099992752;-1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;12,0;1,5;Reverse rotation;;44,0620000362;1,00099992752;-1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;12,0;1,5;Percept;-1;44,1119999886;0,976499915123;-1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;12,0;1,5;Sound;1.5;44,7620000839;0,646999835968;-1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;12,0;1,5;Percept;1;45,0859999657;0,488499879837;-1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;13,0;0,0;Trajectory limit;1;48,0620000362;-0,99699985981;1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;13,0;0,0;Reverse rotation;;48,0699999332;-0,99699985981;1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;13,0;0,0;Percept;1;48,8359999657;-0,613999843597;1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;14,0;1,5;Trajectory limit;-1;52,0620000362;1,00250005722;-1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;14,0;1,5;Reverse rotation;;52,0699999332;1,00250005722;-1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;14,0;1,5;Sound;1.5;52,7699999809;0,648000001907;-1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;14,0;1,5;Percept;-1;52,7950000763;0,639999985695;-1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;14,0;1,5;Percept;-1;55,3940000534;-0,659999966621;-1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;15,0;1,0;Trajectory limit;1;56,0699999332;-0,998000025749;1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;15,0;1,0;Reverse rotation;;56,0780000687;-0,998000025749;1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;15,0;1,0;Sound;1.0;57,2699999809;-0,398499965668;1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;15,0;1,0;Percept;1;58,1610000134;0,0434999465942;1,0
SDL1990m;blink;2017-01-25-12-34-33;1,0;16,0;0,0;Trajectory limit;-1;60,0710000992;1,00199997425;-1,0
