Observer;SessionID;Block;Trial;Blink;Event;Value;Time;RelativeLocation;Direction;Condition
SKL94w;2017-01-18-11-52-36;1;1;0;Block start;;1484737166,88;-1;1;blink
SKL94w;2017-01-18-11-52-36;1;1;0;Percept;-1;1,46000003815;-0,277499914169;1;blink
SKL94w;2017-01-18-11-52-36;1;2;1;Trajectory limit;-1;4,0110001564;1,00200009346;-1;blink
SKL94w;2017-01-18-11-52-36;1;2;1;Reverse rotation;;4,01900005341;1,00200009346;-1;blink
SKL94w;2017-01-18-11-52-36;1;2;1;Percept;1;4,86899995804;0,577000141144;-1;blink
SKL94w;2017-01-18-11-52-36;1;2;1;Sound;1.0;5,22000002861;0,397500157356;-1;blink
SKL94w;2017-01-18-11-52-36;1;3;1;Trajectory limit;1;8,01999998093;-0,997500181198;1;blink
SKL94w;2017-01-18-11-52-36;1;3;1;Reverse rotation;;8,02700018883;-0,997500181198;1;blink
SKL94w;2017-01-18-11-52-36;1;3;1;Percept;1;8,16200017929;-0,930500149727;1;blink
SKL94w;2017-01-18-11-52-36;1;3;1;Percept;-1;8,83599996567;-0,593500137329;1;blink
SKL94w;2017-01-18-11-52-36;1;3;1;Sound;1.0;9,21900010109;-0,398000121117;1;blink
SKL94w;2017-01-18-11-52-36;1;3;1;Percept;-1;11,6440000534;0,81049990654;1;blink
SKL94w;2017-01-18-11-52-36;1;4;0;Trajectory limit;-1;12,0199999809;1,00199985504;-1;blink
SKL94w;2017-01-18-11-52-36;1;4;0;Reverse rotation;;12,0270001888;1,00199985504;-1;blink
SKL94w;2017-01-18-11-52-36;1;4;0;Percept;1;12,8280000687;0,601999878883;-1;blink
SKL94w;2017-01-18-11-52-36;1;5;1;Trajectory limit;1;16,0280001163;-0,99749982357;1;blink
SKL94w;2017-01-18-11-52-36;1;5;1;Reverse rotation;;16,0350000858;-0,99749982357;1;blink
SKL94w;2017-01-18-11-52-36;1;5;1;Percept;-1;16,7690000534;-0,630999803543;1;blink
SKL94w;2017-01-18-11-52-36;1;5;1;Sound;1.0;17,228000164;-0,397499799728;1;blink
SKL94w;2017-01-18-11-52-36;1;5;1;Percept;1;19,4360001087;0,702000141144;1;blink
