Observer;Condition;SessionID;Block;Trial;Blink;Event;Value;Time;RelativeLocation;Direction
UKS1989M;blink;2017-01-19-15-20-56;1,0;1,0;0,0;Block start;;1484835769,0;-1,0;1,0
UKS1989M;blink;2017-01-19-15-20-56;1,0;1,0;0,0;Percept;-1;0,614000082016;-0,700500011444;1,0
UKS1989M;blink;2017-01-19-15-20-56;1,0;2,0;1,5;Trajectory limit;-1;4,0150001049;1,00349998474;-1,0
UKS1989M;blink;2017-01-19-15-20-56;1,0;2,0;1,5;Reverse rotation;;4,02200007439;1,00349998474;-1,0
UKS1989M;blink;2017-01-19-15-20-56;1,0;2,0;1,5;Percept;1;4,51399993896;0,757499933243;-1,0
UKS1989M;blink;2017-01-19-15-20-56;1,0;2,0;1,5;Sound;1.5;4,72300004959;0,648999929428;-1,0
UKS1989M;blink;2017-01-19-15-20-56;1,0;2,0;1,5;Percept;1;7,50600004196;-0,738499999046;-1,0
UKS1989M;blink;2017-01-19-15-20-56;1,0;3,0;1,5;Trajectory limit;1;8,02300000191;-0,99899995327;1,0
UKS1989M;blink;2017-01-19-15-20-56;1,0;3,0;1,5;Reverse rotation;;8,02999997139;-0,99899995327;1,0
UKS1989M;blink;2017-01-19-15-20-56;1,0;3,0;1,5;Sound;1.5;8,72300004959;-0,648999929428;1,0
UKS1989M;blink;2017-01-19-15-20-56;1,0;3,0;1,5;Percept;-1;9,33899998665;-0,344999909401;1,0
UKS1989M;blink;2017-01-19-15-20-56;1,0;3,0;1,5;Percept;-1;9,52300000191;-0,253499984741;1,0
UKS1989M;blink;2017-01-19-15-20-56;1,0;4,0;0,0;Trajectory limit;-1;12,0239999294;1,00150001049;-1,0
UKS1989M;blink;2017-01-19-15-20-56;1,0;4,0;0,0;Reverse rotation;;12,0309998989;1,00150001049;-1,0
UKS1989M;blink;2017-01-19-15-20-56;1,0;4,0;0,0;Percept;1;12,1730000973;0,930999994278;-1,0
