Time;Block;Trial;Event;Value
24;1;1;trial start;1
648;1;1;percept;Up
4040;1;2;trial start;2
4548;1;2;percept;Down
4756;1;2;sound;1500
5442;1;2;blink;1628
7539;1;2;percept;Down
8048;1;3;trial start;3
8757;1;3;sound;1500
9373;1;3;percept;Up
9556;1;3;percept;Up
9270;1;3;blink;2026
12049;1;4;trial start;4
12206;1;4;percept;Down
12881;1;4;percept;Up
16057;1;5;trial start;5
16356;1;5;percept;Down
16765;1;5;sound;1500
16956;1;5;percept;Up
17714;1;5;blink;1351
19590;1;5;percept;Down
20058;1;6;trial start;6
21274;1;6;sound;1000
22307;1;6;percept;Down
22432;1;6;percept;Down
24066;1;7;trial start;7
22372;1;7;blink;2104
25007;1;7;percept;Up
28067;1;8;trial start;8
29132;1;8;percept;Down
29283;1;8;sound;1000
30100;1;8;blink;926
31416;1;8;percept;Up
32075;1;9;trial start;9
33283;1;9;sound;1000
33942;1;9;blink;876
35166;1;9;percept;Down
36075;1;10;trial start;10
37216;1;10;percept;Down
37171;1;10;blink;1451
39683;1;10;percept;Up
40084;1;11;trial start;11
41292;1;11;sound;1000
42425;1;11;percept;Down
42302;1;11;blink;529
44084;1;12;trial start;12
44801;1;12;sound;1500
42890;1;12;blink;2010
45567;1;12;percept;Up
46049;1;12;blink;1076
47809;1;12;percept;Up
48093;1;13;trial start;13
52093;1;14;trial start;14
52668;1;14;percept;Down
53310;1;14;sound;1000
53990;1;14;blink;927
55343;1;14;percept;Up
56102;1;15;trial start;15
57310;1;15;sound;1000
57982;1;15;blink;1226
59543;1;15;percept;Down
60102;1;16;trial start;16
60177;1;16;percept;Up
60851;1;16;percept;Down
64111;1;17;trial start;17
65294;1;17;percept;Up
65319;1;17;sound;1000
66230;1;17;blink;731
67335;1;17;percept;Down
68111;1;18;trial start;18
68828;1;18;sound;1500
69661;1;18;percept;Down
69653;1;18;blink;1478
71619;1;18;percept;Up
72120;1;19;trial start;19
76120;1;20;trial start;20
76837;1;20;sound;1500
76848;1;20;percept;Down
77664;1;20;blink;854
79511;1;20;percept;Up
80121;1;21;trial start;21
80829;1;21;sound;1500
81562;1;21;percept;Up
81503;1;21;blink;1501
84121;1;22;trial start;22
84487;1;22;percept;Up
85170;1;22;percept;Down
88130;1;23;trial start;23
88838;1;23;sound;1500
89404;1;23;percept;Up
90155;1;23;blink;951
91596;1;23;percept;Down
92130;1;24;trial start;24
93347;1;24;sound;1000
94163;1;24;blink;1026
95630;1;24;percept;Up
96046;1;25;trial start;25
21;2;1;trial start;1
722;2;1;percept;Down
1072;2;1;percept;Up
4031;2;2;trial start;2
4496;2;2;percept;Down
4747;2;2;sound;1500
5569;2;2;blink;1176
7122;2;2;percept;Up
8039;2;3;trial start;3
8747;2;3;sound;1500
10097;2;3;percept;Up
9813;2;3;blink;1251
11272;2;3;percept;Up
12039;2;4;trial start;4
12630;2;4;percept;Down
16048;2;5;trial start;5
16456;2;5;percept;Up
16756;2;5;sound;1500
17305;2;5;blink;1476
19164;2;5;percept;Up
19282;2;5;percept;Down
20049;2;6;trial start;6
21265;2;6;sound;1000
21932;2;6;blink;876
23173;2;6;percept;Up
24057;2;7;trial start;7
28057;2;8;trial start;8
28548;2;8;percept;Down
29275;2;8;sound;1000
29891;2;8;blink;928
31090;2;8;percept;Down
32067;2;9;trial start;9
32933;2;9;percept;Up
33274;2;9;sound;1000
33928;2;9;blink;926
34899;2;9;percept;Down
35049;2;9;percept;Down
36067;2;10;trial start;10
36816;2;10;percept;Up
40076;2;11;trial start;11
40442;2;11;percept;Down
41284;2;11;sound;1000
41893;2;11;blink;978
43283;2;11;percept;Down
44076;2;12;trial start;12
44792;2;12;sound;1500
45250;2;12;percept;Down
46070;2;12;blink;877
47167;2;12;percept;Down
48085;2;13;trial start;13
48675;2;13;percept;Up
48930;2;13;blink;198
52085;2;14;trial start;14
52718;2;14;percept;Down
53302;2;14;sound;1000
54108;2;14;blink;804
55359;2;14;percept;Down
56094;2;15;trial start;15
56868;2;15;percept;Up
57302;2;15;sound;1000
57905;2;15;blink;951
59451;2;15;percept;Down
60094;2;16;trial start;16
60643;2;16;percept;Up
64103;2;17;trial start;17
65311;2;17;sound;1000
65765;2;17;blink;1001
67219;2;17;percept;Down
68103;2;18;trial start;18
68819;2;18;sound;1500
70202;2;18;percept;Down
69616;2;18;blink;1430
71477;2;18;percept;Down
72111;2;19;trial start;19
72677;2;19;percept;Up
76112;2;20;trial start;20
76769;2;20;percept;Down
76828;2;20;sound;1500
77548;2;20;blink;1151
79094;2;20;percept;Up
80120;2;21;trial start;21
80828;2;21;sound;1500
81970;2;21;percept;Up
81509;2;21;blink;1401
83920;2;21;percept;Down
84121;2;22;trial start;22
84870;2;22;percept;Up
86387;2;22;percept;Down
88130;2;23;trial start;23
88738;2;23;percept;Up
88838;2;23;sound;1500
89663;2;23;blink;1201
91362;2;23;percept;Down
91829;2;23;percept;Up
92130;2;24;trial start;24
93112;2;24;percept;Up
93346;2;24;sound;1000
94081;2;24;blink;876
95479;2;24;percept;Down
96037;2;25;trial start;25
21;3;1;trial start;1
730;3;1;percept;Down
4031;3;2;trial start;2
4630;3;2;percept;Up
4748;3;2;sound;1500
5493;3;2;blink;1351
7397;3;2;percept;Up
7555;3;2;percept;Down
8040;3;3;trial start;3
8739;3;3;percept;Up
8748;3;3;sound;1500
9406;3;3;blink;1301
11148;3;3;percept;Down
12035;3;4;trial start;4
13223;3;4;percept;Up
16040;3;5;trial start;5
16740;3;5;percept;Down
16748;3;5;sound;1500
17519;3;5;blink;1151
19156;3;5;percept;Down
20041;3;6;trial start;6
20732;3;6;percept;Up
21257;3;6;sound;1000
22120;3;6;blink;751
23273;3;6;percept;Down
24050;3;7;trial start;7
24941;3;7;percept;Up
26615;3;7;percept;Down
