Observer;Condition;SessionID;Block;Trial;Blink;Event;Value;Time;RelativeLocation;Direction
AZM1990W;sound;2017-01-23-12-46-28;1,0;1,0;0,0;Block start;;1485172199,18;-1,0;1,0
AZM1990W;sound;2017-01-23-12-46-28;1,0;1,0;0,0;Percept;1;3,08600020409;0,534999966621;1,0
AZM1990W;sound;2017-01-23-12-46-28;1,0;1,0;0,0;Percept;1;3,20200014114;0,593499898911;1,0
AZM1990W;sound;2017-01-23-12-46-28;1,0;2,0;1,0;Trajectory limit;-1;4,0110001564;1,00199997425;-1,0
AZM1990W;sound;2017-01-23-12-46-28;1,0;2,0;1,0;Reverse rotation;;4,01900005341;1,00199997425;-1,0
AZM1990W;sound;2017-01-23-12-46-28;1,0;2,0;1,0;Sound;1.0;5,21900010109;0,398000001907;-1,0
AZM1990W;sound;2017-01-23-12-46-28;1,0;2,0;1,0;Percept;1;6,30300021172;-0,139500021935;-1,0
AZM1990W;sound;2017-01-23-12-46-28;1,0;3,0;1,5;Trajectory limit;1;8,01900005341;-0,998000025749;1,0
AZM1990W;sound;2017-01-23-12-46-28;1,0;3,0;1,5;Reverse rotation;;8,02700018883;-0,998000025749;1,0
AZM1990W;sound;2017-01-23-12-46-28;1,0;3,0;1,5;Sound;1.5;8,71900010109;-0,648000001907;1,0
AZM1990W;sound;2017-01-23-12-46-28;1,0;3,0;1,5;Percept;-1;9,55300021172;-0,235499978065;1,0
AZM1990W;sound;2017-01-23-12-46-28;1,0;4,0;0,0;Trajectory limit;-1;12,0190000534;1,00199997425;-1,0
AZM1990W;sound;2017-01-23-12-46-28;1,0;4,0;0,0;Reverse rotation;;12,0270001888;1,00199997425;-1,0
AZM1990W;sound;2017-01-23-12-46-28;1,0;4,0;0,0;Percept;1;13,1440000534;0,444000005722;-1,0
AZM1990W;sound;2017-01-23-12-46-28;1,0;5,0;1,5;Trajectory limit;1;16,0270001888;-0,99799990654;1,0
AZM1990W;sound;2017-01-23-12-46-28;1,0;5,0;1,5;Reverse rotation;;16,0350000858;-0,99799990654;1,0
AZM1990W;sound;2017-01-23-12-46-28;1,0;5,0;1,5;Sound;1.5;16,7269999981;-0,648000001907;1,0
AZM1990W;sound;2017-01-23-12-46-28;1,0;5,0;1,5;Percept;-1;17,2180001736;-0,40649998188;1,0
AZM1990W;sound;2017-01-23-12-46-28;1,0;6,0;1,5;Trajectory limit;-1;20,0280001163;1,00250005722;-1,0
AZM1990W;sound;2017-01-23-12-46-28;1,0;6,0;1,5;Reverse rotation;;20,0350000858;1,00250005722;-1,0
AZM1990W;sound;2017-01-23-12-46-28;1,0;6,0;1,5;Sound;1.5;20,736000061;0,648500084877;-1,0
AZM1990W;sound;2017-01-23-12-46-28;1,0;6,0;1,5;Percept;1;20,7950000763;0,623000025749;-1,0
AZM1990W;sound;2017-01-23-12-46-28;1,0;7,0;0,0;Trajectory limit;1;24,0360000134;-0,998500108719;1,0
AZM1990W;sound;2017-01-23-12-46-28;1,0;7,0;0,0;Reverse rotation;;24,0440001488;-0,998500108719;1,0
AZM1990W;sound;2017-01-23-12-46-28;1,0;7,0;0,0;Percept;-1;26,0360000134;-0,00250005722046;1,0
AZM1990W;sound;2017-01-23-12-46-28;1,0;8,0;1,5;Trajectory limit;-1;28,0360000134;1,00149989128;-1,0
AZM1990W;sound;2017-01-23-12-46-28;1,0;8,0;1,5;Reverse rotation;;28,0440001488;1,00149989128;-1,0
AZM1990W;sound;2017-01-23-12-46-28;1,0;8,0;1,5;Percept;1;28,6860001087;0,680499792099;-1,0
AZM1990W;sound;2017-01-23-12-46-28;1,0;8,0;1,5;Sound;1.5;28,7440001965;0,647499799728;-1,0
AZM1990W;sound;2017-01-23-12-46-28;1,0;9,0;1,0;Trajectory limit;1;32,0440001488;-0,99749982357;1,0
AZM1990W;sound;2017-01-23-12-46-28;1,0;9,0;1,0;Reverse rotation;;32,0520000458;-0,99749982357;1,0
AZM1990W;sound;2017-01-23-12-46-28;1,0;9,0;1,0;Percept;-1;32,7190001011;-0,663999795914;1,0
AZM1990W;sound;2017-01-23-12-46-28;1,0;9,0;1,0;Sound;1.0;33,2440001965;-0,397499799728;1,0
AZM1990W;sound;2017-01-23-12-46-28;1,0;10,0;0,0;Trajectory limit;-1;36,0450000763;1,00300014019;-1,0
AZM1990W;sound;2017-01-23-12-46-28;1,0;10,0;0,0;Reverse rotation;;36,0530002117;1,00300014019;-1,0
AZM1990W;sound;2017-01-23-12-46-28;1,0;10,0;0,0;Percept;1;36,5199999809;0,769500136375;-1,0
AZM1990W;sound;2017-01-23-12-46-28;1,0;11,0;1,5;Trajectory limit;1;40,0540001392;-0,999000072479;1,0
AZM1990W;sound;2017-01-23-12-46-28;1,0;11,0;1,5;Reverse rotation;;40,0610001087;-0,999000072479;1,0
AZM1990W;sound;2017-01-23-12-46-28;1,0;11,0;1,5;Sound;1.5;40,7540001869;-0,648500084877;1,0
