Time;Block;Trial;Event;Value
21;1;1;trial start;1
3114;1;1;percept;Down
3231;1;1;percept;Down
3885;1;1;blink;52
4032;1;2;trial start;2
5248;1;2;sound;1000
6332;1;2;percept;Down
7162;1;2;blink;102
8041;1;3;trial start;3
8749;1;3;sound;1500
9582;1;3;percept;Up
11718;1;3;blink;51
12041;1;4;trial start;4
13174;1;4;percept;Down
16050;1;5;trial start;5
16758;1;5;sound;1500
17249;1;5;percept;Up
20050;1;6;trial start;6
20767;1;6;sound;1500
20825;1;6;percept;Down
24059;1;7;trial start;7
24289;1;7;blink;95
26066;1;7;percept;Up
28059;1;8;trial start;8
28717;1;8;percept;Down
28776;1;8;sound;1500
30141;1;8;blink;85
32068;1;9;trial start;9
32751;1;9;percept;Up
33276;1;9;sound;1000
34351;1;9;blink;61
36068;1;10;trial start;10
36551;1;10;percept;Down
36878;1;10;blink;83
40077;1;11;trial start;11
40785;1;11;sound;1500
41251;1;11;percept;Up
41912;1;11;blink;81
44077;1;12;trial start;12
44901;1;12;percept;Down
45294;1;12;sound;1000
45652;1;12;blink;126
48085;1;13;trial start;13
48593;1;13;percept;Up
48886;1;13;blink;107
52086;1;14;trial start;14
52711;1;14;percept;Down
52802;1;14;sound;1500
56095;1;15;trial start;15
56902;1;15;percept;Up
57303;1;15;sound;1000
58185;1;15;blink;120
60095;1;16;trial start;16
60637;1;16;percept;Down
61362;1;16;blink;131
64104;1;17;trial start;17
65312;1;17;sound;1000
65761;1;17;percept;Up
66014;1;17;blink;140
66702;1;17;blink;289
68104;1;18;trial start;18
68945;1;18;percept;Down
69322;1;18;sound;1000
69891;1;18;blink;136
71843;1;18;blink;86
72112;1;19;trial start;19
73471;1;19;percept;Up
73674;1;19;blink;65
76113;1;20;trial start;20
76829;1;20;percept;Down
77330;1;20;sound;1000
77359;1;20;blink;80
80122;1;21;trial start;21
80830;1;21;sound;1500
81529;1;21;percept;Up
81990;1;21;blink;91
82540;1;21;blink;33
84122;1;22;trial start;22
85130;1;22;percept;Down
86576;1;22;blink;133
88131;1;23;trial start;23
88839;1;23;sound;1500
89355;1;23;percept;Up
92131;1;24;trial start;24
92630;1;24;percept;Down
93347;1;24;sound;1000
95685;1;24;blink;128
96038;1;25;trial start;25
21;2;1;trial start;1
2220;2;1;percept;Up
3159;2;1;blink;31
4038;2;2;trial start;2
4812;2;2;percept;Down
5255;2;2;sound;1000
5223;2;2;blink;79
8047;2;3;trial start;3
8755;2;3;sound;1500
8813;2;3;percept;Up
10127;2;3;blink;58
12047;2;4;trial start;4
12463;2;4;percept;Down
13784;2;4;blink;43
16056;2;5;trial start;5
16597;2;5;percept;Up
16764;2;5;sound;1500
18296;2;5;blink;123
20057;2;6;trial start;6
20781;2;6;sound;1500
21197;2;6;percept;Down
22095;2;6;blink;136
24073;2;7;trial start;7
24864;2;7;percept;Up
25133;2;7;blink;127
26425;2;7;blink;116
27726;2;7;blink;92
28074;2;8;trial start;8
28798;2;8;sound;1500
29415;2;8;percept;Down
30145;2;8;blink;118
32091;2;9;trial start;9
32874;2;9;percept;Up
33131;2;9;blink;91
33299;2;9;sound;1000
34453;2;9;blink;96
36091;2;10;trial start;10
36549;2;10;percept;Down
40100;2;11;trial start;11
40640;2;11;percept;Up
40808;2;11;sound;1500
43219;2;11;blink;61
44100;2;12;trial start;12
44833;2;12;percept;Down
45317;2;12;sound;1000
45398;2;12;blink;100
47758;2;12;blink;83
48109;2;13;trial start;13
48783;2;13;percept;Up
50069;2;13;blink;112
50881;2;13;blink;161
