Observer;Condition;SessionID;Block;Trial;Blink;Event;Value;Time;RelativeLocation;Direction
EBK1991m;sound;2017-01-23-12-03-20;1,0;1,0;0,0;Block start;;1485169469,05;-1,0;1,0
EBK1991m;sound;2017-01-23-12-03-20;1,0;1,0;0,0;Percept;1;3,74099993706;0,861499905586;1,0
EBK1991m;sound;2017-01-23-12-03-20;1,0;2,0;1,5;Trajectory limit;-1;4,01599979401;1,00299990177;-1,0
EBK1991m;sound;2017-01-23-12-03-20;1,0;2,0;1,5;Reverse rotation;;4,02399992943;1,00299990177;-1,0
EBK1991m;sound;2017-01-23-12-03-20;1,0;2,0;1,5;Sound;1.5;4,72499990463;0,648499846458;-1,0
EBK1991m;sound;2017-01-23-12-03-20;1,0;3,0;1,5;Trajectory limit;1;8,02499985695;-0,998999834061;1,0
EBK1991m;sound;2017-01-23-12-03-20;1,0;3,0;1,5;Reverse rotation;;8,03199982643;-0,998999834061;1,0
EBK1991m;sound;2017-01-23-12-03-20;1,0;3,0;1,5;Sound;1.5;8,72499990463;-0,648499846458;1,0
EBK1991m;sound;2017-01-23-12-03-20;1,0;4,0;0,0;Trajectory limit;-1;12,0249998569;1,00100016594;-1,0
EBK1991m;sound;2017-01-23-12-03-20;1,0;4,0;0,0;Reverse rotation;;12,0319998264;1,00100016594;-1,0
EBK1991m;sound;2017-01-23-12-03-20;1,0;5,0;1,5;Trajectory limit;1;16,0319998264;-0,997000217438;1,0
EBK1991m;sound;2017-01-23-12-03-20;1,0;5,0;1,5;Reverse rotation;;16,0399999619;-0,997000217438;1,0
EBK1991m;sound;2017-01-23-12-03-20;1,0;5,0;1,5;Sound;1.5;16,7329998016;-0,646500229836;1,0
EBK1991m;sound;2017-01-23-12-03-20;1,0;5,0;1,5;Percept;-1;16,9239997864;-0,555000185966;1,0
EBK1991m;sound;2017-01-23-12-03-20;1,0;6,0;1,5;Trajectory limit;-1;20,0339999199;1,00399982929;-1,0
EBK1991m;sound;2017-01-23-12-03-20;1,0;6,0;1,5;Reverse rotation;;20,0419998169;1,00399982929;-1,0
EBK1991m;sound;2017-01-23-12-03-20;1,0;6,0;1,5;Sound;1.5;20,7419998646;0,649999856949;-1,0
