Time;Block;Trial;Event;Value
22;1;1;trial start;1
3771;1;1;percept;Down
4039;1;2;trial start;2
4756;1;2;sound;1500
8047;1;3;trial start;3
8755;1;3;sound;1500
12048;1;4;trial start;4
16056;1;5;trial start;5
16765;1;5;sound;1500
16956;1;5;percept;Up
20057;1;6;trial start;6
20773;1;6;sound;1500
21623;1;6;percept;Down
24065;1;7;trial start;7
24998;1;7;percept;Up
28074;1;8;trial start;8
28799;1;8;sound;1500
28823;1;8;percept;Down
32091;1;9;trial start;9
32549;1;9;percept;Up
33300;1;9;sound;1000
36083;1;10;trial start;10
36790;1;10;percept;Down
40092;1;11;trial start;11
40592;1;11;percept;Up
41300;1;11;sound;1000
44092;1;12;trial start;12
45175;1;12;percept;Down
45309;1;12;sound;1000
45784;1;12;blink;148
48100;1;13;trial start;13
48658;1;13;percept;Up
50094;1;13;blink;48
52101;1;14;trial start;14
52725;1;14;percept;Down
53310;1;14;sound;1000
56110;1;15;trial start;15
56818;1;15;sound;1500
56943;1;15;percept;Up
58858;1;15;blink;95
60102;1;16;trial start;16
60751;1;16;percept;Down
64110;1;17;trial start;17
64601;1;17;percept;Up
65319;1;17;sound;1000
68111;1;18;trial start;18
68710;1;18;percept;Down
68827;1;18;sound;1500
72120;1;19;trial start;19
72802;1;19;percept;Up
76120;1;20;trial start;20
76994;1;20;percept;Down
77337;1;20;sound;1000
77482;1;20;blink;190
80128;1;21;trial start;21
80837;1;21;sound;1500
80961;1;21;percept;Up
84129;1;22;trial start;22
84728;1;22;percept;Down
88137;1;23;trial start;23
88854;1;23;percept;Up
89346;1;23;sound;1000
91018;1;23;blink;80
92138;1;24;trial start;24
93212;1;24;percept;Down
93354;1;24;sound;1000
96036;1;25;trial start;25
21;2;1;trial start;1
1123;2;1;percept;Up
4032;2;2;trial start;2
4748;2;2;sound;1500
4790;2;2;percept;Down
8041;2;3;trial start;3
8540;2;3;percept;Up
8749;2;3;sound;1500
12041;2;4;trial start;4
12857;2;4;percept;Down
16050;2;5;trial start;5
16758;2;5;sound;1500
16782;2;5;percept;Up
20050;2;6;trial start;6
20524;2;6;percept;Down
20767;2;6;sound;1500
24059;2;7;trial start;7
24533;2;7;percept;Up
28059;2;8;trial start;8
28566;2;8;percept;Down
28776;2;8;sound;1500
32068;2;9;trial start;9
33276;2;9;sound;1000
33342;2;9;percept;Up
36068;2;10;trial start;10
36642;2;10;percept;Down
40077;2;11;trial start;11
40793;2;11;percept;Up
41285;2;11;sound;1000
44077;2;12;trial start;12
45031;2;12;blink;139
45294;2;12;sound;1000
45751;2;12;percept;Down
48086;2;13;trial start;13
48960;2;13;percept;Up
52086;2;14;trial start;14
52485;2;14;percept;Down
53303;2;14;sound;1000
56095;2;15;trial start;15
56569;2;15;percept;Up
56803;2;15;sound;1500
60095;2;16;trial start;16
60636;2;16;percept;Down
64103;2;17;trial start;17
64603;2;17;percept;Up
65312;2;17;sound;1000
68104;2;18;trial start;18
68820;2;18;sound;1500
68837;2;18;percept;Down
72112;2;19;trial start;19
72587;2;19;percept;Up
76113;2;20;trial start;20
76695;2;20;percept;Down
77329;2;20;sound;1000
80122;2;21;trial start;21
80654;2;21;percept;Up
80830;2;21;sound;1500
84122;2;22;trial start;22
84630;2;22;percept;Down
88130;2;23;trial start;23
88613;2;23;percept;Up
89339;2;23;sound;1000
92131;2;24;trial start;24
92639;2;24;percept;Down
93348;2;24;sound;1000
96038;2;25;trial start;25
21;3;1;trial start;1
904;3;1;percept;Up
4038;3;2;trial start;2
4763;3;2;sound;1500
5096;3;2;percept;Down
8055;3;3;trial start;3
8638;3;3;percept;Up
8763;3;3;sound;1500
12055;3;4;trial start;4
12946;3;4;percept;Down
16064;3;5;trial start;5
16772;3;5;sound;1500
16847;3;5;percept;Up
20065;3;6;trial start;6
20780;3;6;percept;Down
20789;3;6;sound;1500
24073;3;7;trial start;7
24789;3;7;percept;Up
28073;3;8;trial start;8
28790;3;8;sound;1500
28831;3;8;percept;Down
32082;3;9;trial start;9
32607;3;9;percept;Up
33290;3;9;sound;1000
36082;3;10;trial start;10
36848;3;10;percept;Down
38883;3;10;blink;150
40083;3;11;trial start;11
40624;3;11;percept;Up
41291;3;11;sound;1000
42888;3;11;blink;172
44083;3;12;trial start;12
44757;3;12;percept;Down
45300;3;12;sound;1000
45746;3;12;blink;118
48092;3;13;trial start;13
48616;3;13;percept;Up
49639;3;13;blink;82
52092;3;14;trial start;14
52791;3;14;percept;Down
53309;3;14;sound;1000
56101;3;15;trial start;15
56617;3;15;percept;Up
56809;3;15;sound;1500
60101;3;16;trial start;16
60667;3;16;percept;Down
64110;3;17;trial start;17
65009;3;17;percept;Up
65318;3;17;sound;1000
68110;3;18;trial start;18
68827;3;18;sound;1500
68935;3;18;percept;Down
72119;3;19;trial start;19
72693;3;19;percept;Up
76119;3;20;trial start;20
76694;3;20;percept;Down
77336;3;20;sound;1000
80128;3;21;trial start;21
80836;3;21;sound;1500
80960;3;21;percept;Up
84128;3;22;trial start;22
84552;3;22;percept;Down
88137;3;23;trial start;23
88844;3;23;percept;Up
89345;3;23;sound;1000
92137;3;24;trial start;24
92512;3;24;percept;Down
93354;3;24;sound;1000
96036;3;25;trial start;25
21;4;1;trial start;1
831;4;1;percept;Up
4032;4;2;trial start;2
4748;4;2;sound;1500
4989;4;2;percept;Down
8040;4;3;trial start;3
8406;4;3;percept;Up
8749;4;3;sound;1500
12041;4;4;trial start;4
15454;4;4;blink;97
16049;4;5;trial start;5
16674;4;5;percept;Up
16758;4;5;sound;1500
20049;4;6;trial start;6
20582;4;6;percept;Down
20766;4;6;sound;1500
24058;4;7;trial start;7
24466;4;7;percept;Up
25377;4;7;blink;136
28059;4;8;trial start;8
28550;4;8;percept;Down
28775;4;8;sound;1500
32067;4;9;trial start;9
32642;4;9;percept;Up
33276;4;9;sound;1000
36068;4;10;trial start;10
36600;4;10;percept;Down
40076;4;11;trial start;11
40551;4;11;percept;Up
