Observer;Condition;SessionID;Block;Trial;Blink;Event;Value;Time;RelativeLocation;Direction
EMN1994M;sound;2017-01-25-14-45-46;1,0;1,0;0,0;Block start;;1485352222,28;-1,0;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;1,0;0,0;Percept;-1;1,29999995232;-0,358999967575;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;2,0;1,5;Trajectory limit;-1;4,01699995995;1,00349998474;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;2,0;1,5;Reverse rotation;;4,02500009537;1,00349998474;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;2,0;1,5;Percept;1;4,59200000763;0,719999909401;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;2,0;1,5;Sound;1.5;4,72600007057;0,648999929428;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;3,0;1,5;Trajectory limit;1;8,02600002289;-0,99899995327;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;3,0;1,5;Reverse rotation;;8,03399991989;-0,99899995327;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;3,0;1,5;Percept;-1;8,625;-0,703499913216;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;3,0;1,5;Sound;1.5;8,72600007057;-0,648999929428;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;4,0;0,0;Trajectory limit;-1;12,0260000229;1,00100004673;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;4,0;0,0;Reverse rotation;;12,0339999199;1,00100004673;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;4,0;0,0;Percept;1;12,4509999752;0,793000102043;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;5,0;1,5;Trajectory limit;1;16,0339999199;-0,997000098228;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;5,0;1,5;Reverse rotation;;16,0420000553;-0,997000098228;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;5,0;1,5;Percept;-1;16,7000000477;-0,668000102043;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;5,0;1,5;Sound;1.5;16,7330000401;-0,647500038147;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;6,0;1,5;Trajectory limit;-1;20,0350000858;1,00349998474;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;6,0;1,5;Reverse rotation;;20,0429999828;1,00349998474;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;6,0;1,5;Percept;1;20,4179999828;0,815999984741;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;6,0;1,5;Sound;1.5;20,7430000305;0,649500012398;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;7,0;0,0;Trajectory limit;1;24,0429999828;-0,99950003624;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;7,0;0,0;Reverse rotation;;24,0510001183;-0,99950003624;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;7,0;0,0;Percept;-1;24,4010000229;-0,824499964714;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;8,0;1,5;Trajectory limit;-1;28,0429999828;1,00049996376;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;8,0;1,5;Reverse rotation;;28,0510001183;1,00049996376;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;8,0;1,5;Percept;1;28,3680000305;0,84249997139;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;8,0;1,5;Sound;1.5;28,7509999275;0,646499991417;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;9,0;1,5;Trajectory limit;1;32,0510001183;-0,996499896049;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;9,0;1,5;Reverse rotation;;32,0590000153;-0,996499896049;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;9,0;1,5;Percept;-1;32,3340001106;-0,858999967575;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;9,0;1,5;Sound;1.5;32,7509999275;-0,646499991417;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;10,0;0,0;Trajectory limit;-1;36,0510001183;1,00350010395;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;10,0;0,0;Reverse rotation;;36,0590000153;1,00350010395;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;10,0;0,0;Percept;1;36,3259999752;0,870500206947;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;11,0;1,5;Trajectory limit;1;40,0599999428;-0,999000191689;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;11,0;1,5;Reverse rotation;;40,0680000782;-0,999000191689;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;11,0;1,5;Percept;-1;40,3510000706;-0,857500195503;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;11,0;1,5;Sound;1.5;40,7599999905;-0,649000167847;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;12,0;1,0;Trajectory limit;-1;44,0599999428;1,00099980831;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;12,0;1,0;Reverse rotation;;44,0680000782;1,00099980831;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;12,0;1,0;Percept;1;44,4100000858;0,829999804497;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;12,0;1,0;Sound;1.0;45,2680001259;0,396999716759;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;13,0;0,0;Trajectory limit;1;48,0680000782;-0,996999740601;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;13,0;0,0;Reverse rotation;;48,0770001411;-0,996999740601;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;13,0;0,0;Percept;-1;48,3420000076;-0,863999724388;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;14,0;1,0;Trajectory limit;-1;52,0680000782;1,0030002594;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;14,0;1,0;Reverse rotation;;52,0759999752;1,0030002594;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;14,0;1,0;Percept;1;52,4170000553;0,832500338554;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;14,0;1,0;Sound;1.0;53,2760000229;0,399000287056;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;15,0;1,0;Trajectory limit;1;56,0770001411;-0,998500227928;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;15,0;1,0;Reverse rotation;;56,0850000381;-0,998500227928;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;15,0;1,0;Percept;-1;56,3680000305;-0,857000231743;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;15,0;1,0;Sound;1.0;57,2769999504;-0,398500323296;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;16,0;0,0;Trajectory limit;-1;60,0770001411;1,00149977207;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;16,0;0,0;Reverse rotation;;60,0850000381;1,00149977207;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;16,0;0,0;Percept;1;60,5180001259;0,784999847412;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;17,0;1,0;Trajectory limit;1;64,0850000381;-0,99749982357;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;17,0;1,0;Reverse rotation;;64,0929999352;-0,99749982357;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;17,0;1,0;Percept;-1;64,3600001335;-0,863999843597;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;17,0;1,0;Sound;1.0;65,2850000858;-0,397499799728;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;18,0;1,0;Trajectory limit;-1;68,0850000381;1,00250017643;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;18,0;1,0;Reverse rotation;;68,0929999352;1,00250017643;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;18,0;1,0;Percept;1;68,3770000935;0,861000180244;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;18,0;1,0;Sound;1.0;69,2929999828;0,398500204086;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;19,0;0,0;Trajectory limit;1;72,0929999352;-0,998500227928;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;19,0;0,0;Reverse rotation;;72,1010000706;-0,998500227928;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;19,0;0,0;Percept;-1;72,3930001259;-0,852500200272;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;20,0;1,0;Trajectory limit;-1;76,0940001011;1,00199985504;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;20,0;1,0;Reverse rotation;;76,1019999981;1,00199985504;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;20,0;1,0;Percept;1;76,4019999504;0,851999878883;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;20,0;1,0;Sound;1.0;77,3020000458;0,397999882698;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;21,0;1,0;Trajectory limit;1;80,1019999981;-0,99799990654;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;21,0;1,0;Reverse rotation;;80,1100001335;-0,99799990654;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;21,0;1,0;Percept;-1;80,4189999104;-0,843499898911;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;21,0;1,0;Sound;1.0;81,3020000458;-0,397999882698;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;22,0;0,0;Trajectory limit;-1;84,1019999981;1,00200009346;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;22,0;0,0;Reverse rotation;;84,1100001335;1,00200009346;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;22,0;0,0;Percept;1;84,4509999752;0,831500053406;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;23,0;1,5;Trajectory limit;1;88,1100001335;-0,998000025749;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;23,0;1,5;Reverse rotation;;88,1180000305;-0,998000025749;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;23,0;1,5;Percept;-1;88,4509999752;-0,831500053406;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;23,0;1,5;Sound;1.5;88,8099999428;-0,648000121117;1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;24,0;1,0;Trajectory limit;-1;92,111000061;1,00249993801;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;24,0;1,0;Reverse rotation;;92,118999958;1,00249993801;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;24,0;1,0;Percept;1;92,4609999657;0,831999897957;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;24,0;1,0;Sound;1.0;93,3199999332;0,398499965668;-1,0
EMN1994M;sound;2017-01-25-14-45-46;1,0;24,0;1,0;Block end;;96,0020000935;-0,93900001049;-1,0
EMN1994M;sound;2017-01-25-14-45-46;2,0;1,0;0,0;Block start;;1485352359,32;-1,0;1,0
EMN1994M;sound;2017-01-25-14-45-46;2,0;1,0;0,0;Percept;-1;0,816999912262;-0,599999904633;1,0
