Time;Block;Trial;Event;Value
22;1;1;trial start;1
1330;1;1;percept;Up
4039;1;2;trial start;2
4623;1;2;percept;Down
4756;1;2;sound;1500
8048;1;3;trial start;3
8656;1;3;percept;Up
8756;1;3;sound;1500
12049;1;4;trial start;4
12481;1;4;percept;Down
16057;1;5;trial start;5
16731;1;5;percept;Up
16765;1;5;sound;1500
20057;1;6;trial start;6
20449;1;6;percept;Down
20774;1;6;sound;1500
24066;1;7;trial start;7
24432;1;7;percept;Up
28066;1;8;trial start;8
28399;1;8;percept;Down
28783;1;8;sound;1500
32075;1;9;trial start;9
32366;1;9;percept;Up
32784;1;9;sound;1500
36075;1;10;trial start;10
36358;1;10;percept;Down
40084;1;11;trial start;11
40384;1;11;percept;Up
40793;1;11;sound;1500
41907;1;11;blink;29
44084;1;12;trial start;12
44442;1;12;percept;Down
45301;1;12;sound;1000
48093;1;13;trial start;13
48375;1;13;percept;Up
52094;1;14;trial start;14
52451;1;14;percept;Down
53310;1;14;sound;1000
56102;1;15;trial start;15
56401;1;15;percept;Up
57311;1;15;sound;1000
60102;1;16;trial start;16
60552;1;16;percept;Down
62679;1;16;blink;59
64111;1;17;trial start;17
64394;1;17;percept;Up
65320;1;17;sound;1000
68112;1;18;trial start;18
68411;1;18;percept;Down
69328;1;18;sound;1000
72120;1;19;trial start;19
72428;1;19;percept;Up
76120;1;20;trial start;20
76437;1;20;percept;Down
77337;1;20;sound;1000
80129;1;21;trial start;21
80453;1;21;percept;Up
81338;1;21;sound;1000
84129;1;22;trial start;22
84487;1;22;percept;Down
88138;1;23;trial start;23
88487;1;23;percept;Up
88846;1;23;sound;1500
92138;1;24;trial start;24
92496;1;24;percept;Down
93356;1;24;sound;1000
96037;1;25;trial start;25
22;2;1;trial start;1
848;2;1;percept;Up
4040;2;2;trial start;2
4506;2;2;percept;Down
4766;2;2;sound;1500
8054;2;3;trial start;3
8361;2;3;percept;Up
8763;2;3;sound;1500
12054;2;4;trial start;4
12454;2;4;percept;Down
16063;2;5;trial start;5
16321;2;5;percept;Up
16771;2;5;sound;1500
20063;2;6;trial start;6
20429;2;6;percept;Down
20780;2;6;sound;1500
24072;2;7;trial start;7
24355;2;7;percept;Up
27419;2;7;blink;46
28072;2;8;trial start;8
28396;2;8;percept;Down
28789;2;8;sound;1500
32081;2;9;trial start;9
32330;2;9;percept;Up
32789;2;9;sound;1500
36081;2;10;trial start;10
36381;2;10;percept;Down
37970;2;10;blink;52
40090;2;11;trial start;11
40381;2;11;percept;Up
40798;2;11;sound;1500
44090;2;12;trial start;12
44448;2;12;percept;Down
45307;2;12;sound;1000
48099;2;13;trial start;13
48415;2;13;percept;Up
52099;2;14;trial start;14
52415;2;14;percept;Down
53316;2;14;sound;1000
56108;2;15;trial start;15
56424;2;15;percept;Up
57317;2;15;sound;1000
58845;2;15;blink;42
60108;2;16;trial start;16
60449;2;16;percept;Down
64125;2;17;trial start;17
64400;2;17;percept;Up
