Observer;Condition;SessionID;Block;Trial;Blink;Event;Value;Time;RelativeLocation;Direction
KKF1994w;sound;2017-01-25-11-18-05;1,0;1,0;0,0;Block start;;1485339749,47;-1,0;1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;1,0;0,0;Percept;-1;1,55900001526;-0,230000019073;1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;1,0;0,0;Percept;1;2,27500009537;0,128499984741;1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;1,0;0,0;Percept;-1;3,33300018311;0,65750002861;1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;2,0;1,0;Trajectory limit;-1;4,01699995995;1,00349998474;-1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;2,0;1,0;Reverse rotation;;4,02600002289;1,00349998474;-1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;2,0;1,0;Percept;1;4,23300004005;0,899499893188;-1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;2,0;1,0;Sound;1.0;5,22600007057;0,398999929428;-1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;2,0;1,0;Percept;1;5,55900001526;0,236499905586;-1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;3,0;1,5;Trajectory limit;1;8,02600002289;-0,99899995327;1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;3,0;1,5;Reverse rotation;;8,03500008583;-0,99899995327;1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;3,0;1,5;Percept;-1;8,66799998283;-0,682499885559;1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;3,0;1,5;Sound;1.5;8,72600007057;-0,648999929428;1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;4,0;0,0;Trajectory limit;-1;12,0260000229;1,00100004673;-1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;4,0;0,0;Reverse rotation;;12,0340001583;1,00100004673;-1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;4,0;0,0;Percept;1;12,8500001431;0,593000054359;-1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;5,0;1,5;Trajectory limit;1;16,0340001583;-0,996999979019;1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;5,0;1,5;Reverse rotation;;16,0420000553;-0,996999979019;1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;5,0;1,5;Sound;1.5;16,7339999676;-0,647000074387;1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;5,0;1,5;Percept;-1;16,9839999676;-0,526000022888;1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;6,0;1,0;Trajectory limit;-1;20,0340001583;1,00300002098;-1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;6,0;1,0;Reverse rotation;;20,0420000553;1,00300002098;-1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;6,0;1,0;Percept;1;20,6010000706;0,724000096321;-1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;6,0;1,0;Sound;1.0;21,242000103;0,399000048637;-1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;7,0;0,0;Trajectory limit;1;24,0429999828;-0,998500108719;1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;7,0;0,0;Reverse rotation;;24,0510001183;-0,998500108719;1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;7,0;0,0;Percept;-1;24,7510001659;-0,648500084877;1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;8,0;1,0;Trajectory limit;-1;28,0429999828;1,00149989128;-1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;8,0;1,0;Reverse rotation;;28,0510001183;1,00149989128;-1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;8,0;1,0;Percept;1;28,3680000305;0,842999815941;-1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;8,0;1,0;Sound;1.0;29,2510001659;0,397499799728;-1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;9,0;1,0;Trajectory limit;1;32,0510001183;-0,99749982357;1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;9,0;1,0;Reverse rotation;;32,0590000153;-0,99749982357;1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;9,0;1,0;Percept;-1;32,5680000782;-0,742999792099;1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;9,0;1,0;Sound;1.0;33,2510001659;-0,397499799728;1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;10,0;0,0;Trajectory limit;-1;36,0510001183;1,00250017643;-1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;10,0;0,0;Reverse rotation;;36,0590000153;1,00250017643;-1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;10,0;0,0;Percept;1;37,0010001659;0,532000184059;-1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;11,0;1,0;Trajectory limit;1;40,0610001087;-0,997500181198;1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;11,0;1,0;Reverse rotation;;40,0690000057;-0,997500181198;1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;11,0;1,0;Percept;-1;40,3849999905;-0,839500188828;1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;11,0;1,0;Sound;1.0;41,2599999905;-0,398000240326;1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;12,0;1,5;Trajectory limit;-1;44,0600001812;1,00199985504;-1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;12,0;1,5;Reverse rotation;;44,0680000782;1,00199985504;-1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;12,0;1,5;Percept;1;44,5180001259;0,776999950409;-1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;12,0;1,5;Sound;1.5;44,7680001259;0,647999882698;-1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;13,0;0,0;Trajectory limit;1;48,0680000782;-0,99799990654;1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;13,0;0,0;Reverse rotation;;48,0759999752;-0,99799990654;1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;13,0;0,0;Percept;-1;48,9350001812;-0,568499922752;1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;14,0;1,0;Trajectory limit;-1;52,0680000782;1,00200009346;-1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;14,0;1,0;Reverse rotation;;52,0759999752;1,00200009346;-1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;14,0;1,0;Percept;1;52,3930001259;0,843500137329;-1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;14,0;1,0;Sound;1.0;53,2769999504;0,397500157356;-1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;15,0;1,5;Trajectory limit;1;56,0770001411;-0,998000144958;1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;15,0;1,5;Reverse rotation;;56,0850000381;-0,998000144958;1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;15,0;1,5;Sound;1.5;56,7760000229;-0,648000121117;1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;15,0;1,5;Percept;-1;56,8340001106;-0,622500061989;1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;16,0;0,0;Trajectory limit;-1;60,0770001411;1,00249993801;-1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;16,0;0,0;Reverse rotation;;60,0859999657;1,00249993801;-1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;16,0;0,0;Percept;1;60,4019999504;0,84399998188;-1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;17,0;1,0;Trajectory limit;1;64,0850000381;-0,99849998951;1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;17,0;1,0;Reverse rotation;;64,0930001736;-0,99849998951;1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;17,0;1,0;Percept;-1;64,5930001736;-0,74849998951;1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;17,0;1,0;Sound;1.0;65,2850000858;-0,398499965668;1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;18,0;1,5;Trajectory limit;-1;68,0850000381;1,00150001049;-1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;18,0;1,5;Reverse rotation;;68,0930001736;1,00150001049;-1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;18,0;1,5;Percept;1;68,3770000935;0,860000014305;-1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;18,0;1,5;Sound;1.5;68,7929999828;0,647500038147;-1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;19,0;0,0;Trajectory limit;1;72,0930001736;-0,99749994278;1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;19,0;0,0;Reverse rotation;;72,1019999981;-0,99749994278;1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;19,0;0,0;Percept;-1;72,6510000229;-0,722499966621;1,0
KKF1994w;sound;2017-01-25-11-18-05;1,0;20,0;1,5;Trajectory limit;-1;76,0940001011;1,00300002098;-1,0
