Observer;Condition;SessionID;Block;Trial;Blink;Event;Value;Time;RelativeLocation;Direction
PHM88W;sound;2017-01-20-09-10-49;1,0;1,0;0,0;Block start;;1484899907,62;-1,0;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;1,0;0,0;Percept;1;1,96000003815;-0,0295000076294;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;2,0;1,0;Trajectory limit;-1;4,01799988747;1,0039999485;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;2,0;1,0;Reverse rotation;;4,02600002289;1,0039999485;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;2,0;1,0;Sound;1.0;5,22599983215;0,399999976158;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;3,0;1,0;Trajectory limit;1;8,02600002289;-0,999999880791;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;3,0;1,0;Reverse rotation;;8,03399991989;-0,999999880791;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;3,0;1,0;Percept;-1;8,71799993515;-0,658499956131;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;3,0;1,0;Sound;1.0;9,22599983215;-0,399999976158;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;4,0;0,0;Trajectory limit;-1;12,0260000229;1,00000011921;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;4,0;0,0;Reverse rotation;;12,0339999199;1,00000011921;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;4,0;0,0;Percept;1;13,0839998722;0,475000143051;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;5,0;1,5;Trajectory limit;1;16,0269999504;-0,999500155449;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;5,0;1,5;Reverse rotation;;16,0339999199;-0,999500155449;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;5,0;1,5;Sound;1.5;16,7269999981;-0,649500131607;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;5,0;1,5;Percept;-1;17,3259999752;-0,354000210762;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;6,0;1,0;Trajectory limit;-1;20,0269999504;1,00049984455;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;6,0;1,0;Reverse rotation;;20,0339999199;1,00049984455;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;6,0;1,0;Percept;1;20,6849999428;0,675499796867;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;6,0;1,0;Sound;1.0;21,2349998951;0,396499872208;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;7,0;0,0;Trajectory limit;1;24,0349998474;-0,996499896049;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;7,0;0,0;Reverse rotation;;24,0429999828;-0,996499896049;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;7,0;0,0;Percept;-1;24,6349999905;-0,700499892235;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;8,0;1,0;Trajectory limit;-1;28,0349998474;1,00350010395;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;8,0;1,0;Reverse rotation;;28,0429999828;1,00350010395;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;8,0;1,0;Percept;1;28,7179999352;0,666000008583;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;8,0;1,0;Sound;1.0;29,2430000305;0,399500012398;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;9,0;1,5;Trajectory limit;1;32,0439999104;-0,999000072479;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;9,0;1,5;Reverse rotation;;32,0520000458;-0,999000072479;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;9,0;1,5;Percept;-1;32,635999918;-0,707500100136;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;9,0;1,5;Sound;1.5;32,743999958;-0,649000048637;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;10,0;0,0;Trajectory limit;-1;36,0439999104;1,00099992752;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;10,0;0,0;Reverse rotation;;36,0509998798;1,00099992752;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;10,0;0,0;Percept;1;36,876999855;0,588499903679;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;11,0;1,0;Trajectory limit;1;40,0529999733;-0,99699985981;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;11,0;1,0;Reverse rotation;;40,0599999428;-0,99699985981;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;11,0;1,0;Percept;-1;40,6099998951;-0,721999883652;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;11,0;1,0;Sound;1.0;41,251999855;-0,396999955177;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;12,0;1,5;Trajectory limit;-1;44,0520000458;1,00300014019;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;12,0;1,5;Reverse rotation;;44,0599999428;1,00300014019;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;12,0;1,5;Percept;1;44,5269999504;0,769500255585;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;12,0;1,5;Sound;1.5;44,7599999905;0,649000167847;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;13,0;0,0;Trajectory limit;1;48,0599999428;-0,999000191689;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;13,0;0,0;Reverse rotation;;48,0679998398;-0,999000191689;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;13,0;0,0;Percept;-1;48,7769999504;-0,644500255585;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;14,0;1,0;Trajectory limit;-1;52,0609998703;1,00149977207;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;14,0;1,0;Reverse rotation;;52,0690000057;1,00149977207;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;14,0;1,0;Percept;1;52,6109998226;0,730499744415;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;14,0;1,0;Sound;1.0;53,268999815;0,397499799728;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;15,0;1,5;Trajectory limit;1;56,0690000057;-0,997499704361;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;15,0;1,5;Reverse rotation;;56,0769999027;-0,997499704361;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;15,0;1,5;Percept;-1;56,5099999905;-0,780999779701;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;15,0;1,5;Sound;1.5;56,768999815;-0,647499799728;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;16,0;0,0;Trajectory limit;-1;60,0690000057;1,00250029564;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;16,0;0,0;Reverse rotation;;60,0759999752;1,00250029564;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;16,0;0,0;Percept;1;60,8020000458;0,640000343323;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;17,0;1,5;Trajectory limit;1;64,0769999027;-0,998500347137;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;17,0;1,5;Reverse rotation;;64,0850000381;-0,998500347137;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;17,0;1,5;Percept;-1;64,5939998627;-0,744000315666;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;17,0;1,5;Sound;1.5;64,7769999504;-0,648500323296;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;18,0;1,0;Trajectory limit;-1;68,0779998302;1,00199961662;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;18,0;1,0;Reverse rotation;;68,0859999657;1,00199961662;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;18,0;1,0;Percept;1;68,8069999218;0,639999508858;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;18,0;1,0;Sound;1.0;69,2860000134;0,39799952507;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;19,0;0,0;Trajectory limit;1;72,0859999657;-0,997999548912;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;19,0;0,0;Reverse rotation;;72,0939998627;-0,997999548912;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;19,0;0,0;Percept;-1;72,6859998703;-0,701999545097;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;20,0;1,0;Trajectory limit;-1;76,0859999657;1,00200045109;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;20,0;1,0;Reverse rotation;;76,0939998627;1,00200045109;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;20,0;1,0;Percept;1;76,5360000134;0,781000494957;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;20,0;1,0;Sound;1.0;77,2949998379;0,398000478745;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;21,0;1,5;Trajectory limit;1;80,0939998627;-0,998000502586;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;21,0;1,5;Reverse rotation;;80,1019999981;-0,998000502586;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;21,0;1,5;Percept;-1;80,5939998627;-0,752000451088;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;21,0;1,5;Sound;1.5;80,7939999104;-0,648000478745;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;22,0;0,0;Trajectory limit;-1;84,0950000286;1,00249958038;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;22,0;0,0;Reverse rotation;;84,1029999256;1,00249958038;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;22,0;0,0;Percept;1;84,4949998856;0,80649960041;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;23,0;1,5;Trajectory limit;1;88,1029999256;-0,998499631882;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;23,0;1,5;Reverse rotation;;88,1109998226;-0,998499631882;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;23,0;1,5;Percept;-1;88,5279998779;-0,790499687195;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;23,0;1,5;Sound;1.5;88,8029999733;-0,64849960804;1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;24,0;1,5;Trajectory limit;-1;92,1029999256;1,00150036812;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;24,0;1,5;Reverse rotation;;92,1109998226;1,00150036812;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;24,0;1,5;Percept;1;92,5690000057;0,772500395775;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;24,0;1,5;Sound;1.5;92,8109998703;0,647500395775;-1,0
PHM88W;sound;2017-01-20-09-10-49;1,0;24,0;1,5;Block end;;96,001999855;-0,943999648094;-1,0
PHM88W;sound;2017-01-20-09-10-49;2,0;1,0;0,0;Block start;;1484900081,75;-1,0;1,0
PHM88W;sound;2017-01-20-09-10-49;2,0;1,0;0,0;Percept;-1;1,22699999809;-0,394500017166;1,0
PHM88W;sound;2017-01-20-09-10-49;2,0;2,0;1,0;Trajectory limit;-1;4,0110001564;1,00099992752;-1,0
PHM88W;sound;2017-01-20-09-10-49;2,0;2,0;1,0;Reverse rotation;;4,01800012589;1,00099992752;-1,0
PHM88W;sound;2017-01-20-09-10-49;2,0;2,0;1,0;Percept;1;4,56900000572;0,725999832153;-1,0
PHM88W;sound;2017-01-20-09-10-49;2,0;2,0;1,0;Sound;1.0;5,21900010109;0,396499872208;-1,0
PHM88W;sound;2017-01-20-09-10-49;2,0;3,0;1,0;Trajectory limit;1;8,01900005341;-0,996499896049;1,0
PHM88W;sound;2017-01-20-09-10-49;2,0;3,0;1,0;Reverse rotation;;8,02700018883;-0,996499896049;1,0
PHM88W;sound;2017-01-20-09-10-49;2,0;3,0;1,0;Percept;-1;8,52700018883;-0,746499896049;1,0
PHM88W;sound;2017-01-20-09-10-49;2,0;3,0;1,0;Sound;1.0;9,21900010109;-0,396499872208;1,0
PHM88W;sound;2017-01-20-09-10-49;2,0;4,0;0,0;Trajectory limit;-1;12,0190000534;1,00350010395;-1,0
PHM88W;sound;2017-01-20-09-10-49;2,0;4,0;0,0;Reverse rotation;;12,0260000229;1,00350010395;-1,0
PHM88W;sound;2017-01-20-09-10-49;2,0;4,0;0,0;Percept;1;12,6430001259;0,695500135422;-1,0
PHM88W;sound;2017-01-20-09-10-49;2,0;5,0;1,5;Trajectory limit;1;16,0280001163;-0,999000072479;1,0
PHM88W;sound;2017-01-20-09-10-49;2,0;5,0;1,5;Reverse rotation;;16,0360000134;-0,999000072479;1,0
PHM88W;sound;2017-01-20-09-10-49;2,0;5,0;1,5;Percept;-1;16,5280001163;-0,753500103951;1,0
PHM88W;sound;2017-01-20-09-10-49;2,0;5,0;1,5;Sound;1.5;16,728000164;-0,649000048637;1,0
PHM88W;sound;2017-01-20-09-10-49;2,0;6,0;1,0;Trajectory limit;-1;20,0280001163;1,00099992752;-1,0
PHM88W;sound;2017-01-20-09-10-49;2,0;6,0;1,0;Reverse rotation;;20,0360000134;1,00099992752;-1,0
PHM88W;sound;2017-01-20-09-10-49;2,0;6,0;1,0;Percept;1;20,4110000134;0,813499927521;-1,0
PHM88W;sound;2017-01-20-09-10-49;2,0;6,0;1,0;Sound;1.0;21,236000061;0,396999955177;-1,0
PHM88W;sound;2017-01-20-09-10-49;2,0;7,0;0,0;Trajectory limit;1;24,0360000134;-0,996999979019;1,0
PHM88W;sound;2017-01-20-09-10-49;2,0;7,0;0,0;Reverse rotation;;24,0440001488;-0,996999979019;1,0
PHM88W;sound;2017-01-20-09-10-49;2,0;7,0;0,0;Percept;-1;24,8690001965;-0,584499955177;1,0
PHM88W;sound;2017-01-20-09-10-49;2,0;8,0;1,0;Trajectory limit;-1;28,0360000134;1,00300002098;-1,0
PHM88W;sound;2017-01-20-09-10-49;2,0;8,0;1,0;Reverse rotation;;28,0440001488;1,00300002098;-1,0
PHM88W;sound;2017-01-20-09-10-49;2,0;8,0;1,0;Percept;1;28,5940001011;0,727999925613;-1,0
PHM88W;sound;2017-01-20-09-10-49;2,0;8,0;1,0;Sound;1.0;29,2440001965;0,398999929428;-1,0
PHM88W;sound;2017-01-20-09-10-49;2,0;9,0;1,5;Trajectory limit;1;32,0440001488;-0,99899995327;1,0
PHM88W;sound;2017-01-20-09-10-49;2,0;9,0;1,5;Reverse rotation;;32,0520000458;-0,99899995327;1,0
PHM88W;sound;2017-01-20-09-10-49;2,0;9,0;1,5;Percept;-1;32,4280002117;-0,81099998951;1,0
PHM88W;sound;2017-01-20-09-10-49;2,0;9,0;1,5;Sound;1.5;32,745000124;-0,648499965668;1,0
PHM88W;sound;2017-01-20-09-10-49;2,0;10,0;0,0;Trajectory limit;-1;36,0450000763;1,00150001049;-1,0
PHM88W;sound;2017-01-20-09-10-49;2,0;10,0;0,0;Reverse rotation;;36,0530002117;1,00150001049;-1,0
PHM88W;sound;2017-01-20-09-10-49;2,0;10,0;0,0;Percept;1;36,5530002117;0,75150001049;-1,0
PHM88W;sound;2017-01-20-09-10-49;2,0;11,0;1,0;Trajectory limit;1;40,0530002117;-0,99749994278;1,0
PHM88W;sound;2017-01-20-09-10-49;2,0;11,0;1,0;Reverse rotation;;40,0610001087;-0,99749994278;1,0
