Observer;Condition;SessionID;Block;Trial;Blink;Event;Value;Time;RelativeLocation;Direction
SDA1995M;sound;2017-01-20-10-37-44;1,0;1,0;0,0;Block start;;1484905362,4;-1,0;1,0
SDA1995M;sound;2017-01-20-10-37-44;1,0;1,0;0,0;Percept;-1;1,60899996758;-0,203000068665;1,0
SDA1995M;sound;2017-01-20-10-37-44;1,0;2,0;1,0;Trajectory limit;-1;4,00899982452;1,00099992752;-1,0
SDA1995M;sound;2017-01-20-10-37-44;1,0;2,0;1,0;Reverse rotation;;4,01699995995;1,00099992752;-1,0
SDA1995M;sound;2017-01-20-10-37-44;1,0;2,0;1,0;Percept;1;4,84200000763;0,588499903679;-1,0
SDA1995M;sound;2017-01-20-10-37-44;1,0;2,0;1,0;Sound;1.0;5,21700000763;0,396999835968;-1,0
SDA1995M;sound;2017-01-20-10-37-44;1,0;3,0;1,0;Trajectory limit;1;8,01799988747;-0,996499896049;1,0
SDA1995M;sound;2017-01-20-10-37-44;1,0;3,0;1,0;Reverse rotation;;8,02600002289;-0,996499896049;1,0
SDA1995M;sound;2017-01-20-10-37-44;1,0;3,0;1,0;Percept;-1;8,7349998951;-0,641999840736;1,0
SDA1995M;sound;2017-01-20-10-37-44;1,0;3,0;1,0;Sound;1.0;9,21799993515;-0,396499872208;1,0
SDA1995M;sound;2017-01-20-10-37-44;1,0;4,0;0,0;Trajectory limit;-1;12,0179998875;1,00350010395;-1,0
SDA1995M;sound;2017-01-20-10-37-44;1,0;4,0;0,0;Reverse rotation;;12,0260000229;1,00350010395;-1,0
SDA1995M;sound;2017-01-20-10-37-44;1,0;4,0;0,0;Percept;1;12,7269999981;0,653500080109;-1,0
SDA1995M;sound;2017-01-20-10-37-44;1,0;5,0;1,5;Trajectory limit;1;16,0260000229;-0,99950003624;1,0
SDA1995M;sound;2017-01-20-10-37-44;1,0;5,0;1,5;Reverse rotation;;16,0339999199;-0,99950003624;1,0
SDA1995M;sound;2017-01-20-10-37-44;1,0;5,0;1,5;Sound;1.5;16,7259998322;-0,649500131607;1,0
SDA1995M;sound;2017-01-20-10-37-44;1,0;5,0;1,5;Percept;-1;16,8429999352;-0,59550011158;1,0
SDA1995M;sound;2017-01-20-10-37-44;1,0;6,0;1,5;Trajectory limit;-1;20,0260000229;1,00049996376;-1,0
SDA1995M;sound;2017-01-20-10-37-44;1,0;6,0;1,5;Reverse rotation;;20,0339999199;1,00049996376;-1,0
