Observer;Condition;SessionID;Block;Trial;Blink;Event;Value;Time;RelativeLocation;Direction
SDL1990m;sound;2017-01-25-12-16-38;1,0;1,0;0,0;Block start;;1485343277,38;-1,0;1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;2,0;1,0;Trajectory limit;-1;4,00900006294;1,00100004673;-1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;2,0;1,0;Reverse rotation;;4,01699995995;1,00100004673;-1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;2,0;1,0;Percept;1;4,91700005531;0,551000118256;-1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;2,0;1,0;Sound;1.0;5,21799993515;0,396500110626;-1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;3,0;1,5;Trajectory limit;1;8,01800012589;-0,997000098228;1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;3,0;1,5;Reverse rotation;;8,02500009537;-0,997000098228;1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;3,0;1,5;Percept;-1;8,69199991226;-0,663500070572;1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;3,0;1,5;Sound;1.5;8,71799993515;-0,647000074387;1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;3,0;1,5;Percept;1;11,6099998951;0,794999957085;1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;4,0;0,0;Trajectory limit;-1;12,0169999599;1,00299990177;-1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;4,0;0,0;Reverse rotation;;12,0250000954;1,00299990177;-1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;4,0;0,0;Percept;1;13,2680001259;0,380999922752;-1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;5,0;1,5;Trajectory limit;1;16,0269999504;-0,99799990654;1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;5,0;1,5;Reverse rotation;;16,0350000858;-0,99799990654;1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;5,0;1,5;Percept;-1;16,6679999828;-0,681499838829;1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;5,0;1,5;Sound;1.5;16,7269999981;-0,647999882698;1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;6,0;1,5;Trajectory limit;-1;20,0260000229;1,0015001297;-1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;6,0;1,5;Reverse rotation;;20,0339999199;1,0015001297;-1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;6,0;1,5;Percept;1;20,4839999676;0,776500105858;-1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;6,0;1,5;Sound;1.5;20,7339999676;0,647500157356;-1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;7,0;0,0;Trajectory limit;1;24,0350000858;-0,997000098228;1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;7,0;0,0;Reverse rotation;;24,0420000553;-0,997000098228;1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;7,0;0,0;Percept;-1;24,4010000229;-0,818000078201;1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;8,0;1,0;Trajectory limit;-1;28,0350000858;1,0024998188;-1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;8,0;1,0;Reverse rotation;;28,0420000553;1,0024998188;-1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;8,0;1,0;Percept;1;28,5840001106;0,730999827385;-1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;8,0;1,0;Sound;1.0;29,2430000305;0,397999763489;-1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;9,0;1,5;Trajectory limit;1;32,0439999104;-0,99749982357;1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;9,0;1,5;Reverse rotation;;32,0520000458;-0,99749982357;1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;9,0;1,5;Percept;-1;32,5269999504;-0,759999752045;1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;9,0;1,5;Sound;1.5;32,7430000305;-0,647999763489;1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;10,0;0,0;Trajectory limit;-1;36,0429999828;1,00200021267;-1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;10,0;0,0;Reverse rotation;;36,0510001183;1,00200021267;-1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;10,0;0,0;Percept;1;36,3589999676;0,8480001688;-1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;11,0;1,0;Trajectory limit;1;40,0520000458;-0,998000144958;1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;11,0;1,0;Reverse rotation;;40,0599999428;-0,998000144958;1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;11,0;1,0;Percept;-1;40,3599998951;-0,84750020504;1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;11,0;1,0;Sound;1.0;41,253000021;-0,397000193596;1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;12,0;1,0;Trajectory limit;-1;44,0510001183;1,00199985504;-1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;12,0;1,0;Reverse rotation;;44,0590000153;1,00199985504;-1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;12,0;1,0;Percept;1;44,4260001183;0,818499922752;-1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;12,0;1,0;Sound;1.0;45,2599999905;0,397499918938;-1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;13,0;0,0;Trajectory limit;1;48,0610001087;-0,99699985981;1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;13,0;0,0;Reverse rotation;;48,0690000057;-0,99699985981;1,0
SDL1990m;sound;2017-01-25-12-16-38;1,0;13,0;0,0;Percept;-1;48,6600000858;-0,701499938965;1,0
