Time;Block;Trial;Event;Value
22;1;1;trial start;1
4032;1;2;trial start;2
4948;1;2;percept;Down
5249;1;2;sound;1000
8040;1;3;trial start;3
8723;1;3;percept;Up
8749;1;3;sound;1500
11641;1;3;percept;Down
12041;1;4;trial start;4
13299;1;4;percept;Down
16050;1;5;trial start;5
16700;1;5;percept;Up
16759;1;5;sound;1500
20050;1;6;trial start;6
20516;1;6;percept;Down
20766;1;6;sound;1500
24059;1;7;trial start;7
24433;1;7;percept;Up
28059;1;8;trial start;8
28617;1;8;percept;Down
29276;1;8;sound;1000
32067;1;9;trial start;9
32559;1;9;percept;Up
32776;1;9;sound;1500
34185;1;9;blink;71
36068;1;10;trial start;10
36392;1;10;percept;Down
40077;1;11;trial start;11
40393;1;11;percept;Up
41286;1;11;sound;1000
44077;1;12;trial start;12
44460;1;12;percept;Down
45294;1;12;sound;1000
48086;1;13;trial start;13
48693;1;13;percept;Up
52086;1;14;trial start;14
52453;1;14;percept;Down
53303;1;14;sound;1000
56094;1;15;trial start;15
56552;1;15;percept;Up
57303;1;15;sound;1000
60095;1;16;trial start;16
60428;1;16;percept;Down
64104;1;17;trial start;17
64611;1;17;percept;Up
64812;1;17;sound;1500
68104;1;18;trial start;18
68403;1;18;percept;Down
69321;1;18;sound;1000
70874;1;18;blink;76
72113;1;19;trial start;19
72620;1;19;percept;Up
76113;1;20;trial start;20
76504;1;20;percept;Down
76830;1;20;sound;1500
80122;1;21;trial start;21
80588;1;21;percept;Up
81330;1;21;sound;1000
84122;1;22;trial start;22
84713;1;22;percept;Down
88131;1;23;trial start;23
88788;1;23;percept;Up
88839;1;23;sound;1500
92131;1;24;trial start;24
92605;1;24;percept;Down
92848;1;24;sound;1500
96038;1;25;trial start;25
22;2;1;trial start;1
1956;2;1;percept;Up
4031;2;2;trial start;2
5249;2;2;sound;1000
8040;2;3;trial start;3
8748;2;3;sound;1500
12040;2;4;trial start;4
16058;2;5;trial start;5
16766;2;5;sound;1500
20058;2;6;trial start;6
20775;2;6;sound;1500
24075;2;7;trial start;7
28067;2;8;trial start;8
29285;2;8;sound;1000
32076;2;9;trial start;9
32784;2;9;sound;1500
36076;2;10;trial start;10
40085;2;11;trial start;11
41293;2;11;sound;1000
44085;2;12;trial start;12
45302;2;12;sound;1000
48094;2;13;trial start;13
52094;2;14;trial start;14
53311;2;14;sound;1000
56103;2;15;trial start;15
57311;2;15;sound;1000
60103;2;16;trial start;16
60083;2;16;blink;90
64112;2;17;trial start;17
64820;2;17;sound;1500
68112;2;18;trial start;18
69329;2;18;sound;1000
72121;2;19;trial start;19
76121;2;20;trial start;20
76838;2;20;sound;1500
80130;2;21;trial start;21
81331;2;21;sound;1000
84130;2;22;trial start;22
88147;2;23;trial start;23
88855;2;23;sound;1500
92147;2;24;trial start;24
92864;2;24;sound;1500
96038;2;25;trial start;25
22;3;1;trial start;1
4038;3;2;trial start;2
4630;3;2;percept;Down
5256;3;2;sound;1000
