Observer;Condition;SessionID;Block;Trial;Blink;Event;Value;Time;RelativeLocation;Direction
SKL94w;sound;2017-01-19-14-51-15;1,0;1,0;0,0;Block start;;1484833948,91;-1,0;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;1,0;0,0;Percept;-1;0,958999872208;-0,527999997139;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;2,0;1,5;Trajectory limit;-1;4,00899982452;1,00099992752;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;2,0;1,5;Reverse rotation;;4,01699995995;1,00099992752;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;2,0;1,5;Percept;1;4,59999990463;0,709499835968;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;2,0;1,5;Sound;1.5;4,71700000763;0,646999835968;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;3,0;1,0;Trajectory limit;1;8,01699995995;-0,99699985981;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;3,0;1,0;Reverse rotation;;8,02499985695;-0,99699985981;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;3,0;1,0;Percept;-1;8,56699991226;-0,725999951363;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;3,0;1,0;Sound;1.0;9,21700000763;-0,396999835968;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;4,0;0,0;Trajectory limit;-1;12,0169999599;1,00300014019;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;4,0;0,0;Reverse rotation;;12,0249998569;1,00300014019;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;4,0;0,0;Percept;1;12,6089999676;0,711500167847;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;5,0;1,5;Trajectory limit;1;16,0259997845;-0,998500227928;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;5,0;1,5;Reverse rotation;;16,0339999199;-0,998500227928;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;5,0;1,5;Percept;-1;16,6089999676;-0,711000204086;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;5,0;1,5;Sound;1.5;16,7259998322;-0,648500204086;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;6,0;1,0;Trajectory limit;-1;20,0259997845;1,00149977207;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;6,0;1,0;Reverse rotation;;20,0339999199;1,00149977207;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;6,0;1,0;Percept;1;20,4919998646;0,772499680519;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;6,0;1,0;Sound;1.0;21,2339999676;0,397499680519;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;7,0;0,0;Trajectory limit;1;24,0339999199;-0,997499704361;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;7,0;0,0;Reverse rotation;;24,0419998169;-0,997499704361;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;7,0;0,0;Percept;-1;24,5839998722;-0,726499676704;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;8,0;1,5;Trajectory limit;-1;28,0339999199;1,00250029564;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;8,0;1,5;Reverse rotation;;28,0419998169;1,00250029564;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;8,0;1,5;Percept;1;28,4339997768;0,806500315666;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;8,0;1,5;Sound;1.5;28,7419998646;0,648500323296;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;9,0;1,5;Trajectory limit;1;32,0419998169;-0,998500347137;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;9,0;1,5;Reverse rotation;;32,0499999523;-0,998500347137;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;9,0;1,5;Percept;-1;32,5009999275;-0,773500323296;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;9,0;1,5;Sound;1.5;32,7429997921;-0,648000359535;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;10,0;0,0;Trajectory limit;-1;36,0429999828;1,00199973583;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;10,0;0,0;Reverse rotation;;36,0509998798;1,00199973583;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;10,0;0,0;Percept;1;36,4679999352;0,793499827385;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;11,0;1,0;Trajectory limit;1;40,0509998798;-0,997999787331;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;11,0;1,0;Reverse rotation;;40,0589997768;-0,997999787331;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;11,0;1,0;Percept;-1;40,6179997921;-0,718999743462;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;11,0;1,0;Sound;1.0;41,2509999275;-0,397999763489;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;12,0;1,5;Trajectory limit;-1;44,0509998798;1,00200021267;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;12,0;1,5;Reverse rotation;;44,0589997768;1,00200021267;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;12,0;1,5;Percept;1;44,5599999428;0,752000212669;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;12,0;1,5;Sound;1.5;44,7599999905;0,647500157356;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;13,0;0,0;Trajectory limit;1;48,0599999428;-0,997500181198;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;13,0;0,0;Reverse rotation;;48,0679998398;-0,997500181198;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;13,0;0,0;Percept;-1;48,6589999199;-0,702000260353;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;14,0;1,0;Trajectory limit;-1;52,0609998703;1,00299978256;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;14,0;1,0;Reverse rotation;;52,0679998398;1,00299978256;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;14,0;1,0;Percept;1;52,7189998627;0,678499817848;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;14,0;1,0;Sound;1.0;53,268999815;0,398999810219;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;15,0;1,0;Trajectory limit;1;56,0690000057;-0,998999714851;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;15,0;1,0;Reverse rotation;;56,0759999752;-0,998999714851;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;15,0;1,0;Percept;-1;56,6929998398;-0,690999746323;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;15,0;1,0;Sound;1.0;57,268999815;-0,398999810219;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;16,0;0,0;Trajectory limit;-1;60,0679998398;1,00050020218;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;16,0;0,0;Reverse rotation;;60,0759999752;1,00050020218;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;16,0;0,0;Percept;1;60,7679998875;0,654500126839;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;17,0;1,5;Trajectory limit;1;64,0769999027;-0,996000170708;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;17,0;1,5;Reverse rotation;;64,0839998722;-0,996000170708;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;17,0;1,5;Percept;-1;64,6019999981;-0,738000154495;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;17,0;1,5;Sound;1.5;64,7769999504;-0,646000146866;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;18,0;1,5;Trajectory limit;-1;68,0779998302;1,00399982929;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;18,0;1,5;Reverse rotation;;68,0849997997;1,00399982929;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;18,0;1,5;Percept;1;68,5690000057;0,761999845505;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;18,0;1,5;Sound;1.5;68,7859997749;0,649499893188;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;19,0;0,0;Trajectory limit;1;72,0859999657;-0,999499797821;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;19,0;0,0;Reverse rotation;;72,0939998627;-0,999499797821;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;19,0;0,0;Percept;-1;72,5609998703;-0,766499876976;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;20,0;1,0;Trajectory limit;-1;76,0859999657;1,00050020218;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;20,0;1,0;Reverse rotation;;76,0929999352;1,00050020218;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;20,0;1,0;Percept;1;76,6099998951;0,742500185966;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;20,0;1,0;Sound;1.0;77,2939999104;0,397000193596;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;21,0;1,0;Trajectory limit;1;80,0929999352;-0,997000217438;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;21,0;1,0;Reverse rotation;;80,1009998322;-0,997000217438;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;21,0;1,0;Percept;-1;80,6519999504;-0,72200024128;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;21,0;1,0;Sound;1.0;81,2929999828;-0,397000193596;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;22,0;0,0;Trajectory limit;-1;84,0929999352;1,00299978256;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;22,0;0,0;Reverse rotation;;84,1009998322;1,00299978256;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;22,0;0,0;Percept;1;84,5759999752;0,765499830246;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;23,0;1,5;Trajectory limit;1;88,1029999256;-0,997999787331;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;23,0;1,5;Reverse rotation;;88,1099998951;-0,997999787331;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;23,0;1,5;Percept;-1;88,6940000057;-0,706499814987;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;23,0;1,5;Sound;1.5;88,8029999733;-0,647999763489;1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;24,0;1,0;Trajectory limit;-1;92,1019999981;1,00150024891;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;24,0;1,0;Reverse rotation;;92,1099998951;1,00150024891;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;24,0;1,0;Percept;1;92,6099998951;0,751500248909;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;24,0;1,0;Sound;1.0;93,3109998703;0,397000312805;-1,0
SKL94w;sound;2017-01-19-14-51-15;1,0;24,0;1,0;Block end;;96,001999855;-0,944499731064;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;1,0;0,0;Block start;;1484834098,48;-1,0;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;1,0;0,0;Percept;-1;0,81500005722;-0,600499987602;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;2,0;1,5;Trajectory limit;-1;4,01499986649;1,00349998474;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;2,0;1,5;Reverse rotation;;4,02300000191;1,00349998474;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;2,0;1,5;Percept;1;4,46499991417;0,782499909401;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;2,0;1,5;Sound;1.5;4,72300004959;0,649499893188;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;3,0;1,0;Trajectory limit;1;8,02500009537;-0,99899995327;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;3,0;1,0;Reverse rotation;;8,03200006485;-0,99899995327;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;3,0;1,0;Percept;-1;8,53200006485;-0,74899995327;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;3,0;1,0;Sound;1.0;9,22399997711;-0,398999929428;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;4,0;0,0;Trajectory limit;-1;12,0239999294;1,00100004673;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;4,0;0,0;Reverse rotation;;12,0320000648;1,00100004673;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;4,0;0,0;Percept;1;12,4159998894;0,809000015259;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;5,0;1,5;Trajectory limit;1;16,0320000648;-0,996999979019;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;5,0;1,5;Reverse rotation;;16,0399999619;-0,996999979019;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;5,0;1,5;Percept;-1;16,5899999142;-0,722000002861;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;5,0;1,5;Sound;1.5;16,7319998741;-0,647000074387;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;6,0;1,0;Trajectory limit;-1;20,0320000648;1,00300002098;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;6,0;1,0;Reverse rotation;;20,0399999619;1,00300002098;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;6,0;1,0;Percept;1;20,4900000095;0,778000116348;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;6,0;1,0;Sound;1.0;21,2400000095;0,399000048637;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;7,0;0,0;Trajectory limit;1;24,0420000553;-0,998500108719;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;7,0;0,0;Reverse rotation;;24,0490000248;-0,998500108719;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;7,0;0,0;Percept;-1;24,5580000877;-0,744500041008;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;8,0;1,5;Trajectory limit;-1;28,0420000553;1,00149989128;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;8,0;1,5;Reverse rotation;;28,0490000248;1,00149989128;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;8,0;1,5;Percept;1;28,6909999847;0,680499792099;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;8,0;1,5;Sound;1.5;28,75;0,646999835968;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;9,0;1,5;Trajectory limit;1;32,0499999523;-0,99699985981;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;9,0;1,5;Reverse rotation;;32,0569999218;-0,99699985981;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;9,0;1,5;Percept;-1;32,7079999447;-0,671999812126;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;9,0;1,5;Sound;1.5;32,75;-0,646999835968;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;10,0;0,0;Trajectory limit;-1;36,0460000038;1,00100016594;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;10,0;0,0;Reverse rotation;;36,0539999008;1,00100016594;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;10,0;0,0;Percept;1;36,4660000801;0,795000195503;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;11,0;1,0;Trajectory limit;1;40,0490000248;-0,999500155449;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;11,0;1,0;Reverse rotation;;40,0569999218;-0,999500155449;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;11,0;1,0;Percept;-1;40,5580000877;-0,749000191689;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;11,0;1,0;Sound;1.0;41,25;-0,399000167847;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;12,0;1,5;Trajectory limit;-1;44,0509998798;1,00149977207;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;12,0;1,5;Reverse rotation;;44,0590000153;1,00149977207;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;12,0;1,5;Percept;1;44,5;0,781499743462;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;12,0;1,5;Sound;1.5;44,757999897;0,647999763489;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;13,0;0,0;Trajectory limit;1;48,0580000877;-0,997999668121;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;13,0;0,0;Reverse rotation;;48,0659999847;-0,997999668121;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;13,0;0,0;Percept;-1;48,5329999924;-0,764499664307;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;14,0;1,0;Trajectory limit;-1;52,0580000877;1,00200033188;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;14,0;1,0;Reverse rotation;;52,0659999847;1,00200033188;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;14,0;1,0;Percept;1;52,4909999371;0,789500355721;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;14,0;1,0;Sound;1.0;53,2660000324;0,398000359535;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;15,0;1,0;Trajectory limit;1;56,0659999847;-0,998000383377;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;15,0;1,0;Reverse rotation;;56,0739998817;-0,998000383377;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;15,0;1,0;Percept;-1;56,507999897;-0,781500339508;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;15,0;1,0;Sound;1.0;57,2660000324;-0,398000359535;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;16,0;0,0;Trajectory limit;-1;60,0669999123;1,00249958038;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;16,0;0,0;Reverse rotation;;60,0750000477;1,00249958038;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;16,0;0,0;Percept;1;60,4919998646;0,793999552727;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;17,0;1,5;Trajectory limit;1;64,0759999752;-0,998499512672;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;17,0;1,5;Reverse rotation;;64,0829999447;-0,998499512672;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;17,0;1,5;Percept;-1;64,5669999123;-0,756499528885;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;17,0;1,5;Sound;1.5;64,7750000954;-0,648499488831;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;18,0;1,5;Trajectory limit;-1;68,0750000477;1,00150048733;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;18,0;1,5;Reverse rotation;;68,0829999447;1,00150048733;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;18,0;1,5;Percept;1;68,5;0,79300057888;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;18,0;1,5;Sound;1.5;68,7839999199;0,647500514984;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;19,0;0,0;Trajectory limit;1;72,0839998722;-0,997000575066;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;19,0;0,0;Reverse rotation;;72,0910000801;-0,997000575066;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;19,0;0,0;Percept;-1;72,5250000954;-0,780500531197;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;20,0;1,0;Trajectory limit;-1;76,0839998722;1,00299942493;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;20,0;1,0;Reverse rotation;;76,0920000076;1,00299942493;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;20,0;1,0;Percept;1;76,4919998646;0,802999377251;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;20,0;1,0;Sound;1.0;77,2929999828;0,398999333382;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;21,0;1,0;Trajectory limit;1;80,0920000076;-0,998999357224;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;21,0;1,0;Reverse rotation;;80,0999999046;-0,998999357224;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;21,0;1,0;Percept;-1;80,6919999123;-0,702999353409;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;21,0;1,0;Sound;1.0;81,2920000553;-0,398999333382;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;22,0;0,0;Trajectory limit;-1;84,0920000076;1,00100064278;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;22,0;0,0;Reverse rotation;;84,0999999046;1,00100064278;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;22,0;0,0;Percept;1;84,4419999123;0,830000638962;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;23,0;1,5;Trajectory limit;1;88,0999999046;-0,997000694275;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;23,0;1,5;Reverse rotation;;88,1080000401;-0,997000694275;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;23,0;1,5;Sound;1.5;88,7999999523;-0,647000670433;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;23,0;1,5;Percept;-1;88,9249999523;-0,588500618935;1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;24,0;1,0;Trajectory limit;-1;92,0999999046;1,00299930573;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;24,0;1,0;Reverse rotation;;92,1080000401;1,00299930573;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;24,0;1,0;Percept;1;92,5250000954;0,794499278069;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;24,0;1,0;Sound;1.0;93,3099999428;0,397999286652;-1,0
SKL94w;sound;2017-01-19-14-51-15;2,0;24,0;1,0;Block end;;96,0009999275;-0,943500757217;-1,0
SKL94w;sound;2017-01-19-14-51-15;3,0;1,0;0,0;Block start;;1484834226,68;-1,0;1,0
SKL94w;sound;2017-01-19-14-51-15;3,0;1,0;0,0;Percept;1;1,01699995995;-0,49949991703;1,0
SKL94w;sound;2017-01-19-14-51-15;3,0;2,0;1,5;Trajectory limit;-1;4,00900006294;1,00050008297;-1,0
SKL94w;sound;2017-01-19-14-51-15;3,0;2,0;1,5;Reverse rotation;;4,01600003242;1,00050008297;-1,0
SKL94w;sound;2017-01-19-14-51-15;3,0;2,0;1,5;Percept;-1;4,57500004768;0,72150015831;-1,0
