Observer;Condition;SessionID;Block;Trial;Blink;Event;Value;Time;RelativeLocation;Direction
UKS1989M;sound;2017-01-19-15-05-40;1,0;1,0;0,0;Block start;;1484834966,41;-1,0;1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;1,0;0,0;Percept;1;1,32999992371;-0,342500090599;1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;2,0;1,5;Trajectory limit;-1;4,01399993896;1,00349998474;-1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;2,0;1,5;Reverse rotation;;4,02099990845;1,00349998474;-1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;2,0;1,5;Percept;1;4,67999982834;0,674499988556;-1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;2,0;1,5;Sound;1.5;4,72199988365;0,649500012398;-1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;3,0;1,5;Trajectory limit;1;8,02199983597;-0,99950003624;1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;3,0;1,5;Reverse rotation;;8,02999997139;-0,99950003624;1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;3,0;1,5;Percept;-1;8,72299981117;-0,652999997139;1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;3,0;1,5;Sound;1.5;8,73099994659;-0,644999980927;1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;4,0;0,0;Trajectory limit;-1;12,0230000019;1,00100004673;-1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;4,0;0,0;Reverse rotation;;12,0309998989;1,00100004673;-1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;4,0;0,0;Percept;1;12,5979998112;0,717500090599;-1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;5,0;1,0;Trajectory limit;1;16,0269999504;-0,999000072479;1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;5,0;1,0;Reverse rotation;;16,0349998474;-0,999000072479;1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;5,0;1,0;Percept;-1;16,4059998989;-0,81350004673;1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;5,0;1,0;Sound;1.0;17,2309999466;-0,397000074387;1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;6,0;1,5;Trajectory limit;-1;20,0309998989;1,00299990177;-1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;6,0;1,5;Reverse rotation;;20,0389997959;1,00299990177;-1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;6,0;1,5;Percept;1;20,2139999866;0,915499925613;-1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;6,0;1,5;Sound;1.5;20,7389998436;0,648999929428;-1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;7,0;0,0;Trajectory limit;1;24,0389997959;-0,99899995327;1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;7,0;0,0;Reverse rotation;;24,0460000038;-0,99899995327;1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;7,0;0,0;Percept;-1;24,5969998837;-0,723999857903;1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;8,0;1,5;Trajectory limit;-1;28,0399999619;1,00100004673;-1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;8,0;1,5;Reverse rotation;;28,0469999313;1,00100004673;-1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;8,0;1,5;Percept;1;28,6229999065;0,712999939919;-1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;8,0;1,5;Sound;1.5;28,7479999065;0,646499991417;-1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;9,0;1,5;Trajectory limit;1;32,0479998589;-0,996500015259;1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;9,0;1,5;Reverse rotation;;32,0559999943;-0,996500015259;1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;9,0;1,5;Percept;-1;32,6399998665;-0,705000042915;1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;9,0;1,5;Sound;1.5;32,7479999065;-0,646499991417;1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;10,0;0,0;Trajectory limit;-1;36,0479998589;1,00349998474;-1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;10,0;0,0;Reverse rotation;;36,0559999943;1,00349998474;-1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;10,0;0,0;Percept;1;36,7559998035;0,653499960899;-1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;11,0;1,0;Trajectory limit;1;40,0559999943;-0,99949991703;1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;11,0;1,0;Reverse rotation;;40,0639998913;-0,99949991703;1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;11,0;1,0;Percept;-1;40,6059999466;-0,728500008583;1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;11,0;1,0;Sound;1.0;41,2559998035;-0,399500012398;1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;12,0;1,0;Trajectory limit;-1;44,0569999218;1,00100004673;-1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;12,0;1,0;Reverse rotation;;44,0649998188;1,00100004673;-1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;12,0;1,0;Percept;1;44,6399998665;0,713500022888;-1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;12,0;1,0;Sound;1.0;45,2649998665;0,397000074387;-1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;13,0;0,0;Trajectory limit;1;48,0649998188;-0,997000098228;1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;13,0;0,0;Reverse rotation;;48,0729999542;-0,997000098228;1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;13,0;0,0;Percept;-1;48,5149998665;-0,776000022888;1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;14,0;1,0;Trajectory limit;-1;52,0649998188;1,00299990177;-1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;14,0;1,0;Reverse rotation;;52,0729999542;1,00299990177;-1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;14,0;1,0;Percept;1;52,5479998589;0,765499830246;-1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;14,0;1,0;Sound;1.0;53,2730000019;0,398999810219;-1,0
UKS1989M;sound;2017-01-19-15-05-40;1,0;15,0;1,5;Trajectory limit;1;56,0739998817;-0,998999834061;1,0
