X;Y;Z
0.276378;0.992255;0.0915164
-0.396827;0.863852;-0.193658
-0.775306;0.614708;-0.400928
-0.878588;0.554431;-0.385202
0.211799;0.365558;0.92295
-0.42704;0.843282;-0.237532
0.20667;0.406126;0.905441
-0.435945;0.862149;-0.139138
-0.933626;0.470434;-0.433051
-0.605451;0.770066;-0.25879
0.606683;0.703717;0.702979
0.254159;0.525999;0.844985
-0.925047;0.174056;-0.62128
-0.547743;0.773976;-0.312988
-0.0508651;0.199943;0.942097
-0.612438;0.110669;-0.801934
-0.528659;0.803129;-0.252505
0.647347;0.981599;0.1435
-0.555826;0.813701;-0.172722
0.0220578;0.969621;0.0887608
-0.761958;0.632492;-0.385707
-0.945335;0.232213;-0.587097
0.125363;0.985423;-0.0149187
0.0209932;0.50995;0.829289
-0.78612;0.239026;-0.687839
-0.888075;0.0503006;-0.667303
-0.316622;0.906662;0.0432394
0.47543;0.838448;0.544227
0.454632;0.523013;0.852157
0.142806;0.326096;0.931767
-0.390526;0.834741;-0.300427
0.864476;0.799302;0.546969
-0.0203018;0.966774;0.0434266
-0.0686735;0.936881;-0.210354
-0.519285;0.788823;-0.303697
0.507329;0.710776;0.701865
-0.755282;0.660023;-0.34387
-0.685875;0.681446;-0.37476
0.501219;0.709865;0.703007
-0.919265;0.325382;-0.561605
0.373574;0.845442;0.53328
0.580266;0.797969;0.596238
-0.383224;0.83677;-0.301099
-0.934335;0.571058;-0.286561
0.377376;0.612807;0.789777
-0.252216;0.891942;-0.240023
-0.641596;0.746237;-0.28076
-0.725845;0.748095;-0.127326
-0.0135612;0.968306;-0.0287853
0.0693677;0.44922;0.87048
-0.983172;0.436715;-0.417385
-0.155203;0.943507;0.045073
0.525078;0.484112;0.873162
0.871658;0.802025;0.541086
-0.740481;0.75007;-0.0489278
0.631817;0.626546;0.770523
-0.381605;0.88851;-0.047249
-0.252239;0.91979;-0.0845454
-0.101409;0.945304;0.13305
-0.656016;0.64666;-0.455639
0.655204;0.966985;0.218926
0.563994;0.75845;0.64695
0.664071;0.852509;0.504859
-0.738952;0.664732;-0.352521
0.995494;0.88701;0.32994
-0.853469;-0.427947;-0.541674
0.107292;-0.363013;0.914293
0.311699;0.541233;0.838434
-0.690063;0.685097;-0.363964
-0.978896;0.488745;-0.360431
0.689265;0.766163;0.624966
-0.59374;0.752238;-0.31906
0.791704;0.78588;0.582459
0.529683;0.806805;0.587826
-0.0531261;0.95661;0.108305
0.928689;0.863886;0.415148
-0.832546;0.629661;-0.311566
0.418221;0.997871;0.0651082
-0.770981;0.54434;-0.495603
-0.506977;0.829056;-0.185842
-0.196062;0.927587;0.126891
-0.766751;0.737008;-0.0445333
0.875048;0.766302;0.589768
-0.975368;0.353419;-0.497038
0.229347;0.99249;-0.0522316
-0.445092;0.829616;-0.2633
-0.312383;0.186389;0.889479
-0.734832;0.468579;-0.591304
0.691752;0.872046;0.465511
-0.599168;0.669828;-0.464154
0.955289;0.908283;0.291297
0.629718;0.8951;0.430511
-0.720838;0.640808;-0.410982
-0.423569;0.137079;0.866398
0.0834314;0.962433;-0.190775
0.672673;0.619527;0.772332
-0.640851;0.530964;-0.595216
-0.873112;0.305962;-0.605579
0.477141;0.851322;0.523806
-0.904965;0.522854;-0.400183
0.592679;0.618541;0.779984
-0.663126;0.433982;-0.657644
0.145643;0.986657;-0.0393243
0.581182;0.895553;0.436059
-0.624644;0.790802;-0.14771
0.645286;0.729285;0.672729
0.501019;0.730242;0.681824
-0.576089;0.72864;-0.384919
-0.430311;0.874968;0.0137235
-0.508329;0.848302;0.0380164
0.0469683;0.0988407;0.971855
0.274636;0.53266;0.842052
0.0907918;0.519214;0.833476
-0.562286;0.735705;-0.382896
0.615334;0.868976;0.482955
-0.788984;0.396749;-0.608787
0.177018;0.644436;0.75169
0.585639;0.616286;0.782241
-0.612138;0.802912;-0.104294
0.94946;0.823577;0.483241
-0.251383;0.918094;0.103127
0.178025;0.608877;0.780874
0.0125375;0.370821;0.898916
-0.443589;0.851895;-0.180832
0.690979;0.911542;0.382607
0.452749;0.785915;0.618132
0.477011;0.895211;0.44466
0.323244;0.561834;0.825252
-0.68011;0.780307;-0.0051835
0.17859;0.130152;0.981654
-0.1554;0.942154;-0.067158
0.419108;0.732387;0.680881
-0.870476;0.660468;-0.162201
